%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83376.351,301.978,355.758,111.382,-0.017,0.022,5.000
83376.351,301.978,355.758,111.222,-0.000,0.000,5.000
83372.319,301.975,355.758,111.543,-0.000,-0.011,5.000
83380.382,301.976,355.837,111.382,0.016,0.000,5.000
83376.351,301.973,355.758,111.703,0.032,-0.011,5.000
83372.319,301.976,355.916,111.703,-0.000,0.011,5.000
83372.319,301.976,355.916,112.023,0.016,-0.011,5.000
83376.351,301.973,355.995,112.023,-0.000,0.011,5.000
83372.319,301.976,355.837,112.183,0.016,0.011,5.000
83372.319,301.975,355.916,112.183,-0.000,0.000,5.000
83372.319,301.975,355.916,112.663,0.016,0.011,5.000
83380.382,301.972,355.916,112.503,-0.017,-0.011,5.000
83376.351,301.973,355.916,112.823,-0.000,0.000,5.000
83368.288,301.975,355.995,113.143,0.032,0.011,5.000
83376.351,301.975,355.916,112.983,0.016,0.000,5.000
83380.382,301.973,355.916,113.143,-0.000,0.000,5.000
83376.351,301.973,355.995,113.304,0.016,0.000,5.000
83372.319,301.973,355.995,113.304,-0.000,0.011,5.000
83368.288,301.972,355.837,113.143,0.016,0.000,5.000
83376.351,301.972,356.074,113.143,0.016,0.000,5.000
83380.382,301.973,355.995,113.304,-0.000,0.000,5.000
83380.382,301.975,355.916,113.464,0.016,-0.021,5.000
83376.351,301.973,355.758,113.464,0.032,0.000,5.000
83376.351,301.973,355.837,113.304,0.016,-0.011,5.000
83376.351,301.975,355.758,113.143,0.016,-0.011,5.000
83376.351,301.975,355.679,113.143,0.016,0.000,5.000
83364.256,301.972,355.758,112.823,-0.000,0.011,5.000
83372.319,301.976,355.520,112.983,-0.000,0.011,5.000
83372.319,301.976,355.758,112.663,0.016,0.022,5.000
83368.288,301.975,355.599,112.663,-0.000,0.000,5.000
83368.288,301.975,355.520,112.663,-0.000,0.000,5.000
83376.351,301.973,355.520,112.503,-0.000,-0.011,5.000
83368.288,301.973,355.362,112.343,-0.017,-0.011,5.000
83376.351,301.973,355.441,112.183,-0.000,0.000,5.000
83376.351,301.976,355.441,112.183,0.016,0.000,5.000
83376.351,301.978,355.362,111.703,0.016,0.011,5.000
83364.256,301.978,355.283,111.863,0.016,0.000,5.000
83376.351,301.981,355.283,111.703,-0.000,-0.011,5.000
83372.319,301.972,355.204,111.863,0.016,0.011,5.000
83376.351,301.975,355.283,111.703,-0.000,-0.011,5.000
83376.351,301.978,355.204,111.382,-0.000,0.011,5.000
83372.319,301.976,355.204,111.703,0.016,0.000,5.000
83376.351,301.978,355.204,111.222,0.016,0.000,5.000
83376.351,301.978,355.204,111.222,0.032,0.000,5.000
83376.351,301.978,355.125,111.863,0.016,0.000,5.000
83368.288,301.976,355.204,111.543,-0.000,0.022,5.000
83376.351,301.976,355.204,111.543,0.016,-0.011,5.000
83376.351,301.978,355.204,111.703,-0.017,0.000,5.000
83372.319,301.976,355.125,111.863,0.016,0.000,5.000
83372.319,301.978,355.204,111.863,-0.000,0.000,5.000
83376.351,301.978,355.204,112.023,-0.033,0.000,5.000
83376.351,301.978,355.204,111.863,0.016,0.000,5.000
83380.382,301.975,355.204,112.183,-0.000,-0.011,5.000
83376.351,301.976,355.204,112.343,0.016,0.011,5.000
83372.319,301.978,355.204,112.663,0.016,-0.011,5.000
83376.351,301.973,355.204,112.823,-0.017,0.000,5.000
83376.351,301.976,355.125,112.983,-0.000,0.011,5.000
83376.351,301.978,355.283,112.983,-0.000,0.000,5.000
83380.382,301.973,355.362,113.143,-0.033,0.000,5.000
83376.351,301.975,355.283,112.983,-0.000,0.000,5.000
83376.351,301.973,355.204,113.143,0.016,-0.021,5.000
83380.382,301.972,355.204,113.304,-0.000,0.000,5.000
83376.351,301.970,355.362,113.304,-0.017,0.011,5.000
83372.319,301.976,355.441,113.464,-0.000,-0.011,5.000
83372.319,301.975,355.283,113.304,-0.000,0.022,5.000
83376.351,301.975,355.283,113.464,-0.000,0.000,5.000
83376.351,301.973,355.599,113.624,0.016,-0.021,5.000
83372.319,301.975,355.441,113.304,-0.033,0.000,5.000
83376.351,301.972,355.441,113.464,-0.017,0.000,5.000
83384.413,301.975,355.599,113.784,0.016,0.000,5.000
83376.351,301.973,355.520,113.464,0.016,0.000,5.000
83376.351,301.975,355.362,113.304,0.016,0.000,5.000
83384.413,301.976,355.441,113.143,0.032,0.000,5.000
83380.382,301.975,355.362,113.143,-0.017,0.000,5.000
83388.445,301.976,355.283,112.983,0.032,0.000,5.000
83376.351,301.972,355.441,112.663,-0.000,-0.011,5.000
83376.351,301.975,355.362,112.503,0.049,-0.011,5.000
83388.445,301.973,355.283,112.663,0.016,0.011,5.000
83380.382,301.975,355.362,112.183,-0.000,0.000,5.000
83380.382,301.973,355.283,112.023,0.032,0.011,5.000
83380.382,301.978,355.204,111.863,-0.000,0.000,5.000
83380.382,301.976,355.204,111.382,-0.033,0.000,5.000
83388.445,301.976,355.204,111.382,-0.000,0.011,5.000
83384.413,301.978,355.046,111.222,0.016,0.000,5.000
83384.413,301.978,355.046,111.062,-0.000,-0.021,5.000
