%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83376.351,301.902,351.894,114.970,-0.022,-0.003,5.000
83380.382,301.902,351.736,114.970,-0.005,-0.003,5.000
83384.413,301.904,351.736,114.650,-0.005,0.007,5.000
83388.445,301.902,351.657,114.650,0.027,-0.003,5.000
83380.382,301.902,351.815,114.810,-0.005,-0.003,5.000
83392.476,301.902,351.894,114.810,0.027,0.007,5.000
83388.445,301.901,351.894,114.490,-0.005,0.028,5.000
83380.382,301.904,351.973,114.810,-0.005,0.007,5.000
83392.476,301.902,352.131,114.810,-0.022,0.007,5.000
83384.413,301.906,352.131,114.650,-0.005,0.007,5.000
83384.413,301.902,352.131,114.650,-0.005,0.028,5.000
83380.382,301.904,352.131,114.650,-0.005,0.017,5.000
83388.445,301.907,352.210,114.490,0.011,0.007,5.000
83376.351,301.906,352.289,114.650,0.011,0.017,5.000
83384.413,301.904,352.289,114.650,-0.005,-0.003,5.000
83380.382,301.907,352.368,114.330,-0.005,-0.003,5.000
83376.351,301.907,352.289,114.650,-0.005,0.007,5.000
83376.351,301.904,352.526,114.330,-0.005,-0.013,5.000
83376.351,301.904,352.368,114.650,-0.005,-0.003,5.000
83388.445,301.906,352.605,114.330,-0.005,-0.013,5.000
83384.413,301.906,352.605,114.490,0.011,0.017,5.000
83384.413,301.906,352.526,114.170,0.011,0.028,5.000
83376.351,301.906,352.605,114.330,0.011,0.007,5.000
83384.413,301.906,352.763,114.170,0.011,-0.003,5.000
83380.382,301.902,352.763,114.330,-0.005,0.017,5.000
83380.382,301.906,352.842,114.330,-0.022,-0.003,5.000
83380.382,301.904,352.842,114.010,0.011,-0.003,5.000
83376.351,301.904,352.921,113.850,0.011,0.017,5.000
83372.319,301.902,352.842,114.170,0.011,0.017,5.000
83372.319,301.902,352.842,113.850,-0.005,-0.013,5.000
83376.351,301.906,352.842,113.850,0.027,0.007,5.000
83372.319,301.902,352.842,114.010,-0.022,-0.003,5.000
83372.319,301.904,352.842,114.010,0.011,0.017,5.000
83376.351,301.904,352.921,114.010,-0.005,0.007,5.000
83376.351,301.907,353.000,114.170,-0.005,-0.013,5.000
83376.351,301.907,352.842,114.010,0.011,0.007,5.000
83376.351,301.904,352.684,114.010,-0.005,-0.024,5.000
83376.351,301.907,352.763,114.170,0.011,0.017,5.000
83380.382,301.906,352.684,114.170,0.011,-0.003,5.000
83380.382,301.902,352.605,114.010,-0.022,0.007,5.000
83372.319,301.902,352.684,114.490,0.027,0.007,5.000
83364.256,301.902,352.526,114.010,0.027,0.007,5.000
83372.319,301.902,352.526,114.170,-0.022,-0.003,5.000
83372.319,301.904,352.526,114.650,-0.005,0.017,5.000
83372.319,301.902,352.526,114.170,0.027,0.017,5.000
83380.382,301.904,352.447,114.170,-0.022,-0.024,5.000
83372.319,301.906,352.368,114.170,-0.022,0.007,5.000
83380.382,301.901,352.210,114.330,0.011,0.007,5.000
83380.382,301.902,352.447,114.010,0.011,-0.003,5.000
83376.351,301.902,352.368,114.010,-0.005,0.007,5.000
83380.382,301.902,352.210,114.170,0.027,-0.013,5.000
83384.413,301.902,352.210,114.170,0.011,-0.013,5.000
83372.319,301.904,352.368,114.010,-0.022,-0.003,5.000
83384.413,301.904,352.289,114.010,-0.005,0.007,5.000
83380.382,301.902,352.289,114.170,0.027,0.007,5.000
83380.382,301.906,352.210,114.170,-0.005,-0.013,5.000
83384.413,301.906,352.289,113.850,-0.022,0.007,5.000
83380.382,301.904,352.368,113.690,-0.022,0.007,5.000
83384.413,301.906,352.289,113.850,0.011,0.007,5.000
83380.382,301.906,352.447,113.690,0.027,0.007,5.000
83384.413,301.904,352.289,113.690,0.011,0.007,5.000
83376.351,301.906,352.289,113.530,-0.022,-0.003,5.000
83384.413,301.904,352.368,113.530,0.011,0.007,5.000
83376.351,301.906,352.447,113.370,-0.005,-0.003,5.000
83380.382,301.906,352.526,113.370,-0.022,0.017,5.000
83384.413,301.906,352.526,112.889,0.011,0.007,5.000
83376.351,301.904,352.447,113.049,-0.005,0.007,5.000
83380.382,301.904,352.368,113.049,-0.022,0.007,5.000
83372.319,301.909,352.526,113.049,0.011,0.007,5.000
83392.476,301.906,352.605,112.729,0.011,0.017,5.000
83380.382,301.902,352.763,112.889,-0.022,0.007,5.000
83384.413,301.902,352.526,112.889,-0.005,-0.003,5.000
83380.382,301.906,352.605,112.569,-0.022,-0.003,5.000
83380.382,301.902,352.605,112.729,-0.005,0.007,5.000
83380.382,301.901,352.684,112.889,-0.005,-0.003,5.000
83380.382,301.906,352.842,112.889,0.011,0.007,5.000
83384.413,301.906,352.684,112.889,0.027,-0.003,5.000
83376.351,301.906,352.684,112.569,-0.005,-0.013,5.000
83376.351,301.906,352.763,112.409,-0.005,0.007,5.000
83376.351,301.902,352.842,112.569,-0.005,-0.003,5.000
83380.382,301.904,352.763,112.249,-0.022,-0.013,5.000
83384.413,301.904,352.684,112.249,0.027,0.007,5.000
83384.413,301.902,352.763,112.249,-0.005,0.007,5.000
83376.351,301.904,352.842,112.409,0.011,0.017,5.000
83380.382,301.907,352.842,112.409,0.011,0.007,5.000
83384.413,301.902,352.763,112.409,-0.005,0.017,5.000
