%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82977.243,300.02,350.168,106.104,-0.115,0.004,5
82981.274,300.022,350.247,105.624,-0.099,-0.007,5
82973.211,300.019,350.326,105.784,-0.082,-0.007,5
82973.211,300.019,350.484,105.464,-0.082,0.004,5
82973.211,300.022,350.405,104.984,-0.066,-0.007,5
82977.243,300.022,350.484,104.984,-0.05,-0.007,5
82985.305,300.022,350.642,104.503,-0.05,0.004,5
82977.243,300.02,350.484,104.663,-0.066,-0.017,5
82977.243,300.02,350.563,104.503,-0.05,-0.017,5
82977.243,300.02,350.642,104.343,-0.05,0.015,5
82977.243,300.022,350.484,104.343,-0.066,0.004,5
82977.243,300.022,350.484,104.343,-0.082,0.004,5
82977.243,300.019,350.721,104.503,-0.05,-0.007,5
82981.274,300.022,350.721,104.183,-0.099,-0.007,5
82981.274,300.022,350.563,104.343,-0.066,-0.007,5
82985.305,300.022,350.721,104.183,-0.066,0.004,5
82981.274,300.022,350.8,104.343,-0.066,-0.017,5
82989.337,300.019,350.8,104.343,-0.082,0.004,5
82985.305,300.022,350.8,104.663,-0.066,-0.007,5
82989.337,300.024,350.958,104.503,-0.099,-0.017,5
82985.305,300.02,350.8,104.663,-0.066,-0.007,5
82989.337,300.022,350.958,104.823,-0.05,0.004,5
82985.305,300.022,351.195,104.663,-0.05,0.004,5
82985.305,300.019,351.037,104.984,-0.05,0.004,5
82989.337,300.02,351.037,105.144,-0.099,-0.017,5
82981.274,300.022,351.037,105.144,-0.082,0.004,5
82993.368,300.022,351.116,105.144,-0.082,-0.007,5
82989.337,300.02,351.037,105.624,-0.082,0.004,5
82993.368,300.02,351.195,105.464,-0.066,0.004,5
82985.305,300.02,351.116,105.624,-0.082,0.004,5
82985.305,300.02,351.274,105.784,-0.082,-0.017,5
82985.305,300.02,351.195,106.104,-0.082,-0.017,5
82993.368,300.02,351.274,106.264,-0.099,-0.007,5
82985.305,300.02,351.353,106.424,-0.066,-0.017,5
82985.305,300.02,351.353,106.264,-0.05,0.004,5
82981.274,300.019,351.432,106.424,-0.082,0.004,5
82989.337,300.02,351.511,106.584,-0.066,0.004,5
82989.337,300.024,351.511,106.745,-0.033,0.004,5
82989.337,300.022,351.432,106.905,-0.082,-0.007,5
82985.305,300.024,351.669,106.905,-0.099,0.015,5
82989.337,300.022,351.511,107.225,-0.099,-0.007,5
82985.305,300.022,351.432,107.225,-0.066,-0.007,5
82981.274,300.02,351.353,107.225,-0.082,-0.028,5
82977.243,300.022,351.511,107.385,-0.05,-0.017,5
82981.274,300.02,351.59,107.225,-0.066,0.004,5
82981.274,300.02,351.59,107.225,-0.082,-0.007,5
82977.243,300.022,351.511,107.385,-0.066,-0.007,5
82981.274,300.024,351.59,107.225,-0.099,0.004,5
82985.305,300.022,351.511,107.385,-0.099,0.004,5
82985.305,300.022,351.59,107.545,-0.066,0.004,5
82989.337,300.02,351.669,107.545,-0.099,-0.007,5
82985.305,300.02,351.59,107.385,-0.066,0.004,5
82981.274,300.022,351.669,107.225,-0.066,-0.007,5
82985.305,300.02,351.669,107.385,-0.066,-0.017,5
82985.305,300.019,351.432,107.385,-0.082,-0.007,5
82981.274,300.024,351.59,107.385,-0.099,0.015,5
82985.305,300.024,351.669,107.385,-0.099,-0.007,5
82977.243,300.022,351.59,107.065,-0.082,0.004,5
82985.305,300.019,351.59,107.385,-0.082,0.004,5
82977.243,300.022,351.669,107.385,-0.05,-0.007,5
82985.305,300.024,351.827,107.225,-0.115,0.004,5
82997.399,300.025,351.748,107.225,-0.082,0.026,5
82985.305,300.02,351.748,107.065,-0.066,-0.007,5
82989.337,300.022,351.748,107.225,-0.082,-0.028,5
82985.305,300.024,351.827,107.065,-0.05,-0.007,5
82989.337,300.024,351.748,106.905,-0.066,-0.028,5
82989.337,300.024,351.827,106.745,-0.082,-0.007,5
82993.368,300.024,351.985,107.065,-0.05,0.004,5
82989.337,300.025,351.906,106.745,-0.05,-0.017,5
82985.305,300.024,352.064,106.745,-0.05,-0.007,5
82993.368,300.024,352.064,106.745,-0.066,-0.017,5
82989.337,300.022,351.985,106.905,-0.066,-0.017,5
82989.337,300.025,351.906,106.424,-0.066,0.004,5
82989.337,300.025,352.143,106.584,-0.066,0.004,5
82985.305,300.024,352.143,106.424,-0.066,0.015,5
82997.399,300.022,352.064,106.424,-0.066,0.004,5
82993.368,300.027,352.222,105.944,-0.099,-0.007,5
82989.337,300.025,352.222,106.424,-0.099,0.004,5
82981.274,300.024,352.301,106.104,-0.082,0.004,5
82985.305,300.022,352.222,106.264,-0.066,0.004,5
82981.274,300.022,352.301,105.784,-0.082,-0.007,5
82985.305,300.022,352.38,105.944,-0.082,-0.007,5
82981.274,300.022,352.38,105.784,-0.099,-0.007,5
82981.274,300.022,352.38,106.104,-0.066,0.004,5
82985.305,300.024,352.38,105.784,-0.082,0.004,5
82985.305,300.022,352.38,105.944,-0.05,0.004,5
82977.243,300.02,352.618,105.784,-0.082,-0.007,5
82985.305,300.02,352.538,105.464,-0.066,-0.007,5
82985.305,300.02,352.538,105.784,-0.066,0.004,5
82977.243,300.019,352.538,105.784,-0.082,0.004,5
82981.274,300.017,352.618,105.944,-0.066,0.004,5
82973.211,300.017,352.697,105.624,-0.05,-0.007,5
82973.211,300.017,352.538,105.784,-0.066,-0.007,5
82977.243,300.017,352.697,105.944,-0.066,0.004,5
82977.243,300.017,352.538,105.944,-0.099,-0.017,5
82977.243,300.016,352.776,105.944,-0.082,0.015,5
82973.211,300.016,352.697,105.784,-0.082,-0.007,5
82981.274,300.017,352.776,106.104,-0.066,0.004,5
82977.243,300.017,352.618,105.784,-0.082,-0.017,5
82977.243,300.017,352.618,106.104,-0.066,0.004,5
82969.18,300.016,352.538,106.104,-0.05,-0.007,5
82981.274,300.016,352.697,106.584,-0.082,-0.007,5
82981.274,300.016,352.697,106.264,-0.082,-0.017,5
82985.305,300.017,352.697,106.104,-0.082,-0.028,5
82985.305,300.017,352.776,106.584,-0.099,-0.007,5
82981.274,300.012,352.855,106.424,-0.066,0.004,5
82977.243,300.017,352.776,106.905,-0.099,-0.017,5
82981.274,300.016,352.855,106.745,-0.115,0.004,5
82985.305,300.012,352.776,107.065,-0.066,-0.007,5
82981.274,300.014,352.934,107.065,-0.099,0.004,5
82981.274,300.014,352.697,106.905,-0.082,0.004,5
82977.243,300.014,352.776,107.065,-0.082,-0.017,5
82985.305,300.017,352.697,106.905,-0.066,-0.007,5
82985.305,300.016,352.776,107.065,-0.05,-0.007,5
82985.305,300.016,352.697,107.225,-0.082,-0.017,5
82985.305,300.016,352.697,107.065,-0.033,-0.007,5
82981.274,300.016,352.697,107.225,-0.082,-0.007,5
82985.305,300.02,352.697,107.065,-0.099,-0.017,5
82989.337,300.019,352.776,106.745,-0.082,0.004,5
82985.305,300.017,352.776,106.905,-0.066,0.004,5
82989.337,300.019,352.618,106.905,-0.082,0.004,5
82993.368,300.02,352.697,106.905,-0.082,-0.007,5
82989.337,300.019,352.697,106.905,-0.066,0.015,5
82985.305,300.016,352.697,106.905,-0.05,-0.028,5
82985.305,300.019,352.697,106.424,-0.066,-0.017,5
82993.368,300.022,352.776,106.424,-0.115,0.015,5
82989.337,300.019,352.855,106.104,-0.066,-0.007,5
82993.368,300.017,352.618,105.944,-0.082,0.004,5
