%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82936.929,300.777,8.612,3.061,-251.934,215.601,1.000
82944.991,300.778,8.691,2.580,-251.950,215.580,1.000
82936.929,300.780,8.612,2.901,-251.934,215.601,1.000
82940.960,300.780,8.691,2.740,-251.934,215.590,1.000
82940.960,300.778,8.770,2.580,-251.966,215.580,1.000
82936.929,300.778,8.533,2.901,-251.934,215.601,1.000
82936.929,300.780,8.691,2.901,-251.934,215.590,1.000
82936.929,300.782,8.612,2.740,-251.950,215.590,1.000
82936.929,300.782,8.533,2.901,-251.934,215.601,1.000
82936.929,300.782,8.691,3.061,-251.934,215.590,1.000
82940.960,300.782,8.533,2.901,-251.966,215.601,1.000
82932.897,300.780,8.612,2.740,-251.934,215.601,1.000
82940.960,300.783,8.453,3.061,-251.950,215.601,1.000
82936.929,300.783,8.453,2.901,-251.934,215.601,1.000
82940.960,300.783,8.453,2.901,-251.950,215.601,1.000
82940.960,300.782,8.533,2.901,-251.934,215.580,1.000
82940.960,300.785,8.612,3.061,-251.950,215.601,1.000
82936.929,300.785,8.453,2.901,-251.950,215.580,1.000
82936.929,300.785,8.533,3.061,-251.934,215.590,1.000
82936.929,300.783,8.533,2.901,-251.917,215.601,1.000
82936.929,300.782,8.453,2.901,-251.934,215.590,1.000
82940.960,300.783,8.374,2.901,-251.950,215.601,1.000
82940.960,300.785,8.533,2.901,-251.934,215.590,1.000
82932.897,300.782,8.295,3.061,-251.917,215.590,1.000
82940.960,300.782,8.374,2.740,-251.934,215.601,1.000
82936.929,300.783,8.374,2.420,-251.934,215.590,1.000
82936.929,300.782,8.374,2.580,-251.950,215.601,1.000
82936.929,300.782,8.374,2.740,-251.934,215.611,1.000
82944.991,300.783,8.453,2.740,-251.934,215.611,1.000
82940.960,300.780,8.453,2.580,-251.901,215.601,1.000
82940.960,300.783,8.453,2.740,-251.950,215.590,1.000
82936.929,300.782,8.374,2.740,-251.934,215.590,1.000
82936.929,300.780,8.295,2.740,-251.966,215.590,1.000
82944.991,300.782,8.533,2.260,-251.934,215.590,1.000
82940.960,300.778,8.137,2.260,-251.934,215.590,1.000
82940.960,300.780,8.374,2.260,-251.934,215.601,1.000
82944.991,300.782,8.295,2.740,-251.917,215.611,1.000
82936.929,300.780,8.374,2.580,-251.934,215.580,1.000
