%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83069.965,302.752,-1.055,0.927,-272.578,-70.293,0.500
83065.933,302.754,-1.213,0.927,-272.561,-70.314,0.500
83065.933,302.752,-1.213,1.087,-272.578,-70.304,0.500
83065.933,302.754,-1.055,0.767,-272.594,-70.304,0.500
83065.933,302.752,-1.213,0.927,-272.578,-70.282,0.500
83069.965,302.752,-1.134,1.087,-272.561,-70.293,0.500
83065.933,302.754,-1.134,0.927,-272.561,-70.304,0.500
83073.996,302.752,-1.055,1.087,-272.594,-70.282,0.500
83065.933,302.755,-1.134,0.927,-272.561,-70.293,0.500
83065.933,302.754,-1.134,1.087,-272.561,-70.293,0.500
83065.933,302.754,-1.055,0.767,-272.578,-70.293,0.500
83061.902,302.750,-1.134,1.087,-272.578,-70.314,0.500
83073.996,302.755,-0.976,1.087,-272.594,-70.293,0.500
83065.933,302.754,-1.134,0.767,-272.578,-70.293,0.500
83061.902,302.754,-1.134,1.087,-272.578,-70.304,0.500
83061.902,302.754,-1.134,0.927,-272.594,-70.282,0.500
83065.933,302.755,-1.134,1.567,-272.578,-70.304,0.500
83065.933,302.755,-1.134,1.087,-272.561,-70.271,0.500
83061.902,302.755,-1.055,1.407,-272.578,-70.282,0.500
83069.965,302.755,-1.134,1.087,-272.561,-70.282,0.500
83065.933,302.755,-1.134,0.767,-272.561,-70.304,0.500
83061.902,302.752,-1.134,1.087,-272.578,-70.293,0.500
83057.870,302.754,-1.134,1.087,-272.561,-70.282,0.500
83065.933,302.754,-0.976,1.087,-272.578,-70.304,0.500
83069.965,302.754,-1.055,1.087,-272.578,-70.282,0.500
83065.933,302.754,-1.055,1.247,-272.545,-70.304,0.500
83065.933,302.754,-0.976,1.087,-272.561,-70.314,0.500
83065.933,302.754,-1.055,1.087,-272.545,-70.314,0.500
83061.902,302.754,-1.055,1.247,-272.578,-70.293,0.500
83069.965,302.755,-1.055,0.927,-272.578,-70.271,0.500
83061.902,302.752,-0.897,0.927,-272.594,-70.282,0.500
83061.902,302.752,-1.134,1.087,-272.561,-70.304,0.500
83061.902,302.755,-0.976,1.407,-272.578,-70.314,0.500
83065.933,302.757,-1.055,0.927,-272.545,-70.293,0.500
83061.902,302.752,-0.976,1.247,-272.561,-70.304,0.500
83061.902,302.752,-1.055,1.087,-272.561,-70.304,0.500
83065.933,302.752,-1.134,1.087,-272.545,-70.293,0.500
83069.965,302.755,-1.055,1.087,-272.578,-70.293,0.500
83049.808,302.752,-1.213,1.247,-272.578,-70.304,0.500
83065.933,302.750,-1.134,1.087,-272.578,-70.304,0.500
83061.902,302.754,-1.055,1.087,-272.578,-70.293,0.500
83065.933,302.752,-1.055,1.087,-272.610,-70.304,0.500
83069.965,302.750,-0.976,1.407,-272.561,-70.293,0.500
83061.902,302.750,-1.055,1.087,-272.561,-70.282,0.500
83061.902,302.747,-1.134,1.407,-272.578,-70.304,0.500
83061.902,302.752,-0.976,1.407,-272.545,-70.304,0.500
83069.965,302.750,-0.897,1.247,-272.561,-70.304,0.500
83061.902,302.752,-0.818,1.247,-272.561,-70.282,0.500
83069.965,302.752,-1.055,1.567,-272.578,-70.293,0.500
83061.902,302.750,-0.818,1.407,-272.561,-70.282,0.500
83065.933,302.752,-1.055,1.247,-272.578,-70.293,0.500
83069.965,302.750,-1.055,1.407,-272.594,-70.293,0.500
83065.933,302.752,-1.134,1.247,-272.561,-70.293,0.500
83069.965,302.752,-1.055,1.407,-272.578,-70.293,0.500
83073.996,302.754,-1.055,1.247,-272.545,-70.293,0.500
83065.933,302.754,-1.055,1.087,-272.561,-70.293,0.500
83069.965,302.752,-1.213,1.247,-272.561,-70.325,0.500
83078.027,302.752,-1.055,1.087,-272.561,-70.293,0.500
83069.965,302.747,-1.134,1.247,-272.594,-70.293,0.500
83069.965,302.754,-1.134,1.407,-272.561,-70.304,0.500
83069.965,302.750,-0.976,1.247,-272.594,-70.304,0.500
83069.965,302.754,-1.134,1.247,-272.578,-70.304,0.500
83065.933,302.754,-1.134,1.247,-272.578,-70.304,0.500
83073.996,302.754,-1.134,1.247,-272.561,-70.293,0.500
83061.902,302.754,-0.976,1.087,-272.561,-70.293,0.500
83065.933,302.757,-1.292,1.247,-272.561,-70.293,0.500
83069.965,302.755,-1.134,1.247,-272.561,-70.293,0.500
83069.965,302.754,-1.213,0.927,-272.545,-70.293,0.500
83065.933,302.754,-1.134,1.087,-272.545,-70.282,0.500
83069.965,302.757,-1.213,1.247,-272.578,-70.304,0.500
83069.965,302.757,-1.134,1.087,-272.594,-70.304,0.500
83073.996,302.755,-1.213,1.087,-272.561,-70.293,0.500
83065.933,302.757,-1.213,1.087,-272.578,-70.293,0.500
83065.933,302.755,-1.134,1.087,-272.578,-70.304,0.500
83069.965,302.757,-1.134,0.606,-272.545,-70.293,0.500
83065.933,302.759,-1.134,1.087,-272.545,-70.304,0.500
83065.933,302.755,-1.213,0.927,-272.594,-70.293,0.500
83065.933,302.757,-1.213,0.927,-272.561,-70.304,0.500
83065.933,302.755,-1.292,1.087,-272.545,-70.293,0.500
83065.933,302.754,-1.134,1.247,-272.578,-70.293,0.500
83065.933,302.755,-1.134,0.606,-272.594,-70.304,0.500
83065.933,302.759,-1.134,1.087,-272.578,-70.293,0.500
83065.933,302.759,-1.213,1.087,-272.578,-70.293,0.500
83057.870,302.755,-1.055,1.087,-272.594,-70.271,0.500
83057.870,302.755,-1.055,0.927,-272.578,-70.304,0.500
83057.870,302.752,-1.134,0.927,-272.578,-70.293,0.500
83057.870,302.755,-1.055,1.087,-272.561,-70.282,0.500
83057.870,302.752,-1.055,0.767,-272.578,-70.293,0.500
83049.808,302.754,-1.055,0.927,-272.561,-70.304,0.500
83061.902,302.752,-1.055,0.927,-272.578,-70.282,0.500
83045.776,302.755,-1.134,0.927,-272.561,-70.304,0.500
83053.839,302.754,-1.055,1.247,-272.578,-70.293,0.500
83061.902,302.752,-1.055,1.247,-272.578,-70.304,0.500
83057.870,302.752,-0.897,1.407,-272.578,-70.293,0.500
83057.870,302.754,-1.055,1.407,-272.561,-70.282,0.500
83053.839,302.752,-1.055,1.087,-272.594,-70.304,0.500
83057.870,302.752,-0.976,1.247,-272.594,-70.282,0.500
83061.902,302.755,-0.897,1.087,-272.578,-70.293,0.500
83065.933,302.754,-1.213,1.407,-272.578,-70.304,0.500
83061.902,302.754,-1.055,1.567,-272.578,-70.304,0.500
83061.902,302.755,-1.213,1.407,-272.578,-70.293,0.500
83065.933,302.754,-0.976,1.407,-272.578,-70.293,0.500
83057.870,302.754,-1.134,1.247,-272.594,-70.293,0.500
83065.933,302.752,-1.055,1.087,-272.578,-70.304,0.500
83065.933,302.755,-0.976,1.247,-272.561,-70.293,0.500
83069.965,302.757,-1.055,1.087,-272.594,-70.282,0.500
83069.965,302.759,-0.976,1.567,-272.561,-70.293,0.500
83078.027,302.755,-1.134,1.247,-272.561,-70.282,0.500
83069.965,302.757,-1.055,1.407,-272.561,-70.293,0.500
83065.933,302.757,-1.134,1.407,-272.545,-70.304,0.500
83073.996,302.755,-1.055,1.407,-272.578,-70.293,0.500
83069.965,302.757,-1.134,1.087,-272.578,-70.304,0.500
83073.996,302.754,-1.213,1.247,-272.578,-70.293,0.500
83078.027,302.755,-1.213,1.247,-272.594,-70.293,0.500
83078.027,302.754,-1.134,0.927,-272.561,-70.282,0.500
83069.965,302.754,-1.213,0.927,-272.561,-70.282,0.500
83078.027,302.759,-1.213,1.247,-272.578,-70.293,0.500
83078.027,302.757,-1.213,0.927,-272.578,-70.282,0.500
83078.027,302.757,-1.134,0.927,-272.561,-70.304,0.500
83078.027,302.759,-1.134,0.927,-272.578,-70.282,0.500
83073.996,302.757,-1.134,0.927,-272.578,-70.282,0.500
83073.996,302.755,-1.213,0.927,-272.561,-70.304,0.500
83073.996,302.754,-1.213,0.927,-272.561,-70.293,0.500
