%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82888.552,300.151,348.931,106.349,0.013,0.016,5.000
82892.583,300.149,348.694,106.669,-0.003,-0.005,5.000
82888.552,300.149,348.852,107.150,0.013,0.005,5.000
82892.583,300.151,348.852,106.989,0.029,0.005,5.000
82888.552,300.149,348.931,107.470,-0.003,0.005,5.000
82888.552,300.151,348.931,107.790,0.029,-0.005,5.000
82892.583,300.154,349.089,107.790,-0.003,0.005,5.000
82892.583,300.154,348.931,107.470,0.029,-0.005,5.000
82896.615,300.149,349.010,107.790,-0.020,-0.005,5.000
82896.615,300.151,349.247,108.270,-0.003,0.016,5.000
82896.615,300.151,349.247,108.590,0.013,0.016,5.000
82888.552,300.153,349.247,108.430,-0.003,0.005,5.000
82892.583,300.153,349.326,108.911,0.013,0.005,5.000
82892.583,300.153,349.326,108.751,0.013,-0.016,5.000
82892.583,300.153,349.326,108.911,-0.003,-0.005,5.000
82892.583,300.153,349.484,109.231,-0.003,-0.005,5.000
82896.615,300.153,349.563,109.391,0.013,0.016,5.000
82896.615,300.154,349.642,109.551,0.013,-0.005,5.000
82896.615,300.154,349.563,109.871,-0.003,0.005,5.000
82896.615,300.153,349.642,109.871,-0.020,0.016,5.000
82896.615,300.153,349.563,109.871,0.013,-0.005,5.000
82896.615,300.154,349.721,110.031,-0.020,0.005,5.000
82892.583,300.156,349.563,110.191,-0.003,0.005,5.000
82904.677,300.157,349.563,110.031,-0.003,-0.016,5.000
82900.646,300.154,349.721,110.351,-0.020,0.005,5.000
82904.677,300.156,349.642,110.351,0.013,0.005,5.000
82904.677,300.156,349.721,110.351,0.013,0.005,5.000
82900.646,300.157,349.642,110.191,0.013,0.005,5.000
82908.709,300.157,349.721,110.191,0.029,0.016,5.000
82904.677,300.156,349.642,110.512,-0.020,-0.005,5.000
82912.740,300.154,349.642,110.351,-0.003,0.016,5.000
82896.615,300.153,349.642,110.191,-0.020,0.016,5.000
82900.646,300.159,349.563,110.351,0.029,0.005,5.000
82904.677,300.154,349.563,110.191,-0.036,-0.005,5.000
82904.677,300.154,349.721,110.191,-0.003,0.005,5.000
82900.646,300.156,349.405,110.191,-0.003,0.005,5.000
82908.709,300.154,349.405,110.351,0.013,0.005,5.000
82904.677,300.156,349.484,110.351,-0.003,0.016,5.000
82908.709,300.154,349.484,110.031,-0.003,-0.005,5.000
82904.677,300.156,349.326,110.191,0.013,-0.016,5.000
82908.709,300.157,349.484,110.031,-0.003,0.005,5.000
