%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83122.373,301.781,351.043,118.745,-0.007,0.012,5.000
83122.373,301.781,351.043,118.585,0.009,-0.009,5.000
83114.310,301.781,351.043,118.745,-0.007,0.001,5.000
83122.373,301.781,350.964,118.425,0.025,-0.009,5.000
83114.310,301.778,351.043,118.265,0.009,0.012,5.000
83118.341,301.777,351.043,118.105,-0.007,-0.009,5.000
83122.373,301.778,350.964,117.945,0.009,0.012,5.000
83122.373,301.780,350.964,117.945,0.009,0.012,5.000
83114.310,301.778,350.964,117.625,0.025,0.001,5.000
83126.404,301.783,351.043,117.465,-0.007,0.012,5.000
83130.435,301.780,350.964,117.465,0.009,0.001,5.000
83122.373,301.780,350.964,117.305,0.009,0.001,5.000
83130.435,301.783,351.043,117.305,-0.040,0.001,5.000
83126.404,301.778,350.964,117.305,-0.007,-0.009,5.000
83126.404,301.780,350.964,117.465,0.009,0.012,5.000
83126.404,301.780,350.885,117.465,0.009,-0.009,5.000
83122.373,301.780,350.964,117.465,0.009,0.012,5.000
83130.435,301.778,350.964,117.305,-0.007,0.001,5.000
83130.435,301.780,350.885,117.305,-0.007,-0.009,5.000
83126.404,301.778,350.806,117.465,0.009,0.001,5.000
83126.404,301.778,350.885,117.625,-0.024,0.001,5.000
83130.435,301.781,350.964,117.785,0.009,0.001,5.000
83122.373,301.780,350.885,117.945,0.009,-0.009,5.000
83126.404,301.777,350.806,118.105,-0.007,0.001,5.000
83122.373,301.778,350.885,118.425,-0.007,0.001,5.000
83126.404,301.778,350.806,118.425,0.009,0.012,5.000
83130.435,301.780,350.806,118.745,0.009,0.012,5.000
83122.373,301.778,350.727,118.585,0.009,-0.009,5.000
83118.341,301.780,350.806,119.226,0.009,0.012,5.000
83114.310,301.780,350.569,119.066,-0.007,0.001,5.000
83114.310,301.777,350.727,119.226,-0.024,0.012,5.000
83118.341,301.778,350.569,119.386,-0.007,0.001,5.000
83118.341,301.783,350.648,119.706,-0.007,0.012,5.000
83118.341,301.781,350.569,119.866,0.009,-0.009,5.000
83118.341,301.778,350.490,119.866,-0.007,-0.009,5.000
83118.341,301.781,350.569,120.667,-0.007,0.022,5.000
83122.373,301.780,350.727,120.667,0.009,0.012,5.000
83114.310,301.778,350.648,120.667,0.009,0.022,5.000
83114.310,301.778,350.648,120.827,-0.024,0.001,5.000
83110.279,301.781,350.648,121.147,-0.024,0.001,5.000
83122.373,301.780,350.569,121.147,-0.007,-0.009,5.000
83118.341,301.781,350.490,121.467,-0.024,0.001,5.000
83118.341,301.778,350.490,121.307,0.025,-0.009,5.000
83122.373,301.783,350.648,121.307,0.009,0.001,5.000
83118.341,301.783,350.569,121.627,-0.024,0.001,5.000
83118.341,301.783,350.648,121.787,0.009,0.001,5.000
83118.341,301.780,350.569,121.627,0.009,0.001,5.000
83114.310,301.781,350.569,121.947,-0.040,-0.009,5.000
83114.310,301.781,350.569,122.107,0.009,-0.009,5.000
83118.341,301.781,350.727,122.107,0.025,-0.009,5.000
83114.310,301.783,350.569,122.107,0.009,-0.009,5.000
83114.310,301.783,350.648,122.428,0.009,0.012,5.000
83114.310,301.781,350.727,122.267,-0.024,0.012,5.000
83114.310,301.780,350.727,122.107,-0.007,0.001,5.000
83122.373,301.781,350.648,122.588,-0.007,0.001,5.000
83118.341,301.781,350.806,122.588,-0.007,-0.019,5.000
83130.435,301.781,350.727,122.748,-0.007,0.001,5.000
83114.310,301.785,350.806,123.068,0.025,0.001,5.000
83118.341,301.780,350.885,123.068,0.009,-0.009,5.000
83110.279,301.781,350.806,122.748,-0.007,-0.009,5.000
83118.341,301.781,350.806,122.908,0.009,0.001,5.000
83118.341,301.781,350.806,122.908,0.009,0.012,5.000
83118.341,301.780,351.043,122.908,-0.024,0.001,5.000
83118.341,301.781,350.806,123.068,0.009,0.001,5.000
83114.310,301.780,350.806,123.068,0.009,-0.009,5.000
83122.373,301.783,350.806,123.228,-0.024,-0.009,5.000
83114.310,301.780,351.043,123.228,-0.007,0.001,5.000
83114.310,301.780,350.727,123.388,-0.007,0.001,5.000
83118.341,301.777,350.806,123.548,-0.007,-0.009,5.000
83114.310,301.780,350.806,123.708,-0.007,0.012,5.000
83118.341,301.780,350.885,123.708,0.009,0.001,5.000
83118.341,301.780,351.043,123.868,0.009,0.012,5.000
83114.310,301.778,350.885,124.189,-0.024,0.012,5.000
83122.373,301.780,350.806,124.189,-0.007,0.001,5.000
83114.310,301.777,350.885,124.349,-0.007,0.001,5.000
83110.279,301.778,350.806,124.509,0.009,-0.019,5.000
83114.310,301.778,350.885,124.669,0.009,0.012,5.000
83122.373,301.775,350.727,124.509,0.009,0.001,5.000
83118.341,301.777,350.806,124.509,0.025,0.012,5.000
83114.310,301.778,350.648,124.669,-0.007,-0.009,5.000
83122.373,301.780,350.727,124.829,0.009,-0.019,5.000
83114.310,301.775,350.806,124.989,0.009,0.001,5.000
83114.310,301.780,350.727,125.469,0.009,0.022,5.000
83118.341,301.777,350.727,124.989,-0.007,0.001,5.000
83118.341,301.778,350.569,125.469,0.025,-0.009,5.000
83118.341,301.778,350.490,125.469,-0.040,-0.009,5.000
83114.310,301.777,350.569,125.629,-0.007,0.001,5.000
83122.373,301.775,350.490,125.629,0.009,0.012,5.000
83114.310,301.777,350.411,125.790,-0.007,0.001,5.000
83126.404,301.773,350.569,125.950,0.009,0.012,5.000
83126.404,301.778,350.569,125.309,-0.024,0.012,5.000
83122.373,301.777,350.490,125.469,-0.007,0.001,5.000
83118.341,301.773,350.411,125.629,-0.007,0.012,5.000
83122.373,301.781,350.411,125.309,-0.024,0.001,5.000
83118.341,301.778,350.332,125.629,-0.007,0.022,5.000
83118.341,301.778,350.569,125.309,0.009,0.022,5.000
83122.373,301.778,350.490,125.309,0.025,0.001,5.000
83122.373,301.778,350.411,124.989,-0.007,0.001,5.000
83122.373,301.777,350.569,124.989,-0.007,0.022,5.000
83122.373,301.780,350.569,124.669,-0.007,0.012,5.000
83126.404,301.778,350.569,124.989,-0.024,0.012,5.000
83130.435,301.778,350.490,124.509,-0.024,0.022,5.000
83126.404,301.780,350.332,124.189,0.009,0.001,5.000
83130.435,301.783,350.332,124.349,-0.007,0.001,5.000
83126.404,301.780,350.490,124.189,-0.007,0.012,5.000
83122.373,301.780,350.490,124.029,0.025,0.001,5.000
83130.435,301.780,350.569,123.548,0.009,0.001,5.000
83118.341,301.780,350.490,123.548,-0.007,0.022,5.000
83130.435,301.781,350.411,123.228,-0.007,-0.009,5.000
83126.404,301.781,350.490,123.388,-0.007,0.001,5.000
83126.404,301.780,350.411,123.228,-0.024,-0.009,5.000
83126.404,301.781,350.490,122.908,-0.007,-0.009,5.000
83126.404,301.783,350.490,123.068,-0.007,0.012,5.000
83118.341,301.780,350.253,122.588,0.009,0.001,5.000
83130.435,301.781,350.569,122.267,-0.024,0.001,5.000
83130.435,301.783,350.411,122.267,-0.007,0.032,5.000
83126.404,301.780,350.332,122.267,-0.024,0.001,5.000
83126.404,301.781,350.490,122.428,0.025,-0.009,5.000
83126.404,301.783,350.332,122.107,0.009,0.001,5.000
83126.404,301.781,350.411,121.947,-0.024,0.012,5.000
83122.373,301.785,350.490,121.947,0.025,0.001,5.000
83118.341,301.780,350.411,121.947,-0.007,-0.009,5.000
83118.341,301.786,350.332,122.107,0.009,0.001,5.000
83122.373,301.781,350.490,121.947,-0.007,0.001,5.000
83122.373,301.780,350.569,122.267,0.009,0.012,5.000
83114.310,301.783,350.569,121.947,-0.007,0.012,5.000
83122.373,301.780,350.411,121.947,-0.024,0.001,5.000
83130.435,301.780,350.332,122.107,-0.024,-0.019,5.000
83122.373,301.783,350.411,122.267,0.009,0.001,5.000
83130.435,301.783,350.490,122.428,-0.024,-0.019,5.000
83122.373,301.781,350.332,122.107,-0.007,0.001,5.000
83130.435,301.777,350.332,122.107,-0.007,0.001,5.000
83118.341,301.780,350.411,122.588,0.009,-0.009,5.000
83130.435,301.780,350.411,122.428,-0.007,-0.009,5.000
83118.341,301.781,350.490,122.588,-0.007,-0.009,5.000
83122.373,301.778,350.174,122.748,0.009,0.001,5.000
83122.373,301.780,350.411,123.388,-0.007,0.022,5.000
83118.341,301.780,350.332,123.068,0.009,0.012,5.000
83126.404,301.778,350.490,123.548,-0.007,-0.029,5.000
83126.404,301.780,350.332,123.708,-0.024,0.001,5.000
83126.404,301.780,350.253,123.228,-0.024,0.012,5.000
83126.404,301.778,350.411,124.029,-0.007,0.022,5.000
83118.341,301.780,350.253,124.029,-0.007,0.001,5.000
83114.310,301.777,350.569,123.868,-0.024,0.022,5.000
83118.341,301.778,350.411,124.189,-0.024,0.001,5.000
83118.341,301.778,350.174,124.349,0.025,-0.009,5.000
83126.404,301.777,350.490,124.349,0.025,-0.009,5.000
83114.310,301.778,350.332,124.509,0.009,-0.009,5.000
83114.310,301.780,350.332,124.349,0.009,0.012,5.000
83122.373,301.785,350.490,124.829,-0.024,0.001,5.000
83118.341,301.780,350.411,124.829,-0.024,0.001,5.000
83122.373,301.778,350.569,124.989,0.009,0.022,5.000
83118.341,301.783,350.411,124.669,-0.024,-0.019,5.000
