%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82912.740,301.217,347.687,134.981,-0.003,0.009,5.000
82916.772,301.219,347.845,135.141,0.029,0.009,5.000
82924.834,301.217,347.924,134.981,-0.020,-0.011,5.000
82916.772,301.219,347.845,134.981,-0.003,-0.001,5.000
82924.834,301.217,348.003,134.661,0.029,-0.001,5.000
82916.772,301.220,347.924,134.501,-0.003,0.009,5.000
82920.803,301.220,348.003,134.661,-0.003,0.009,5.000
82908.709,301.220,348.161,134.501,-0.003,-0.001,5.000
82912.740,301.217,348.003,134.661,0.029,-0.001,5.000
82916.772,301.217,348.082,134.501,0.013,-0.001,5.000
82908.709,301.217,348.003,134.501,-0.003,-0.001,5.000
82916.772,301.219,348.082,134.180,-0.020,-0.001,5.000
82912.740,301.217,348.161,133.860,-0.003,-0.011,5.000
82916.772,301.220,348.240,134.020,-0.020,-0.001,5.000
82916.772,301.222,348.161,133.860,0.029,-0.001,5.000
82916.772,301.220,348.398,133.700,-0.003,-0.001,5.000
82912.740,301.219,348.082,133.380,0.013,-0.001,5.000
82912.740,301.217,348.161,133.540,0.013,-0.011,5.000
82904.677,301.220,348.319,133.220,0.013,-0.001,5.000
82912.740,301.217,348.398,132.900,-0.003,0.020,5.000
82908.709,301.217,348.319,132.900,-0.003,0.009,5.000
82912.740,301.217,348.398,132.900,0.013,0.009,5.000
82916.772,301.219,348.240,132.900,-0.003,0.009,5.000
82912.740,301.219,348.477,132.740,0.013,-0.021,5.000
82908.709,301.220,348.398,132.579,-0.003,-0.011,5.000
82916.772,301.220,348.398,132.259,0.013,-0.011,5.000
82912.740,301.219,348.319,132.259,0.013,-0.021,5.000
82916.772,301.220,348.240,132.419,0.013,-0.001,5.000
82920.803,301.217,348.477,131.779,0.013,0.009,5.000
82916.772,301.217,348.398,131.779,0.013,-0.011,5.000
82912.740,301.217,348.477,131.779,-0.003,0.009,5.000
82916.772,301.217,348.398,131.459,-0.003,0.009,5.000
82916.772,301.217,348.477,131.459,0.013,0.009,5.000
82916.772,301.219,348.477,131.459,0.013,-0.001,5.000
82916.772,301.219,348.556,131.139,-0.003,0.009,5.000
82920.803,301.219,348.398,131.139,0.013,0.009,5.000
82924.834,301.217,348.477,130.978,0.013,-0.001,5.000
82920.803,301.217,348.556,130.818,-0.020,0.009,5.000
82924.834,301.217,348.635,130.978,0.013,0.009,5.000
82916.772,301.217,348.556,130.658,-0.020,0.009,5.000
82920.803,301.214,348.477,130.498,0.013,-0.001,5.000
82916.772,301.214,348.635,130.498,0.013,0.009,5.000
82924.834,301.215,348.714,130.498,0.013,-0.011,5.000
82920.803,301.214,348.714,130.498,-0.003,0.009,5.000
82920.803,301.215,348.477,130.338,-0.020,-0.011,5.000
82916.772,301.219,348.635,130.498,0.013,0.020,5.000
82924.834,301.219,348.556,130.338,-0.003,-0.001,5.000
82924.834,301.219,348.714,130.338,0.013,0.009,5.000
82920.803,301.219,348.793,130.178,0.013,-0.011,5.000
82920.803,301.220,348.793,130.178,-0.003,-0.001,5.000
82924.834,301.219,348.872,130.178,0.013,-0.011,5.000
82920.803,301.217,348.793,130.498,0.013,-0.001,5.000
82924.834,301.217,348.951,130.498,-0.020,0.009,5.000
82924.834,301.217,348.872,130.338,0.013,-0.001,5.000
82920.803,301.217,348.793,130.338,-0.003,0.020,5.000
82924.834,301.217,348.872,130.498,-0.003,0.009,5.000
82920.803,301.217,349.030,130.658,-0.003,-0.011,5.000
82920.803,301.220,348.951,130.818,0.029,-0.001,5.000
82928.866,301.222,348.951,130.658,0.013,0.009,5.000
82924.834,301.220,349.030,130.978,-0.003,-0.001,5.000
82916.772,301.219,348.872,131.139,-0.020,0.009,5.000
82920.803,301.219,348.951,131.139,-0.003,-0.001,5.000
82924.834,301.220,349.109,131.299,-0.003,-0.011,5.000
82924.834,301.222,348.951,131.459,0.029,0.020,5.000
82920.803,301.217,349.109,131.619,-0.003,-0.001,5.000
82916.772,301.220,349.030,131.619,0.013,-0.011,5.000
82920.803,301.219,348.951,131.779,-0.003,-0.001,5.000
82920.803,301.222,348.951,131.939,-0.003,0.009,5.000
82920.803,301.217,349.109,132.099,-0.003,-0.011,5.000
82920.803,301.220,349.109,132.099,-0.036,0.009,5.000
82920.803,301.220,349.109,132.099,-0.020,-0.001,5.000
82924.834,301.223,349.188,132.259,0.013,-0.001,5.000
82920.803,301.223,349.267,132.259,-0.003,-0.011,5.000
82928.866,301.222,349.109,132.419,0.013,-0.011,5.000
82920.803,301.222,349.188,132.579,-0.020,-0.021,5.000
82920.803,301.220,349.109,132.579,-0.003,-0.011,5.000
82924.834,301.219,349.346,132.579,-0.003,-0.001,5.000
82924.834,301.217,349.267,132.740,0.013,-0.001,5.000
82924.834,301.219,349.109,133.060,-0.020,-0.001,5.000
82924.834,301.222,349.188,133.060,0.013,-0.001,5.000
82924.834,301.220,349.109,132.740,-0.003,-0.001,5.000
82928.866,301.220,349.109,132.900,-0.003,-0.011,5.000
82916.772,301.219,349.267,132.900,0.046,0.009,5.000
82924.834,301.217,349.267,132.900,0.046,-0.001,5.000
82916.772,301.217,349.188,133.220,-0.020,-0.011,5.000
82916.772,301.215,349.267,133.220,-0.003,-0.011,5.000
82920.803,301.220,349.188,133.060,0.013,-0.011,5.000
82916.772,301.219,349.109,133.060,-0.003,0.009,5.000
82916.772,301.220,349.188,133.220,-0.003,0.009,5.000
82916.772,301.219,349.030,133.060,-0.003,0.009,5.000
82916.772,301.219,349.030,133.380,0.013,-0.001,5.000
82912.740,301.217,349.030,133.060,-0.003,-0.001,5.000
82924.834,301.215,349.030,133.060,-0.003,0.020,5.000
82916.772,301.214,349.030,133.060,0.013,-0.001,5.000
82920.803,301.217,349.030,133.220,-0.003,-0.001,5.000
82916.772,301.217,349.030,133.220,-0.003,-0.001,5.000
82916.772,301.217,348.951,133.380,-0.003,-0.011,5.000
82924.834,301.219,348.951,133.220,-0.020,0.009,5.000
82916.772,301.219,349.030,133.220,0.013,0.009,5.000
82916.772,301.219,348.951,133.220,-0.020,-0.001,5.000
82920.803,301.219,348.951,133.060,-0.036,-0.001,5.000
82916.772,301.215,348.872,132.740,0.013,-0.011,5.000
82916.772,301.215,348.714,133.220,0.013,0.009,5.000
82920.803,301.214,348.793,133.220,0.013,-0.001,5.000
82908.709,301.215,348.714,133.220,0.013,-0.001,5.000
82912.740,301.219,348.714,133.060,-0.020,0.009,5.000
82908.709,301.217,348.714,132.900,-0.003,-0.011,5.000
82916.772,301.215,348.714,133.060,0.013,-0.001,5.000
82920.803,301.217,348.635,132.900,0.013,0.020,5.000
82916.772,301.219,348.714,132.900,0.013,-0.011,5.000
82912.740,301.219,348.714,132.900,-0.020,-0.001,5.000
82912.740,301.217,348.635,133.220,0.029,-0.011,5.000
82908.709,301.215,348.556,133.060,-0.003,-0.001,5.000
82912.740,301.215,348.477,132.740,0.013,-0.011,5.000
82916.772,301.214,348.556,133.060,-0.003,0.020,5.000
82908.709,301.212,348.477,133.060,0.013,-0.011,5.000
82908.709,301.219,348.556,132.900,0.029,0.020,5.000
82920.803,301.217,348.240,133.380,-0.003,-0.011,5.000
82904.677,301.217,348.319,132.900,0.013,-0.001,5.000
82912.740,301.217,348.319,133.220,0.046,0.009,5.000
82912.740,301.219,348.319,133.060,-0.020,-0.001,5.000
82908.709,301.219,348.161,133.380,-0.003,-0.001,5.000
82916.772,301.217,348.319,132.900,-0.020,0.009,5.000
82908.709,301.220,348.161,133.220,-0.003,-0.001,5.000
82912.740,301.219,348.161,133.060,0.013,-0.001,5.000
82908.709,301.215,348.082,133.060,-0.003,0.009,5.000
82916.772,301.217,348.082,133.220,0.013,-0.011,5.000
82920.803,301.220,348.003,133.060,0.013,-0.001,5.000
82912.740,301.220,347.924,133.220,-0.003,-0.011,5.000
82908.709,301.220,348.082,133.220,0.013,-0.001,5.000
82916.772,301.219,348.240,133.380,0.013,-0.001,5.000
82912.740,301.220,348.161,133.220,-0.003,-0.001,5.000
82916.772,301.222,348.003,132.900,0.029,0.009,5.000
82916.772,301.219,348.082,133.220,-0.003,-0.001,5.000
82916.772,301.217,348.082,133.060,-0.003,-0.001,5.000
82912.740,301.220,348.240,133.060,0.013,-0.011,5.000
82912.740,301.215,348.082,133.060,-0.020,-0.011,5.000
82908.709,301.217,348.003,133.060,0.029,-0.001,5.000
82916.772,301.217,348.082,132.740,0.029,0.009,5.000
82908.709,301.217,348.161,132.900,-0.003,-0.001,5.000
82908.709,301.215,348.082,132.900,-0.003,0.009,5.000
82912.740,301.219,348.161,132.740,-0.003,-0.001,5.000
82912.740,301.219,348.161,132.740,0.013,-0.001,5.000
82908.709,301.219,348.161,132.579,0.013,-0.011,5.000
82908.709,301.217,348.161,132.740,0.013,0.009,5.000
82912.740,301.217,348.240,132.579,0.046,-0.001,5.000
82920.803,301.220,348.319,132.259,-0.003,0.020,5.000
82912.740,301.220,348.003,132.099,0.013,0.009,5.000
82908.709,301.217,348.240,132.099,0.013,0.009,5.000
82916.772,301.219,348.161,132.259,-0.003,0.009,5.000
82904.677,301.219,348.082,131.779,0.013,-0.011,5.000
82912.740,301.219,348.082,131.779,-0.003,0.009,5.000
82908.709,301.217,348.319,131.779,-0.003,-0.001,5.000
82920.803,301.219,348.161,131.779,-0.003,-0.011,5.000
82912.740,301.219,348.240,131.619,-0.020,-0.001,5.000
82912.740,301.219,348.082,131.779,-0.003,-0.001,5.000
82916.772,301.219,348.240,131.299,-0.003,-0.011,5.000
82920.803,301.219,348.161,131.299,0.013,-0.001,5.000
82916.772,301.220,348.161,130.978,0.013,0.009,5.000
82916.772,301.217,348.161,131.139,0.029,-0.001,5.000
82920.803,301.217,348.161,130.818,0.029,0.009,5.000
82920.803,301.217,348.082,130.978,-0.003,0.009,5.000
82920.803,301.215,348.082,130.658,-0.003,0.020,5.000
82920.803,301.215,348.082,130.498,0.013,-0.001,5.000
82920.803,301.215,348.082,130.658,-0.003,-0.001,5.000
82912.740,301.217,348.082,130.338,0.029,0.030,5.000
82924.834,301.217,348.082,130.178,-0.003,0.009,5.000
82920.803,301.217,348.082,130.178,0.029,0.009,5.000
82928.866,301.219,348.082,130.018,-0.003,-0.001,5.000
82924.834,301.214,348.082,129.698,-0.003,-0.001,5.000
82924.834,301.215,348.082,129.698,0.013,0.009,5.000
82924.834,301.217,348.082,129.217,-0.003,0.020,5.000
82924.834,301.219,348.082,129.538,-0.003,-0.001,5.000
82916.772,301.215,348.003,129.057,0.013,-0.001,5.000
82920.803,301.217,348.003,128.897,0.013,0.009,5.000
82920.803,301.219,348.082,128.737,0.013,-0.001,5.000
82924.834,301.219,347.924,128.737,-0.003,-0.001,5.000
82928.866,301.219,348.003,128.737,-0.003,0.009,5.000
82928.866,301.217,348.003,128.737,-0.036,-0.001,5.000
82924.834,301.219,348.003,128.257,-0.003,0.009,5.000
82924.834,301.219,347.924,128.097,-0.020,-0.001,5.000
82924.834,301.220,348.082,128.097,-0.003,0.009,5.000
82920.803,301.220,348.082,128.257,0.013,-0.001,5.000
82908.709,301.220,348.161,127.937,-0.020,-0.011,5.000
82920.803,301.219,348.003,127.777,0.013,-0.001,5.000
82924.834,301.222,348.161,127.456,0.029,-0.011,5.000
82916.772,301.219,348.003,127.617,0.013,-0.011,5.000
82928.866,301.222,348.003,127.296,-0.003,-0.011,5.000
82924.834,301.219,348.161,127.456,0.029,0.009,5.000
82924.834,301.217,348.082,127.456,-0.020,0.009,5.000
82920.803,301.220,348.082,127.296,-0.003,0.009,5.000
82916.772,301.219,348.003,127.296,-0.020,0.020,5.000
82912.740,301.222,348.082,127.617,0.013,-0.001,5.000
82924.834,301.222,348.082,127.456,-0.003,-0.011,5.000
82916.772,301.219,348.003,127.296,-0.036,-0.001,5.000
82916.772,301.222,348.003,127.617,0.029,-0.001,5.000
82916.772,301.217,348.003,127.617,0.013,-0.011,5.000
82920.803,301.217,348.082,127.456,0.013,-0.001,5.000
82916.772,301.219,347.845,127.617,-0.003,-0.011,5.000
82920.803,301.220,347.766,127.456,0.029,0.009,5.000
82916.772,301.219,347.924,127.777,0.013,-0.001,5.000
82924.834,301.217,347.687,127.617,-0.003,0.009,5.000
82928.866,301.217,347.766,127.937,-0.003,-0.011,5.000
82924.834,301.220,347.924,127.937,-0.003,-0.001,5.000
82916.772,301.217,347.766,128.097,-0.003,-0.001,5.000
82920.803,301.217,347.845,127.937,-0.020,-0.011,5.000
82924.834,301.219,347.687,128.097,-0.003,-0.001,5.000
82928.866,301.217,347.845,128.417,0.013,0.009,5.000
82920.803,301.217,347.845,128.737,-0.020,-0.001,5.000
82924.834,301.215,347.845,128.897,0.013,-0.001,5.000
82924.834,301.217,347.766,128.897,0.013,0.009,5.000
82924.834,301.219,347.766,129.378,0.029,0.020,5.000
82924.834,301.217,347.766,129.698,-0.003,0.009,5.000
82924.834,301.219,347.687,129.538,0.013,0.020,5.000
82924.834,301.219,347.687,129.698,-0.003,-0.001,5.000
82924.834,301.217,347.845,129.858,-0.020,-0.001,5.000
82924.834,301.219,347.845,130.018,-0.003,-0.011,5.000
82920.803,301.215,347.766,130.178,-0.020,0.009,5.000
82924.834,301.222,347.766,130.658,0.013,0.009,5.000
82920.803,301.219,347.608,130.498,-0.003,-0.011,5.000
82920.803,301.219,347.766,130.658,-0.003,-0.001,5.000
82916.772,301.222,348.082,130.978,-0.020,-0.011,5.000
82920.803,301.217,347.845,130.978,-0.003,0.009,5.000
82916.772,301.220,347.845,130.978,-0.003,-0.001,5.000
82916.772,301.220,347.924,131.139,-0.020,-0.011,5.000
82924.834,301.220,347.924,131.459,0.013,-0.001,5.000
82912.740,301.219,348.082,131.459,0.013,-0.001,5.000
82916.772,301.215,348.082,131.459,-0.020,-0.001,5.000
82920.803,301.217,348.082,131.459,-0.003,0.009,5.000
82912.740,301.219,348.082,131.459,-0.003,-0.001,5.000
82920.803,301.219,348.161,131.459,-0.003,-0.011,5.000
82908.709,301.220,348.161,131.299,-0.020,-0.001,5.000
82916.772,301.217,348.240,131.459,0.013,0.009,5.000
82912.740,301.219,348.319,131.459,0.013,-0.011,5.000
82916.772,301.219,348.319,131.299,-0.020,-0.001,5.000
82908.709,301.219,348.477,131.139,0.013,-0.011,5.000
82916.772,301.219,348.398,130.978,-0.003,0.020,5.000
82916.772,301.219,348.477,131.139,-0.003,-0.001,5.000
82912.740,301.219,348.477,130.978,0.029,-0.011,5.000
82916.772,301.222,348.635,130.658,-0.036,0.009,5.000
82912.740,301.217,348.635,130.978,0.013,-0.001,5.000
82912.740,301.220,348.556,130.658,0.046,0.009,5.000
82912.740,301.222,348.398,130.498,0.013,-0.001,5.000
82912.740,301.219,348.556,130.178,0.013,-0.011,5.000
82912.740,301.220,348.714,130.338,-0.003,-0.011,5.000
82912.740,301.220,348.714,130.178,-0.003,-0.001,5.000
82916.772,301.219,348.872,130.018,-0.003,-0.001,5.000
82916.772,301.215,348.714,129.698,-0.003,-0.011,5.000
82920.803,301.219,348.635,129.538,-0.003,-0.001,5.000
82916.772,301.219,348.556,129.378,-0.003,0.009,5.000
82916.772,301.217,348.793,129.378,0.013,-0.001,5.000
82916.772,301.220,348.635,129.378,-0.003,0.009,5.000
82916.772,301.219,348.714,129.538,0.029,0.009,5.000
82920.803,301.215,348.556,129.698,0.013,-0.011,5.000
82924.834,301.217,348.635,129.378,0.013,-0.001,5.000
82916.772,301.217,348.635,129.217,0.013,0.009,5.000
82916.772,301.217,348.635,128.897,0.013,0.009,5.000
82912.740,301.217,348.714,128.897,0.013,-0.001,5.000
82920.803,301.219,348.793,129.057,0.029,-0.001,5.000
82920.803,301.215,348.714,129.217,-0.003,0.009,5.000
82920.803,301.219,348.635,129.217,0.029,-0.011,5.000
82912.740,301.215,348.714,129.057,-0.003,-0.001,5.000
82920.803,301.217,348.635,129.217,-0.003,0.020,5.000
82916.772,301.217,348.556,129.217,-0.003,0.009,5.000
82920.803,301.220,348.635,129.378,-0.003,0.009,5.000
82908.709,301.217,348.477,129.378,-0.020,-0.011,5.000
82924.834,301.219,348.477,129.217,0.013,0.020,5.000
