%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83509.387,302.405,0.962,9.029,39.214,4.411,-1.081,18.532,2.889,-12.733,-15.218,-22.203,-22.740,-22.892,-15.180,-17.083,-18.238,-24.528,-18.396,-18.597,-20.622,-23.068,-11.000,-544.798,-289.718,14.557,-320.344,102.196
83505.355,302.405,0.962,9.029,39.214,4.250,-1.513,18.529,4.280,-12.733,-14.678,-21.062,-23.380,-22.785,-14.398,-17.499,-18.870,-24.741,-17.456,-19.433,-20.622,-22.168,-11.000,-544.798,-289.718,14.557,-320.328,102.185
83505.355,302.407,0.962,9.066,39.531,4.250,-2.053,18.194,3.853,-12.211,-15.002,-21.062,-22.099,-23.106,-14.733,-19.687,-18.870,-24.847,-18.187,-18.910,-21.451,-22.843,-11.000,-544.798,-289.718,14.557,-320.295,102.164
83505.355,302.405,0.962,9.038,39.294,4.411,-2.053,17.301,3.853,-11.272,-14.894,-21.166,-21.992,-21.716,-16.184,-20.937,-18.554,-25.378,-17.665,-18.910,-20.622,-23.518,-11.000,-544.798,-289.718,14.557,-320.312,102.175
83497.292,302.407,0.962,9.039,39.294,4.411,-2.810,18.417,3.318,-11.689,-14.789,-20.958,-22.206,-22.679,-14.956,-21.874,-19.292,-25.272,-18.083,-19.328,-21.140,-22.393,-11.000,-544.798,-289.718,14.557,-320.312,102.196
83505.355,302.407,0.962,9.038,39.294,4.411,-3.134,18.864,4.067,-12.211,-14.681,-20.751,-21.886,-22.785,-15.180,-21.353,-19.924,-25.272,-18.187,-18.910,-20.830,-23.180,-11.000,-544.798,-289.718,14.557,-320.328,102.185
83505.355,302.407,0.962,9.029,39.214,4.250,-2.269,17.636,3.639,-11.585,-14.897,-20.959,-22.526,-22.679,-15.738,-21.249,-19.714,-26.121,-17.769,-18.806,-20.519,-22.393,-11.000,-544.798,-289.718,14.557,-320.312,102.185
83505.355,302.409,0.962,9.048,39.373,4.411,-2.594,19.087,3.532,-12.002,-14.789,-21.270,-22.740,-21.826,-15.961,-21.666,-19.608,-25.059,-18.919,-18.806,-20.622,-22.618,-11.000,-544.798,-289.718,14.557,-320.344,102.196
83501.324,302.409,0.962,9.030,39.214,4.571,-2.269,18.752,3.532,-12.629,-14.789,-20.751,-22.954,-22.468,-15.961,-21.457,-20.241,-25.484,-17.978,-19.537,-21.037,-22.280,-11.000,-544.798,-289.718,14.557,-320.344,102.207
83505.355,302.409,0.962,9.029,39.214,4.891,-2.810,18.417,3.425,-11.689,-15.005,-20.855,-22.313,-22.896,-16.407,-21.669,-19.503,-25.272,-19.024,-19.119,-21.451,-22.618,-11.000,-544.798,-289.718,14.557,-320.295,102.175
83505.355,302.407,0.962,9.048,39.373,4.411,-2.810,18.752,3.211,-11.794,-14.789,-21.478,-22.633,-22.575,-16.184,-20.836,-18.343,-25.590,-19.024,-19.537,-21.244,-22.505,-11.000,-544.798,-289.718,14.557,-320.328,102.185
83501.324,302.407,0.962,9.048,39.373,4.571,-2.377,18.752,3.960,-11.585,-14.249,-20.440,-22.954,-22.468,-15.738,-19.794,-18.132,-26.015,-18.605,-19.746,-20.830,-21.155,-11.000,-544.798,-289.718,14.557,-320.328,102.175
83505.355,302.410,0.962,9.029,39.214,4.411,-2.594,18.975,3.532,-12.002,-14.357,-20.959,-22.420,-23.003,-15.961,-17.711,-18.659,-26.440,-18.710,-19.119,-21.037,-21.493,-11.000,-544.798,-289.718,14.557,-320.328,102.196
83505.355,302.409,0.962,9.048,39.373,4.411,-1.081,18.194,2.997,-11.898,-14.249,-20.751,-21.993,-22.254,-16.631,-16.148,-18.870,-26.971,-19.024,-19.433,-21.037,-22.168,-11.000,-544.798,-289.718,14.557,-320.328,102.185
83505.355,302.410,0.962,9.048,39.373,4.411,-1.729,18.975,2.569,-12.107,-15.113,-20.959,-22.313,-22.575,-14.398,-16.044,-19.608,-26.227,-18.710,-20.164,-21.451,-22.055,-11.000,-544.798,-289.718,14.557,-320.295,102.185
83497.292,302.409,0.962,9.057,39.452,4.250,-2.053,18.529,3.853,-12.002,-14.249,-20.336,-22.313,-22.147,-15.291,-14.689,-21.611,-25.696,-17.769,-21.523,-21.762,-22.959,-11.000,-544.798,-289.718,14.557,-320.344,102.185
83513.418,302.407,0.962,9.047,39.373,4.411,-2.161,18.975,3.960,-12.002,-15.113,-20.440,-22.099,-22.040,-14.063,-15.939,-20.451,-25.165,-18.710,-20.791,-21.969,-23.072,-11.000,-544.798,-289.718,14.557,-320.312,102.185
83501.324,302.412,0.962,9.057,39.452,4.411,-2.053,19.087,3.532,-11.898,-14.033,-21.166,-22.313,-21.826,-14.063,-18.961,-20.768,-25.484,-19.755,-21.627,-22.073,-23.747,-11.000,-544.798,-289.718,14.557,-320.344,102.175
