%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82045.991,301.918,0.947,9.133,39.483,13.480,1.624,16.411,0.321,-14.403,-17.056,-23.034,-25.093,-24.506,-16.966,-19.169,-16.868,-22.618,-15.575,-17.239,-18.657,-20.034,-11.000,-544.798,-289.718,14.557,-320.198,102.239
82058.085,301.922,0.947,9.132,39.483,13.800,0.217,15.964,1.285,-14.925,-17.056,-23.449,-24.452,-24.827,-16.520,-17.711,-16.762,-22.405,-15.366,-16.717,-18.657,-19.696,-11.000,-544.798,-289.718,14.557,-320.214,102.239
82058.085,301.918,0.947,9.132,39.483,13.320,1.624,15.517,1.177,-14.612,-16.948,-22.827,-24.559,-24.077,-16.855,-17.607,-15.603,-23.255,-15.575,-16.717,-18.553,-20.371,-11.000,-544.798,-289.718,14.557,-320.214,102.250
82054.054,301.918,0.947,9.133,39.483,13.160,1.191,16.411,0.214,-14.090,-17.056,-23.138,-24.666,-24.184,-16.408,-17.086,-16.024,-22.618,-15.888,-16.404,-18.449,-20.371,-11.000,-544.798,-289.718,14.557,-320.214,102.228
82050.022,301.920,0.947,9.133,39.483,13.480,0.866,16.187,1.713,-14.716,-16.516,-22.619,-25.200,-24.077,-16.855,-16.565,-15.919,-23.043,-15.470,-17.448,-18.449,-20.034,-11.000,-544.798,-289.718,14.557,-320.198,102.250
82050.022,301.922,0.947,9.133,39.483,13.480,0.433,15.741,1.285,-14.299,-17.272,-23.138,-23.918,-25.041,-16.408,-16.356,-16.235,-22.936,-15.784,-16.508,-19.175,-21.159,-11.000,-544.798,-289.718,14.557,-320.214,102.239
82050.022,301.920,0.947,9.142,39.562,13.320,0.433,15.294,0.749,-13.673,-16.084,-23.449,-24.879,-23.970,-17.301,-17.294,-16.024,-23.892,-15.470,-16.821,-18.657,-21.609,-11.000,-544.798,-289.718,14.557,-320.214,102.261
82045.991,301.920,0.947,9.142,39.562,13.320,0.108,16.522,0.535,-14.194,-16.300,-22.308,-23.918,-24.077,-16.520,-17.919,-15.603,-23.680,-16.306,-16.821,-19.486,-21.159,-11.000,-544.798,-289.718,14.557,-320.246,102.261
82050.022,301.920,0.947,9.115,39.325,13.640,-0.865,16.187,1.606,-14.612,-16.084,-22.619,-24.346,-23.649,-16.520,-16.148,-16.973,-23.467,-15.993,-17.762,-18.968,-21.497,-11.000,-544.798,-289.718,14.557,-320.198,102.228
82054.054,301.918,0.947,9.123,39.404,13.320,-0.432,16.299,1.177,-14.090,-17.056,-23.034,-23.812,-23.649,-17.413,-16.044,-16.130,-23.892,-17.038,-17.135,-19.486,-21.497,-11.000,-544.798,-289.718,14.557,-320.198,102.250
82050.022,301.922,0.947,9.142,39.562,13.320,-0.648,16.187,0.856,-13.881,-16.408,-22.930,-23.918,-23.649,-16.743,-16.356,-16.024,-23.467,-17.352,-17.762,-19.382,-21.834,-11.000,-544.798,-289.718,14.557,-320.198,102.239
82054.054,301.920,0.947,9.160,39.720,13.480,-0.648,17.192,1.499,-14.090,-16.300,-22.308,-24.452,-23.542,-16.296,-16.461,-16.657,-23.998,-16.620,-18.389,-19.901,-21.497,-11.000,-544.798,-289.718,14.557,-320.214,102.261
82050.022,301.918,0.947,9.160,39.720,13.480,-1.729,16.299,1.713,-13.986,-15.976,-23.034,-23.598,-24.184,-16.520,-16.356,-17.500,-24.317,-16.620,-17.866,-19.901,-22.059,-11.000,-544.798,-289.718,14.557,-320.198,102.239
82050.022,301.920,0.947,9.133,39.483,13.160,-1.297,15.629,1.499,-13.359,-16.192,-22.515,-23.918,-22.686,-16.966,-17.398,-16.973,-24.317,-16.725,-18.389,-19.279,-21.947,-11.000,-544.798,-289.718,14.557,-320.214,102.239
82045.991,301.920,0.947,9.142,39.562,13.320,-1.621,16.857,1.285,-13.255,-16.192,-22.204,-23.171,-23.435,-15.627,-18.961,-17.184,-23.361,-18.397,-17.971,-19.693,-21.947,-11.000,-544.798,-289.718,14.557,-320.230,102.239
82050.022,301.917,0.947,9.151,39.641,13.320,-1.621,17.080,1.820,-13.986,-15.761,-21.997,-23.598,-23.435,-15.962,-17.815,-16.762,-23.574,-17.561,-19.225,-20.004,-21.947,-11.000,-544.798,-289.718,14.557,-320.181,102.228
82050.022,301.918,0.947,9.151,39.641,13.160,-1.405,16.857,2.248,-13.359,-15.761,-22.412,-23.491,-23.435,-15.738,-16.982,-15.392,-25.060,-18.084,-18.702,-20.523,-21.159,-11.000,-544.798,-289.718,14.557,-320.198,102.239
82050.022,301.915,0.947,9.142,39.562,13.160,-1.513,17.304,2.248,-13.046,-15.437,-22.827,-23.278,-23.221,-16.966,-16.148,-15.708,-25.166,-18.293,-18.389,-19.486,-22.622,-11.000,-544.798,-289.718,14.557,-320.198,102.239
82058.085,301.918,0.947,9.123,39.404,13.320,-1.729,17.527,1.927,-13.359,-15.976,-21.685,-23.812,-23.328,-16.296,-15.836,-16.341,-26.334,-18.084,-18.598,-19.901,-20.934,-11.000,-544.798,-289.718,14.557,-320.198,102.239
82050.022,301.917,0.947,9.142,39.562,13.160,-2.161,17.415,2.783,-13.672,-15.869,-22.100,-23.171,-23.542,-16.073,-15.315,-17.079,-25.485,-17.979,-18.702,-20.004,-21.497,-11.000,-544.798,-289.718,14.557,-320.214,102.239
82050.022,301.959,0.947,16.994,136.690,20.844,4.871,65.419,9.527,-46.758,-56.026,-69.414,-72.289,-70.306,-52.684,-69.385,-74.113,-80.490,-73.902,-76.585,-76.596,-79.234,-11.000,-544.798,-289.718,14.557,-320.198,102.239
82058.085,301.960,0.947,16.983,136.532,21.004,5.088,65.084,8.992,-45.714,-56.133,-69.414,-71.755,-70.306,-51.680,-72.614,-72.321,-81.445,-74.633,-75.540,-77.218,-78.784,-11.000,-544.798,-289.718,14.557,-320.198,102.228
82062.116,301.959,0.947,16.983,136.532,21.164,4.871,65.307,9.099,-46.132,-55.810,-70.244,-72.716,-70.520,-54.247,-69.906,-71.793,-80.596,-75.156,-75.644,-75.353,-76.420,-11.000,-544.798,-289.718,14.557,-320.181,102.228
82054.054,301.960,0.947,16.989,136.611,21.325,7.036,65.531,9.313,-46.549,-56.026,-69.414,-73.357,-70.734,-53.354,-71.260,-72.426,-80.702,-74.215,-74.286,-74.109,-73.719,-11.000,-544.798,-289.718,14.557,-320.198,102.228
