%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82082.273,302.647,0.945,8.885,37.294,-30.906,-2.702,17.862,3.640,-11.690,-15.869,-22.412,-24.239,-24.506,-18.194,-16.982,-15.181,-21.981,-14.739,-15.568,-17.620,-18.908,-13.000,-544.798,-289.718,14.557,-320.442,102.196
82086.305,302.652,0.945,8.894,37.373,-31.066,-2.810,18.197,3.640,-11.272,-15.437,-23.553,-24.452,-24.078,-18.194,-17.190,-14.865,-21.875,-14.843,-15.881,-17.413,-19.471,-13.000,-544.798,-289.718,14.557,-320.459,102.218
82078.242,302.652,0.945,8.904,37.452,-31.226,-2.269,18.532,4.282,-11.690,-15.329,-22.100,-24.559,-24.399,-17.747,-17.502,-14.865,-22.193,-14.739,-16.404,-17.309,-18.345,-13.000,-544.798,-289.718,14.557,-320.442,102.196
82082.273,302.649,0.945,8.876,37.215,-30.746,-3.350,18.420,3.961,-12.003,-15.437,-22.412,-23.705,-24.934,-18.306,-17.398,-15.708,-22.299,-14.530,-15.463,-17.413,-18.908,-13.000,-544.798,-289.718,14.557,-320.442,102.185
82090.336,302.651,0.945,8.894,37.373,-31.066,-2.594,16.969,3.425,-11.481,-15.221,-21.997,-24.239,-23.971,-18.640,-17.086,-15.392,-22.299,-14.739,-15.986,-17.102,-19.246,-13.000,-544.798,-289.718,14.557,-320.426,102.185
82086.305,302.651,0.945,8.904,37.452,-30.906,-2.918,18.532,2.997,-11.585,-15.113,-21.685,-24.132,-24.399,-17.301,-17.711,-16.024,-21.662,-15.052,-16.299,-17.620,-18.908,-13.000,-544.798,-289.718,14.557,-320.459,102.218
82078.242,302.651,0.945,8.895,37.373,-30.746,-3.566,18.197,4.282,-12.524,-14.897,-22.100,-24.452,-24.720,-17.971,-16.877,-16.341,-21.981,-14.739,-16.717,-17.931,-19.921,-13.000,-544.798,-289.718,14.557,-320.475,102.196
82086.305,302.647,0.945,8.885,37.294,-30.906,-3.782,18.085,3.854,-11.376,-15.869,-21.997,-24.132,-24.827,-19.087,-18.023,-15.603,-22.830,-15.784,-16.404,-19.279,-20.709,-13.000,-544.798,-289.718,14.557,-320.442,102.218
82086.305,302.647,0.945,8.894,37.373,-30.746,-4.431,18.420,3.318,-11.898,-14.573,-23.034,-24.666,-24.720,-19.533,-17.502,-15.814,-22.618,-16.411,-16.717,-18.864,-21.722,-13.000,-544.798,-289.718,14.557,-320.426,102.218
82086.305,302.649,0.945,8.894,37.373,-31.066,-4.539,18.867,3.532,-11.794,-15.113,-21.997,-24.666,-24.506,-19.087,-17.607,-15.708,-22.830,-15.993,-17.239,-19.382,-20.259,-13.000,-544.798,-289.718,14.557,-320.459,102.196
