%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82001.645,302.064,0.946,9.022,38.487,-10.342,-0.973,18.085,2.248,-13.255,-16.192,-23.761,-24.555,-25.144,-18.640,-16.461,-14.865,-21.556,-16.516,-16.717,-18.657,-21.384,-12.000,-544.798,-289.718,14.557,-320.410,102.261
81997.614,302.065,0.946,9.022,38.487,-10.342,-1.837,18.085,2.676,-13.464,-16.624,-22.930,-25.409,-24.609,-18.752,-16.461,-14.548,-22.724,-16.202,-18.284,-19.486,-21.609,-12.000,-544.798,-289.718,14.557,-320.442,102.293
82001.645,302.062,0.946,9.022,38.487,-10.182,-3.242,17.415,2.783,-13.568,-16.732,-23.242,-24.982,-25.572,-18.529,-15.940,-15.076,-22.618,-16.934,-17.448,-19.901,-21.159,-12.000,-544.798,-289.718,14.557,-320.426,102.271
82001.645,302.065,0.946,9.031,38.566,-10.662,-2.053,16.857,2.676,-13.046,-16.732,-23.761,-24.876,-24.930,-19.757,-15.731,-15.603,-23.786,-17.247,-17.762,-19.693,-22.397,-12.000,-544.798,-289.718,14.557,-320.442,102.271
82001.645,302.068,0.946,9.022,38.487,-10.502,-2.810,17.639,1.820,-13.255,-15.977,-23.242,-24.662,-25.251,-17.859,-16.877,-16.024,-23.998,-17.352,-17.762,-19.797,-21.834,-12.000,-544.798,-289.718,14.557,-320.410,102.261
82001.645,302.067,0.946,9.022,38.487,-10.502,-3.674,17.304,2.890,-13.881,-15.869,-23.034,-24.982,-25.679,-18.194,-15.627,-17.606,-23.892,-16.934,-18.493,-20.108,-22.285,-12.000,-544.798,-289.718,14.557,-320.442,102.271
81997.614,302.065,0.946,9.022,38.487,-10.342,-2.702,16.969,2.676,-13.151,-16.624,-22.827,-24.452,-24.609,-17.524,-16.773,-17.395,-24.317,-17.247,-18.180,-20.626,-22.059,-12.000,-544.798,-289.718,14.557,-320.459,102.282
81993.583,302.065,0.946,9.004,38.329,-10.342,-2.702,17.415,2.676,-12.838,-15.761,-23.657,-24.773,-24.613,-17.301,-18.440,-18.027,-23.467,-17.874,-18.075,-20.108,-22.622,-12.000,-544.798,-289.718,14.557,-320.459,102.293
82005.677,302.067,0.946,9.031,38.566,-10.342,-2.918,18.085,2.569,-12.838,-15.761,-21.997,-24.346,-23.757,-17.524,-18.648,-17.500,-23.467,-17.038,-18.389,-19.797,-21.159,-12.000,-544.798,-289.718,14.557,-320.442,102.271
81997.614,302.070,0.946,9.031,38.566,-10.502,-3.026,17.750,3.104,-12.942,-15.653,-22.827,-24.132,-24.827,-17.524,-19.690,-17.500,-23.998,-17.247,-17.135,-19.382,-20.709,-12.000,-544.798,-289.718,14.557,-320.442,102.261
