%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83477.135,302.402,0.962,8.879,37.910,-60.419,-2.161,15.853,2.462,-11.794,-12.198,-17.224,-17.082,-16.156,-9.041,-14.169,-17.289,-27.396,-23.101,-24.239,-25.601,-27.011,-8.000,-544.798,-289.718,14.557,-320.328,102.185
83473.104,302.404,0.962,8.870,37.831,-60.419,-2.161,14.513,2.248,-11.481,-13.062,-17.224,-17.082,-15.621,-9.041,-14.273,-17.184,-27.715,-22.683,-24.553,-25.705,-27.574,-8.000,-544.798,-289.718,14.557,-320.344,102.185
83469.073,302.404,0.962,8.871,37.831,-60.419,-2.486,16.188,1.498,-11.689,-12.738,-17.535,-16.868,-15.621,-8.706,-13.856,-17.289,-26.546,-23.101,-25.702,-26.430,-27.912,-8.000,-544.798,-289.718,14.557,-320.344,102.185
83473.104,302.402,0.962,8.852,37.673,-60.259,-2.702,15.853,2.355,-12.420,-12.522,-17.224,-17.082,-15.407,-9.041,-12.397,-16.551,-27.290,-24.250,-26.747,-26.223,-27.687,-8.000,-544.798,-289.718,14.557,-320.312,102.185
83473.104,302.402,0.962,8.861,37.752,-60.419,-2.810,15.406,1.712,-11.794,-13.493,-17.120,-17.616,-16.370,-9.041,-12.293,-14.337,-29.944,-25.505,-25.493,-26.637,-27.349,-8.000,-544.798,-289.718,14.557,-320.312,102.185
83473.104,302.402,0.962,8.861,37.752,-60.579,-2.918,15.853,0.856,-11.898,-12.630,-18.365,-17.189,-15.728,-9.264,-11.251,-14.127,-31.431,-25.609,-25.702,-26.016,-28.587,-8.000,-544.798,-289.718,14.557,-320.344,102.196
83473.104,302.401,0.962,8.852,37.673,-60.419,-2.486,15.964,1.819,-12.003,-12.738,-17.224,-17.722,-15.514,-8.483,-7.814,-15.919,-31.962,-24.773,-26.120,-26.534,-28.137,-8.000,-544.798,-289.718,14.557,-320.328,102.196
83473.104,302.404,0.962,8.861,37.752,-60.419,-3.566,15.964,1.819,-11.794,-12.954,-17.431,-17.082,-16.263,-8.929,-4.688,-17.922,-32.493,-24.564,-26.120,-26.948,-29.262,-8.000,-544.798,-289.718,14.557,-320.328,102.207
83473.104,302.404,0.962,8.861,37.752,-60.739,-3.134,14.848,2.141,-11.689,-12.522,-17.535,-16.868,-14.872,-8.259,-6.355,-19.187,-31.431,-25.191,-27.269,-26.948,-30.500,-8.000,-544.798,-289.718,14.557,-320.328,102.175
83469.073,302.402,0.962,8.861,37.752,-60.739,-4.107,16.522,1.284,-11.794,-12.630,-17.120,-16.548,-15.086,-6.920,-8.647,-18.660,-30.900,-26.341,-27.687,-27.985,-29.712,-8.000,-544.798,-289.718,14.557,-320.361,102.185
