%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83545.669,302.351,0.963,8.937,38.440,-20.732,-5.944,17.192,3.638,-11.270,-12.630,-17.843,-17.933,-17.654,-10.269,-15.523,-19.711,-28.453,-22.891,-23.926,-27.155,-28.812,-9.000,-544.798,-289.718,14.557,-320.557,102.207
83553.732,302.352,0.963,8.927,38.361,-20.732,-5.511,16.187,3.317,-10.748,-12.630,-18.154,-18.467,-17.119,-10.938,-14.377,-18.446,-28.134,-22.996,-24.135,-26.533,-28.924,-9.000,-544.798,-289.718,14.557,-320.540,102.207
83549.701,302.349,0.963,8.927,38.361,-20.572,-6.052,17.192,2.569,-10.748,-12.954,-18.051,-18.253,-17.440,-10.492,-13.647,-17.392,-27.922,-23.623,-23.821,-26.533,-28.024,-9.000,-544.798,-289.718,14.557,-320.524,102.164
83557.763,302.351,0.963,8.927,38.361,-20.572,-5.295,16.746,3.746,-11.794,-12.846,-17.947,-18.253,-17.761,-10.492,-12.710,-18.024,-28.559,-23.832,-24.448,-26.326,-27.236,-9.000,-544.798,-289.718,14.557,-320.540,102.196
83549.701,302.351,0.963,8.918,38.282,-20.572,-4.106,16.969,3.104,-10.750,-13.491,-17.843,-18.360,-16.905,-10.492,-12.918,-16.865,-29.833,-23.832,-24.239,-25.704,-26.448,-9.000,-544.798,-289.718,14.557,-320.540,102.185
83557.763,302.349,0.963,8.918,38.282,-20.732,-4.106,17.304,2.462,-11.063,-12.951,-18.466,-18.680,-17.226,-10.045,-12.189,-17.603,-30.045,-24.668,-24.448,-25.082,-26.223,-9.000,-544.798,-289.718,14.557,-320.540,102.185
83561.795,302.351,0.963,8.917,38.282,-20.572,-3.350,16.969,3.318,-11.481,-12.520,-18.154,-18.787,-17.440,-10.269,-10.105,-18.973,-30.470,-24.250,-24.866,-24.668,-25.210,-9.000,-544.798,-289.718,14.557,-320.573,102.185
83557.763,302.347,0.963,8.918,38.282,-20.572,-3.458,16.857,2.890,-11.272,-13.599,-18.466,-18.467,-18.082,-10.380,-10.314,-19.711,-31.638,-23.518,-23.717,-24.979,-24.985,-9.000,-544.798,-289.718,14.557,-320.557,102.196
83553.732,302.351,0.963,8.927,38.361,-20.572,-2.594,17.527,2.462,-11.063,-12.628,-18.984,-18.146,-17.333,-10.715,-11.981,-22.030,-31.107,-23.518,-23.299,-23.735,-25.435,-9.000,-544.798,-289.718,14.557,-320.524,102.185
83553.732,302.349,0.963,8.945,38.519,-20.732,-2.053,17.415,2.248,-11.481,-13.059,-17.739,-18.894,-17.333,-9.934,-13.856,-23.400,-30.258,-22.891,-23.403,-24.046,-24.873,-9.000,-544.798,-289.718,14.557,-320.524,102.196
83549.701,302.349,0.963,8.927,38.361,-20.732,-2.810,16.746,2.462,-11.689,-12.736,-18.569,-17.826,-17.868,-9.152,-16.252,-23.825,-29.727,-22.996,-23.299,-23.942,-24.873,-9.000,-544.798,-289.718,14.557,-320.524,102.207
83553.732,302.349,0.963,8.936,38.440,-20.572,-1.945,16.522,2.569,-11.898,-12.951,-18.569,-18.360,-17.547,-9.487,-18.648,-22.876,-29.837,-22.787,-22.358,-23.631,-24.985,-9.000,-544.798,-289.718,14.557,-320.540,102.175
83553.732,302.346,0.963,8.918,38.282,-20.732,-1.945,16.746,1.926,-11.481,-13.707,-18.258,-18.146,-17.440,-9.376,-20.627,-21.927,-29.094,-22.156,-22.567,-24.046,-24.535,-9.000,-544.798,-289.718,14.557,-320.524,102.164
83549.701,302.347,0.963,8.918,38.282,-20.732,-2.053,16.411,2.676,-11.898,-13.383,-18.466,-19.000,-17.975,-10.938,-19.169,-21.506,-28.563,-21.529,-22.881,-23.528,-24.085,-9.000,-544.798,-289.718,14.557,-320.524,102.185
83549.701,302.352,0.963,8.937,38.440,-20.572,-0.973,16.299,2.355,-11.272,-14.031,-18.777,-18.894,-18.082,-11.273,-19.898,-20.135,-29.200,-21.320,-21.523,-23.420,-24.873,-9.000,-544.798,-289.718,14.557,-320.524,102.185
83553.732,302.349,0.963,8.918,38.282,-20.572,-1.729,17.304,1.605,-11.898,-13.491,-19.503,-18.787,-18.189,-10.827,-20.002,-20.030,-27.714,-22.574,-21.836,-23.109,-24.643,-9.000,-544.798,-289.718,14.557,-320.524,102.164
83557.763,302.351,0.963,8.918,38.282,-20.732,-1.405,17.081,2.462,-11.898,-13.599,-18.673,-19.534,-18.296,-11.050,-19.794,-20.346,-27.926,-20.902,-22.463,-22.902,-24.193,-9.000,-544.798,-289.718,14.557,-320.540,102.196
83545.669,302.351,0.963,8.937,38.440,-20.732,-1.945,16.296,2.783,-11.481,-14.139,-18.777,-19.107,-18.724,-10.715,-20.315,-19.819,-27.607,-20.693,-21.209,-23.524,-24.193,-9.000,-544.798,-289.718,14.557,-320.540,102.185
83557.763,302.349,0.963,8.918,38.282,-20.892,-1.405,16.743,2.355,-12.002,-13.383,-19.192,-19.321,-18.189,-10.827,-20.732,-19.819,-26.652,-20.693,-20.896,-22.487,-24.531,-9.000,-544.798,-289.718,14.557,-320.557,102.185
83545.669,302.352,0.963,8.918,38.282,-20.572,-1.081,17.189,1.926,-11.585,-13.815,-18.569,-19.427,-18.296,-10.827,-20.940,-19.292,-27.077,-19.961,-20.687,-22.384,-23.518,-9.000,-544.798,-289.718,14.557,-320.557,102.185
83541.638,302.365,0.963,16.910,137.622,-23.614,-19.236,68.211,12.413,-39.758,-46.849,-55.086,-51.984,-43.011,-25.560,-44.380,-72.729,-99.585,-102.749,-110.016,-113.907,-118.736,-9.000,-544.798,-289.718,14.557,-320.508,102.185
83549.701,302.367,0.963,16.905,137.543,-23.774,-17.615,68.423,12.199,-40.071,-45.661,-56.019,-52.091,-42.690,-27.792,-46.880,-68.302,-97.781,-104.944,-110.016,-112.041,-114.459,-9.000,-544.798,-289.718,14.557,-320.540,102.185
83537.606,302.365,0.962,16.916,137.701,-23.774,-15.561,68.200,12.415,-40.384,-46.417,-55.086,-53.158,-43.546,-29.690,-42.192,-65.246,-100.859,-106.094,-108.971,-109.969,-111.082,-9.000,-544.798,-289.718,14.557,-320.524,102.175
83545.669,302.362,0.963,16.910,137.622,-23.934,-13.724,67.530,12.522,-39.660,-46.741,-54.982,-51.984,-44.402,-28.127,-39.796,-67.670,-104.788,-105.989,-108.867,-110.072,-111.533,-9.000,-544.798,-289.718,14.557,-320.524,102.185
83545.669,302.367,0.963,16.910,137.622,-23.934,-12.644,67.307,12.308,-39.660,-45.762,-55.190,-51.984,-42.583,-27.123,-37.504,-77.683,-102.240,-103.481,-107.404,-110.072,-113.558,-9.000,-544.798,-289.718,14.557,-320.540,102.196
83545.669,302.363,0.963,16.900,137.464,-23.774,-13.508,68.423,12.201,-38.721,-45.978,-54.463,-51.343,-42.476,-25.002,-49.068,-80.319,-100.541,-103.272,-109.180,-110.901,-114.684,-9.000,-544.798,-289.718,14.557,-320.524,102.185
