%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
81953.269,302.446,0.944,9.079,38.902,-19.78,-9.51,22.886,7.6,-9.498,-13.602,-22.827,-24.239,-25.148,-20.538,-20.524,-18.66,-24.635,-18.188,-19.225,-21.144,-23.973,-15,-544.798,-289.718,14.557,-320.442,102.261
81953.269,302.447,0.944,9.069,38.823,-20.1,-9.402,22.885,7.493,-9.498,-14.033,-21.27,-24.559,-25.362,-20.315,-21.67,-18.765,-25.06,-17.77,-19.434,-20.833,-22.51,-15,-544.798,-289.718,14.557,-320.442,102.282
81957.3,302.451,0.944,9.088,38.981,-20.42,-10.05,22.997,7.814,-8.976,-13.602,-21.685,-24.025,-26.004,-20.091,-20.94,-18.871,-25.06,-17.665,-19.538,-21.455,-23.523,-15,-544.798,-289.718,14.557,-320.459,102.271
81945.206,302.449,0.944,9.079,38.902,-20.1,-9.51,21.323,7.6,-9.08,-13.925,-21.685,-24.132,-25.148,-20.538,-21.357,-18.765,-25.803,-18.293,-19.12,-21.144,-23.86,-15,-544.798,-289.718,14.557,-320.459,102.261
81957.3,302.449,0.944,9.078,38.902,-20.1,-9.942,22.774,7.172,-9.498,-14.033,-22.1,-24.88,-25.362,-19.757,-21.566,-18.555,-24.635,-18.711,-19.851,-21.663,-23.748,-15,-544.798,-289.718,14.557,-320.459,102.282
81949.237,302.449,0.944,9.088,38.981,-20.26,-9.942,22.662,7.814,-9.602,-13.818,-22.1,-25.307,-25.683,-20.873,-20.94,-18.66,-25.379,-17.979,-20.06,-21.248,-23.298,-15,-544.798,-289.718,14.557,-320.426,102.271
81949.237,302.444,0.944,9.097,39.06,-20.26,-9.834,22.551,7.172,-9.393,-14.141,-22.412,-24.559,-26.646,-20.315,-20.42,-18.555,-25.272,-18.293,-18.911,-22.077,-23.298,-15,-544.798,-289.718,14.557,-320.459,102.282
81957.3,302.447,0.944,9.097,39.06,-20.26,-9.294,22.439,7.6,-9.811,-14.033,-21.685,-24.879,-25.362,-20.65,-20.836,-18.449,-25.379,-18.502,-19.016,-21.144,-23.86,-15,-544.798,-289.718,14.557,-320.475,102.271
81957.3,302.446,0.944,9.088,38.981,-20.26,-9.726,22.774,7.172,-9.706,-14.033,-21.685,-24.452,-25.79,-19.757,-21.566,-18.66,-24.742,-18.397,-19.12,-21.144,-22.847,-15,-544.798,-289.718,14.557,-320.442,102.25
81965.363,302.449,0.944,9.087,38.981,-20.1,-10.05,22.997,7.6,-9.289,-13.71,-21.789,-24.452,-25.683,-19.98,-20.419,-18.871,-24.848,-17.874,-19.434,-21.248,-22.96,-15,-544.798,-289.718,14.557,-320.459,102.271
81957.3,302.447,0.944,9.088,38.981,-20.26,-9.51,22.104,7.921,-9.185,-14.357,-21.27,-24.025,-25.148,-19.868,-21.045,-18.028,-25.697,-17.77,-19.12,-20.937,-22.397,-15,-544.798,-289.718,14.557,-320.426,102.261
81953.269,302.447,0.944,9.088,38.981,-20.26,-9.294,22.997,7.279,-9.289,-14.033,-22.723,-24.346,-25.897,-19.533,-21.149,-18.555,-24.954,-18.606,-19.12,-21.974,-23.298,-15,-544.798,-289.718,14.557,-320.426,102.271
81949.237,302.451,0.944,9.079,38.902,-20.26,-9.294,23.332,8.135,-9.498,-13.818,-21.27,-25.52,-25.255,-19.757,-20.732,-18.449,-25.166,-17.352,-19.538,-21.455,-22.847,-15,-544.798,-289.718,14.557,-320.442,102.293
81953.269,302.446,0.944,9.106,39.139,-20.26,-10.05,22.327,7.814,-8.976,-13.818,-21.893,-24.346,-26.218,-19.98,-20.732,-19.187,-24.848,-18.084,-18.807,-21.559,-22.735,-15,-544.798,-289.718,14.557,-320.459,102.271
81957.3,302.451,0.944,9.097,39.06,-20.42,-9.186,21.546,7.386,-9.289,-13.818,-21.893,-24.346,-25.469,-21.431,-21.253,-18.66,-24.848,-18.293,-19.12,-21.041,-23.635,-15,-544.798,-289.718,14.557,-320.442,102.282
