%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
81953.269,302.467,0.944,9.072,38.839,-16.113,-5.187,21.211,5.673,-11.898,-14.897,-22.412,-25.413,-25.469,-19.198,-20.003,-17.500,-23.149,-16.097,-17.971,-18.864,-19.921,-14.000,-544.798,-289.718,14.557,-320.442,102.271
81961.332,302.467,0.944,9.071,38.839,-16.274,-5.079,19.983,5.780,-10.854,-15.005,-22.930,-24.559,-26.218,-19.645,-19.378,-17.079,-23.361,-16.411,-16.926,-18.864,-19.696,-14.000,-544.798,-289.718,14.557,-320.426,102.271
81957.300,302.463,0.944,9.053,38.681,-16.754,-3.998,19.536,5.780,-10.750,-14.789,-22.515,-24.666,-24.933,-19.980,-19.065,-16.446,-23.255,-16.202,-16.926,-19.071,-20.034,-14.000,-544.798,-289.718,14.557,-320.459,102.271
81957.300,302.465,0.944,9.053,38.681,-16.594,-3.998,21.211,5.138,-11.272,-14.897,-22.723,-25.093,-25.469,-19.533,-19.378,-16.657,-23.042,-16.097,-17.239,-19.279,-19.583,-14.000,-544.798,-289.718,14.557,-320.459,102.261
81957.300,302.468,0.944,9.062,38.760,-16.594,-4.431,20.876,5.459,-12.107,-15.005,-22.412,-24.986,-25.790,-19.422,-18.336,-17.289,-22.405,-15.470,-17.657,-18.968,-19.808,-14.000,-544.798,-289.718,14.557,-320.475,102.293
81961.332,302.467,0.944,9.071,38.839,-16.434,-3.998,20.206,4.710,-11.063,-15.761,-22.827,-25.093,-25.790,-19.310,-17.815,-16.446,-23.149,-15.784,-16.508,-19.175,-19.808,-14.000,-544.798,-289.718,14.557,-320.459,102.271
81957.300,302.465,0.944,9.053,38.681,-16.754,-3.890,20.764,4.710,-11.481,-15.221,-23.034,-24.986,-25.576,-19.310,-18.023,-17.079,-21.874,-16.306,-16.926,-18.864,-20.596,-14.000,-544.798,-289.718,14.557,-320.459,102.261
81949.237,302.463,0.944,9.063,38.760,-16.594,-4.107,20.318,5.459,-11.376,-15.437,-22.204,-25.413,-25.469,-19.310,-18.648,-16.657,-22.299,-15.470,-17.135,-19.382,-20.034,-14.000,-544.798,-289.718,14.557,-320.442,102.282
81957.300,302.465,0.944,9.071,38.839,-16.594,-5.403,19.760,4.710,-10.959,-15.221,-22.827,-24.986,-26.646,-19.980,-18.440,-16.657,-22.618,-15.261,-16.717,-19.382,-20.596,-14.000,-544.798,-289.718,14.557,-320.442,102.261
81953.269,302.465,0.944,9.072,38.839,-16.594,-3.782,19.425,4.817,-11.898,-15.113,-22.827,-25.413,-25.469,-21.096,-18.023,-15.919,-23.361,-15.470,-16.090,-18.864,-20.371,-14.000,-544.798,-289.718,14.557,-320.442,102.282
81961.332,302.465,0.944,9.080,38.918,-16.754,-4.755,20.429,4.068,-11.794,-15.545,-23.242,-25.520,-25.790,-19.868,-18.753,-16.657,-22.830,-16.202,-16.195,-18.864,-20.484,-14.000,-544.798,-289.718,14.557,-320.442,102.250
81961.332,302.463,0.944,9.071,38.839,-16.914,-4.863,20.094,5.245,-12.733,-15.545,-22.930,-25.627,-26.111,-20.650,-17.398,-16.973,-22.830,-15.470,-17.135,-18.553,-20.484,-14.000,-544.798,-289.718,14.557,-320.442,102.261
81965.363,302.465,0.944,9.071,38.839,-16.594,-4.215,20.206,4.817,-11.272,-16.300,-22.827,-25.200,-26.218,-19.645,-17.607,-16.341,-22.830,-15.679,-16.612,-19.486,-20.934,-14.000,-544.798,-289.718,14.557,-320.442,102.271
81953.269,302.462,0.944,9.081,38.918,-16.914,-4.755,20.429,4.924,-11.272,-15.113,-22.827,-25.093,-25.362,-19.422,-18.440,-16.341,-22.299,-16.411,-17.553,-19.279,-21.497,-14.000,-544.798,-289.718,14.557,-320.442,102.261
81961.332,302.467,0.944,9.071,38.839,-17.074,-5.079,20.429,5.138,-11.585,-15.113,-22.723,-25.413,-25.576,-18.864,-18.544,-16.657,-22.512,-15.575,-17.030,-19.797,-20.934,-14.000,-544.798,-289.718,14.557,-320.442,102.271
81957.300,302.462,0.944,9.071,38.839,-16.914,-5.728,20.206,5.459,-11.481,-14.681,-22.308,-24.559,-26.004,-19.087,-17.502,-16.552,-22.830,-16.202,-16.926,-19.071,-20.596,-14.000,-544.798,-289.718,14.557,-320.459,102.282
81957.300,302.462,0.944,9.071,38.839,-16.914,-4.863,19.983,5.566,-11.481,-15.005,-22.827,-24.773,-24.826,-19.868,-17.502,-16.130,-24.317,-15.888,-17.657,-19.071,-21.159,-14.000,-544.798,-289.718,14.557,-320.459,102.261
81957.300,302.465,0.944,9.081,38.918,-16.914,-5.620,20.876,4.817,-11.063,-14.897,-22.930,-24.986,-25.147,-18.975,-18.127,-17.395,-24.211,-17.143,-17.448,-19.590,-20.821,-14.000,-544.798,-289.718,14.557,-320.442,102.271
81961.332,302.463,0.944,9.080,38.918,-16.914,-4.971,20.653,5.780,-11.689,-15.329,-22.308,-25.200,-25.469,-18.975,-17.815,-18.028,-24.211,-16.620,-18.702,-19.590,-21.497,-14.000,-544.798,-289.718,14.557,-320.459,102.261
81965.363,302.463,0.944,9.099,39.076,-16.754,-5.187,21.099,5.673,-10.646,-15.329,-22.723,-24.986,-25.790,-18.864,-18.648,-18.238,-24.104,-17.038,-17.553,-20.419,-21.609,-14.000,-544.798,-289.718,14.557,-320.442,102.271
81949.237,302.504,0.944,17.009,136.520,-31.322,-13.400,78.815,22.372,-38.721,-52.895,-70.036,-76.453,-77.797,-63.399,-77.823,-75.694,-79.746,-74.111,-74.704,-75.560,-76.870,-14.000,-544.798,-289.718,14.557,-320.459,102.282
81945.206,302.502,0.944,17.005,136.441,-31.322,-12.536,78.815,22.479,-37.886,-52.787,-69.933,-76.453,-77.797,-63.734,-75.844,-73.902,-81.657,-74.738,-74.599,-75.871,-76.082,-14.000,-544.798,-289.718,14.557,-320.426,102.282
81941.175,302.502,0.944,17.015,136.599,-31.322,-11.671,78.927,22.372,-38.304,-52.571,-70.763,-76.560,-77.369,-64.404,-74.073,-74.956,-81.870,-74.633,-74.181,-74.005,-75.182,-14.000,-544.798,-289.718,14.557,-320.410,102.261
81941.175,302.501,0.944,17.020,136.678,-31.483,-10.483,79.038,22.265,-37.886,-52.463,-69.621,-77.308,-77.690,-63.065,-75.010,-75.272,-80.383,-73.588,-73.346,-72.865,-72.931,-14.000,-544.798,-289.718,14.557,-320.442,102.271
81941.175,302.502,0.944,17.005,136.441,-31.162,-9.510,79.373,22.800,-37.678,-52.355,-69.725,-76.560,-78.974,-63.288,-76.365,-75.272,-80.065,-73.065,-73.032,-72.554,-72.706,-14.000,-544.798,-289.718,14.557,-320.442,102.261
81945.206,302.502,0.944,17.015,136.599,-31.322,-8.213,77.587,21.623,-38.930,-53.219,-70.451,-77.414,-78.546,-64.739,-75.219,-74.429,-79.428,-71.497,-71.674,-71.414,-71.806,-14.000,-544.798,-289.718,14.557,-320.426,102.261
81941.175,302.501,0.944,17.015,136.599,-31.483,-7.673,78.145,20.231,-38.930,-53.219,-71.593,-77.521,-78.760,-64.739,-75.427,-73.796,-77.729,-71.393,-70.629,-70.999,-71.243,-14.000,-544.798,-289.718,14.557,-320.426,102.271
81949.237,302.501,0.944,17.019,136.678,-30.682,-7.349,77.699,21.302,-39.661,-53.866,-70.866,-78.269,-79.295,-65.409,-73.552,-72.426,-77.198,-70.975,-71.256,-70.895,-71.693,-14.000,-544.798,-289.718,14.557,-320.426,102.271
81945.206,302.494,0.944,17.019,136.678,-31.162,-7.132,77.140,20.659,-39.452,-54.190,-70.970,-77.735,-79.402,-64.851,-70.635,-69.790,-78.047,-70.452,-70.838,-71.414,-71.581,-14.000,-544.798,-289.718,14.557,-320.442,102.282
81941.175,302.499,0.944,17.020,136.678,-31.483,-5.944,77.475,20.445,-39.034,-52.571,-71.593,-77.201,-78.332,-63.400,-68.030,-70.212,-77.941,-70.975,-70.107,-70.585,-72.819,-14.000,-544.798,-289.718,14.557,-320.426,102.261
81945.206,302.499,0.944,17.024,136.757,-31.002,-6.376,77.587,21.195,-39.243,-53.327,-70.244,-77.308,-78.011,-62.060,-69.176,-72.321,-78.790,-69.720,-70.525,-71.932,-71.693,-14.000,-544.798,-289.718,14.557,-320.442,102.271
81941.175,302.502,0.944,17.025,136.757,-30.842,-7.349,76.917,20.766,-39.974,-53.327,-70.970,-76.560,-78.760,-62.172,-70.322,-72.426,-77.516,-69.302,-70.002,-71.725,-72.706,-14.000,-544.798,-289.718,14.557,-320.442,102.282
81941.175,302.501,0.944,17.030,136.836,-31.162,-6.700,76.024,20.231,-39.243,-53.866,-71.178,-77.628,-78.546,-64.628,-71.051,-70.634,-77.835,-70.139,-69.062,-70.066,-71.355,-14.000,-544.798,-289.718,14.557,-320.442,102.261
81945.206,302.499,0.944,17.034,136.915,-31.002,-5.728,77.364,19.589,-39.139,-53.759,-71.593,-77.948,-78.546,-63.735,-70.739,-70.212,-77.516,-70.034,-69.271,-68.512,-68.204,-14.000,-544.798,-289.718,14.557,-320.442,102.282
81941.175,302.499,0.944,17.030,136.836,-30.682,-4.431,77.252,20.766,-39.974,-53.327,-70.244,-77.628,-78.118,-62.842,-70.843,-70.423,-77.198,-68.780,-69.166,-68.616,-68.317,-14.000,-544.798,-289.718,14.557,-320.442,102.282
81945.206,302.497,0.944,17.034,136.915,-31.002,-3.674,76.917,20.552,-39.034,-53.974,-70.659,-76.987,-78.118,-62.730,-70.530,-70.212,-75.074,-68.257,-68.017,-68.201,-67.979,-14.000,-544.798,-289.718,14.557,-320.426,102.271
81945.206,302.501,0.944,17.034,136.915,-31.162,-3.674,77.029,20.552,-39.347,-52.895,-71.281,-77.414,-78.653,-64.963,-71.156,-68.104,-75.286,-67.003,-67.495,-67.372,-68.542,-14.000,-544.798,-289.718,14.557,-320.459,102.271
81937.143,302.499,0.944,17.035,136.915,-31.162,-3.134,77.364,20.552,-39.661,-53.759,-71.178,-78.269,-78.867,-64.181,-70.530,-69.369,-74.543,-67.107,-67.704,-68.408,-68.317,-14.000,-544.798,-289.718,14.557,-320.459,102.261
81937.143,302.499,0.944,17.035,136.915,-31.002,-4.863,76.806,20.231,-39.765,-53.327,-70.347,-77.308,-78.118,-63.511,-70.739,-68.842,-74.862,-67.630,-68.017,-67.890,-68.542,-14.000,-544.798,-289.718,14.557,-320.459,102.261
81945.206,302.499,0.944,17.029,136.836,-31.162,-3.458,76.247,20.338,-39.452,-53.219,-70.866,-76.774,-78.332,-63.400,-70.635,-67.261,-76.136,-67.526,-67.077,-66.853,-67.529,-14.000,-544.798,-289.718,14.557,-320.459,102.271
