%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82066.148,302.352,0.946,8.989,38.203,1.665,-5.944,18.867,3.854,-10.959,-14.465,-21.27,-23.598,-23.328,-16.408,-17.815,-18.555,-24.848,-18.397,-20.478,-22.077,-23.973,-12,-544.798,-289.718,14.557,-320.295,102.228
82062.116,302.352,0.946,8.98,38.124,1.825,-7.024,18.197,4.71,-11.585,-14.357,-20.648,-22.53,-23.542,-17.078,-18.44,-19.082,-25.166,-18.815,-19.434,-21.974,-23.748,-12,-544.798,-289.718,14.557,-320.312,102.218
82058.085,302.352,0.945,8.99,38.203,1.985,-5.62,17.527,4.068,-11.376,-14.033,-21.478,-23.171,-23.328,-16.855,-19.69,-18.871,-25.803,-18.397,-19.225,-21.455,-23.523,-12,-544.798,-289.718,14.557,-320.312,102.228
82074.21,302.352,0.946,8.989,38.203,1.825,-5.62,18.978,3.639,-11.376,-15.221,-21.893,-23.171,-23.756,-16.408,-21.878,-19.187,-24.848,-19.129,-19.538,-21.87,-23.523,-12,-544.798,-289.718,14.557,-320.312,102.239
82070.179,302.352,0.946,8.97,38.045,1.825,-6.052,18.643,3.854,-12.42,-15.221,-21.27,-23.705,-23.435,-17.189,-21.67,-19.925,-25.272,-18.711,-20.269,-21.352,-23.072,-12,-544.798,-289.718,14.557,-320.312,102.239
82070.179,302.352,0.946,8.98,38.124,2.145,-4.971,17.862,3.961,-11.376,-15.545,-21.374,-23.385,-23.221,-17.859,-21.774,-18.449,-25.485,-18.606,-18.911,-21.248,-22.51,-12,-544.798,-289.718,14.557,-320.312,102.228
82070.179,302.352,0.946,8.98,38.124,1.825,-4.431,18.308,3.532,-12.107,-14.789,-22.619,-23.171,-23.97,-18.417,-22.712,-18.449,-24.423,-18.606,-18.284,-20.626,-22.735,-12,-544.798,-289.718,14.557,-320.312,102.239
82070.179,302.354,0.946,8.98,38.124,1.985,-3.782,18.197,3.104,-12.107,-15.113,-21.582,-24.025,-24.184,-17.636,-23.024,-18.555,-24.529,-16.934,-18.389,-20.004,-20.821,-12,-544.798,-289.718,14.557,-320.312,102.228
82066.148,302.352,0.946,8.98,38.124,2.145,-3.89,18.308,3.425,-12.003,-14.789,-21.374,-23.278,-24.077,-18.194,-22.399,-18.555,-23.786,-16.516,-18.18,-19.486,-20.596,-12,-544.798,-289.718,14.557,-320.328,102.228
82066.148,302.351,0.946,8.98,38.124,1.665,-2.377,17.527,3.425,-12.003,-14.681,-21.789,-23.918,-24.077,-18.194,-22.191,-17.079,-23.467,-16.516,-17.344,-19.175,-19.696,-12,-544.798,-289.718,14.557,-320.312,102.228
82066.148,302.351,0.946,8.97,38.045,1.825,-2.161,18.085,2.676,-12.107,-15.221,-22.308,-24.025,-24.077,-18.082,-22.295,-16.868,-23.043,-16.62,-17.762,-18.864,-19.471,-12,-544.798,-289.718,14.557,-320.328,102.207
82066.148,302.349,0.946,8.97,38.045,1.825,-2.269,17.639,3.532,-13.046,-15.329,-22.204,-24.452,-24.291,-19.087,-20.836,-16.552,-22.936,-15.888,-19.12,-19.175,-18.796,-12,-544.798,-289.718,14.557,-320.295,102.218
82066.148,302.352,0.946,8.98,38.124,2.145,-1.405,17.304,2.783,-12.316,-15.653,-22.412,-24.025,-25.041,-18.864,-19.586,-15.287,-23.149,-16.934,-17.553,-19.59,-19.246,-12,-544.798,-289.718,14.557,-320.312,102.228
82062.116,302.351,0.946,8.989,38.203,1.825,-1.297,17.415,2.783,-12.629,-15.113,-22.827,-24.025,-23.863,-18.417,-18.857,-16.235,-23.255,-16.725,-17.135,-19.071,-19.921,-12,-544.798,-289.718,14.557,-320.312,102.228
82074.21,302.351,0.946,8.979,38.124,1.985,-0.865,17.415,2.89,-12.524,-15.545,-22.204,-24.773,-24.399,-17.189,-18.44,-16.552,-23.043,-16.097,-16.926,-18.45,-18.57,-12,-544.798,-289.718,14.557,-320.312,102.228
82074.21,302.351,0.946,8.979,38.124,1.505,-1.297,17.192,3.104,-13.255,-15.761,-21.685,-23.812,-24.506,-17.524,-18.336,-17.711,-22.724,-15.888,-16.613,-18.657,-18.908,-12,-544.798,-289.718,14.557,-320.312,102.25
82074.21,302.351,0.946,8.97,38.045,1.825,-0.216,16.857,2.462,-12.838,-15.653,-22.412,-23.705,-24.077,-17.301,-19.482,-17.29,-23.467,-15.261,-16.613,-18.242,-19.133,-12,-544.798,-289.718,14.557,-320.312,102.228
82066.148,302.352,0.946,8.97,38.045,1.665,-1.081,17.192,2.034,-13.151,-16.192,-22.204,-23.598,-24.184,-16.631,-20.732,-17.395,-22.618,-16.307,-16.508,-17.931,-19.246,-12,-544.798,-289.718,14.557,-320.328,102.218
82074.21,302.352,0.946,8.979,38.124,1.665,-1.297,17.192,2.569,-13.673,-15.437,-22.204,-24.452,-24.399,-17.301,-20.211,-16.868,-22.724,-15.157,-17.344,-17.62,-19.471,-12,-544.798,-289.718,14.557,-320.328,102.239
82070.179,302.351,0.946,8.97,38.045,1.665,-0.973,16.857,2.248,-13.255,-16.516,-22.515,-24.452,-24.72,-18.306,-19.586,-16.235,-22.512,-15.157,-15.881,-18.242,-19.133,-12,-544.798,-289.718,14.557,-320.312,102.239
82082.273,302.383,0.946,16.883,134.777,-13.864,5.629,68.657,11.775,-44.775,-55.918,-70.971,-74.959,-74.266,-58.377,-70.531,-65.047,-75.074,-67.63,-68.54,-68.305,-69.78,-12,-544.798,-289.718,14.557,-320.295,102.228
82078.242,302.384,0.946,16.894,134.935,-14.024,6.17,67.54,12.203,-45.401,-56.242,-70.763,-74.959,-74.801,-58.935,-68.551,-67.682,-73.906,-66.271,-67.808,-68.927,-69.668,-12,-544.798,-289.718,14.557,-320.312,102.207
82078.242,302.386,0.946,16.889,134.856,-14.024,6.928,66.759,11.347,-45.088,-56.673,-70.867,-75.173,-74.159,-58.712,-69.072,-65.995,-73.482,-66.48,-67.6,-69.03,-70.118,-12,-544.798,-289.718,14.557,-320.328,102.239
82078.242,302.386,0.946,16.889,134.856,-14.024,6.928,67.093,11.132,-45.401,-56.134,-72.112,-75.386,-74.801,-59.27,-67.405,-64.73,-72.632,-66.794,-67.077,-69.03,-71.018,-12,-544.798,-289.718,14.557,-320.295,102.228
82082.273,302.383,0.946,16.883,134.777,-14.184,6.279,66.982,11.561,-45.714,-56.781,-71.282,-76.454,-74.266,-59.716,-62.926,-63.782,-73.269,-66.585,-68.331,-68.616,-69.668,-12,-544.798,-289.718,14.557,-320.295,102.218
82082.273,302.381,0.946,16.893,134.935,-14.024,5.521,66.982,11.347,-45.505,-56.457,-70.555,-75.066,-75.122,-57.819,-61.675,-64.836,-74.012,-67.108,-66.555,-69.756,-71.018,-12,-544.798,-289.718,14.557,-320.328,102.239
82078.242,302.383,0.946,16.889,134.856,-14.024,5.413,65.977,11.454,-44.879,-55.162,-70.763,-74.745,-73.945,-57.038,-64.697,-66.206,-74.119,-67.212,-67.286,-68.616,-71.018,-12,-544.798,-289.718,14.557,-320.328,102.239
82086.305,302.381,0.946,16.893,134.935,-13.864,5.196,68.21,11.561,-43.94,-55.918,-70.14,-75.066,-73.624,-56.703,-66.468,-66.839,-73.8,-66.899,-67.182,-68.201,-69.33,-12,-544.798,-289.718,14.557,-320.295,102.218
82082.273,302.384,0.946,16.883,134.777,-14.184,5.196,67.652,12.096,-44.775,-55.27,-69.829,-74.639,-73.731,-57.149,-66.155,-67.682,-73.906,-66.48,-67.182,-67.786,-69.555,-12,-544.798,-289.718,14.557,-320.295,102.228
