%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82037.928,302.936,0.943,9.012,38.310,-1.881,-5.728,19.313,3.853,-10.959,-14.249,-21.685,-22.954,-22.790,-16.185,-19.378,-16.446,-25.060,-20.069,-21.105,-22.595,-23.860,-12.000,-544.798,-289.718,14.557,-320.459,102.271
82029.865,302.936,0.943,9.022,38.389,-1.881,-5.944,19.537,4.388,-11.898,-14.357,-20.751,-23.274,-23.004,-16.743,-18.544,-17.078,-26.122,-19.024,-21.836,-22.803,-23.635,-12.000,-544.798,-289.718,14.557,-320.442,102.250
82037.928,302.938,0.943,9.021,38.389,-1.561,-5.403,19.090,4.389,-10.959,-14.573,-21.166,-22.527,-23.004,-16.073,-17.815,-16.024,-26.334,-19.233,-21.105,-23.424,-23.747,-12.000,-544.798,-289.718,14.557,-320.459,102.271
82033.897,302.936,0.943,9.021,38.389,-1.561,-5.295,19.090,4.496,-11.063,-13.925,-21.166,-23.060,-22.576,-16.185,-16.565,-17.078,-27.290,-19.651,-20.687,-22.077,-24.423,-12.000,-544.798,-289.718,14.557,-320.442,102.261
82033.897,302.934,0.943,9.031,38.468,-1.561,-5.187,19.760,4.710,-10.959,-13.925,-20.959,-22.633,-22.790,-15.515,-17.190,-18.133,-27.502,-19.442,-21.209,-22.492,-23.747,-12.000,-544.798,-289.718,14.557,-320.426,102.282
82033.897,302.931,0.943,9.040,38.547,-1.721,-6.160,19.537,4.496,-10.959,-14.249,-20.752,-21.993,-23.111,-15.738,-17.502,-20.030,-27.396,-19.860,-21.523,-22.388,-23.747,-12.000,-544.798,-289.718,14.557,-320.426,102.271
82037.928,302.936,0.943,9.030,38.468,-1.561,-5.079,18.309,4.496,-11.168,-14.465,-21.167,-22.100,-22.897,-16.296,-18.961,-19.082,-28.139,-19.965,-20.060,-22.492,-23.297,-12.000,-544.798,-289.718,14.557,-320.442,102.271
82041.959,302.939,0.943,9.021,38.389,-1.721,-5.511,19.872,3.747,-10.855,-14.141,-21.686,-22.634,-22.576,-15.180,-21.565,-20.347,-26.865,-20.069,-21.105,-22.492,-22.847,-12.000,-544.798,-289.718,14.557,-320.459,102.261
82033.897,302.936,0.943,9.031,38.468,-1.401,-4.863,19.425,4.282,-12.003,-13.925,-21.167,-22.634,-22.790,-16.743,-21.565,-19.398,-26.653,-19.338,-21.732,-21.870,-23.185,-12.000,-544.798,-289.718,14.557,-320.442,102.261
82033.897,302.938,0.943,9.049,38.626,-1.401,-5.836,19.090,4.603,-11.063,-14.357,-20.959,-22.741,-23.432,-16.743,-21.357,-18.765,-26.865,-20.069,-20.478,-22.595,-23.072,-12.000,-544.798,-289.718,14.557,-320.475,102.282
