%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83469.073,302.407,0.962,9.011,39.041,-3.554,-8.320,17.971,4.388,-10.228,-12.738,-17.636,-17.402,-16.477,-9.153,-12.397,-20.768,-34.935,-28.532,-28.727,-30.990,-32.413,-9.000,-544.798,-289.718,14.557,-320.328,102.196
83469.073,302.410,0.962,9.039,39.278,-3.234,-8.536,19.202,3.532,-10.332,-12.090,-17.636,-17.295,-16.263,-8.595,-13.231,-19.819,-33.554,-28.532,-28.414,-30.990,-33.201,-9.000,-544.798,-289.718,14.557,-320.328,102.185
83469.073,302.405,0.962,9.020,39.120,-3.394,-8.536,19.090,4.388,-10.332,-12.414,-17.428,-18.043,-16.263,-8.706,-12.918,-20.557,-32.705,-26.755,-29.354,-30.783,-31.963,-9.000,-544.798,-289.718,14.557,-320.312,102.175
83461.010,302.409,0.961,9.021,39.120,-3.234,-8.428,18.532,4.602,-10.437,-12.306,-17.013,-17.082,-17.333,-8.929,-12.502,-20.874,-32.280,-27.486,-28.519,-31.405,-32.638,-9.000,-544.798,-289.718,14.557,-320.312,102.185
83469.073,302.409,0.962,9.039,39.278,-3.394,-8.212,18.197,4.281,-10.437,-11.874,-18.155,-17.936,-16.263,-9.822,-12.710,-20.241,-32.811,-27.904,-28.623,-29.954,-32.076,-9.000,-544.798,-289.718,14.557,-320.279,102.196
83465.041,302.405,0.962,9.011,39.041,-3.394,-7.780,19.202,3.853,-10.646,-12.522,-17.120,-18.470,-16.798,-8.595,-13.752,-19.608,-33.448,-27.800,-28.936,-30.576,-31.513,-9.000,-544.798,-289.718,14.557,-320.312,102.196
83465.041,302.405,0.962,9.039,39.278,-3.714,-8.536,18.644,3.960,-10.646,-12.522,-17.639,-18.149,-17.333,-8.818,-12.502,-20.346,-33.448,-27.800,-28.832,-30.369,-32.188,-9.000,-544.798,-289.718,14.557,-320.344,102.196
83465.041,302.409,0.962,9.021,39.120,-3.074,-7.347,17.862,3.853,-10.646,-12.414,-17.742,-18.043,-17.012,-9.264,-10.939,-20.241,-33.661,-27.695,-28.519,-30.783,-32.526,-9.000,-544.798,-289.718,14.557,-320.344,102.196
83461.010,302.405,0.961,9.021,39.120,-3.074,-7.888,18.867,2.890,-11.063,-12.738,-18.469,-18.256,-16.049,-9.264,-12.814,-20.768,-32.917,-28.532,-29.354,-30.679,-31.963,-9.000,-544.798,-289.718,14.557,-320.344,102.185
83461.010,302.407,0.961,9.030,39.199,-3.394,-8.536,18.085,3.853,-11.585,-12.090,-17.431,-18.043,-16.477,-8.594,-13.648,-21.295,-32.917,-27.486,-28.414,-30.990,-32.188,-9.000,-544.798,-289.718,14.557,-320.312,102.207
83461.010,302.405,0.961,9.030,39.199,-3.394,-7.780,18.309,3.425,-10.437,-13.169,-17.846,-17.722,-17.119,-9.487,-13.543,-21.186,-32.917,-26.859,-27.892,-31.301,-32.864,-9.000,-544.798,-289.718,14.557,-320.344,102.175
