%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83815.773,302.404,0.966,8.914,38.365,-6.196,-9.186,18.309,4.923,-9.915,-9.931,-14.734,-13.559,-10.913,-5.246,-9.272,-16.130,-33.343,-27.909,-32.912,-33.375,-34.440,-8.000,-544.798,-289.718,14.557,-320.573,102.164
83811.741,302.405,0.966,8.924,38.444,-6.036,-9.618,17.750,4.388,-8.558,-10.687,-15.045,-13.452,-11.127,-5.469,-9.272,-15.708,-32.599,-25.296,-35.837,-36.070,-38.379,-8.000,-544.798,-289.718,14.557,-320.540,102.196
83815.773,302.404,0.966,8.924,38.444,-6.356,-12.104,18.644,4.709,-8.558,-9.931,-15.460,-13.772,-11.448,-5.023,-10.939,-16.552,-27.609,-26.864,-36.882,-38.039,-41.868,-8.000,-544.798,-289.718,14.557,-320.557,102.207
83819.804,302.407,0.966,8.923,38.444,-5.875,-14.265,19.090,4.923,-8.871,-10.255,-14.215,-13.879,-11.341,-6.139,-11.981,-13.600,-26.547,-26.132,-38.136,-40.008,-43.894,-8.000,-544.798,-289.718,14.557,-320.540,102.185
83819.804,302.407,0.966,8.933,38.523,-6.036,-15.994,18.755,4.816,-8.976,-10.363,-14.526,-13.239,-12.197,-6.027,-11.043,-10.753,-25.166,-27.700,-38.658,-41.459,-44.119,-8.000,-544.798,-289.718,14.557,-320.540,102.196
83819.804,302.407,0.966,8.923,38.444,-6.036,-16.426,18.755,4.495,-8.558,-9.176,-15.149,-13.772,-11.341,-7.255,-7.814,-10.332,-25.697,-29.373,-39.807,-40.527,-44.907,-8.000,-544.798,-289.718,14.557,-320.557,102.196
83819.804,302.407,0.966,8.923,38.444,-6.036,-16.750,19.648,4.174,-8.976,-10.363,-14.526,-13.665,-12.197,-6.362,-6.147,-9.066,-26.334,-31.777,-40.539,-41.148,-43.444,-8.000,-544.798,-289.718,14.557,-320.524,102.196
83815.773,302.407,0.966,8.933,38.523,-6.036,-16.318,19.090,4.816,-9.393,-10.903,-14.941,-13.879,-12.197,-5.916,-5.001,-8.961,-28.139,-32.404,-40.748,-40.423,-42.543,-8.000,-544.798,-289.718,14.557,-320.540,102.207
83811.741,302.407,0.966,8.924,38.444,-6.036,-15.778,18.867,4.602,-8.558,-10.687,-14.526,-13.559,-11.769,-6.362,-5.105,-8.328,-28.989,-33.972,-40.539,-39.905,-42.543,-8.000,-544.798,-289.718,14.557,-320.557,102.196
83815.773,302.402,0.966,8.924,38.444,-5.715,-15.238,19.760,3.960,-9.289,-10.795,-15.356,-14.093,-11.448,-5.581,-4.792,-8.645,-30.051,-34.181,-39.807,-40.008,-41.868,-8.000,-544.798,-289.718,14.557,-320.540,102.196
