%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83134.467,302.155,350.906,139.588,0.038,0.027,5.000
83134.467,302.154,350.985,139.908,-0.011,-0.004,5.000
83134.467,302.154,351.064,139.908,-0.011,-0.004,5.000
83130.435,302.155,350.906,140.068,0.022,0.016,5.000
83138.498,302.157,350.985,140.068,0.006,0.006,5.000
83126.404,302.159,350.906,139.908,-0.011,0.006,5.000
83130.435,302.155,350.985,139.908,0.022,0.006,5.000
83130.435,302.155,350.906,140.068,0.006,-0.004,5.000
83130.435,302.157,350.906,140.388,0.022,0.016,5.000
83130.435,302.157,350.985,140.388,0.006,0.006,5.000
83126.404,302.157,350.906,140.068,0.038,0.006,5.000
83118.341,302.155,350.906,140.228,-0.011,-0.004,5.000
83130.435,302.159,350.906,140.068,-0.027,-0.014,5.000
83122.373,302.155,350.906,140.228,0.006,-0.004,5.000
83118.341,302.155,350.748,140.068,0.022,0.016,5.000
83122.373,302.157,350.589,139.908,0.022,0.006,5.000
83122.373,302.157,350.668,139.748,0.022,-0.004,5.000
83118.341,302.154,350.589,139.748,-0.011,0.016,5.000
83122.373,302.155,350.589,139.588,-0.011,0.006,5.000
83122.373,302.159,350.589,139.748,-0.011,-0.014,5.000
83122.373,302.157,350.668,139.588,0.006,-0.004,5.000
83126.404,302.160,350.273,139.588,0.022,0.006,5.000
83118.341,302.155,350.510,139.588,0.022,-0.004,5.000
83114.310,302.159,350.431,139.588,-0.011,-0.025,5.000
83122.373,302.155,350.273,139.908,0.006,-0.004,5.000
83118.341,302.155,350.352,139.908,0.022,-0.014,5.000
83126.404,302.154,350.273,139.588,0.006,-0.004,5.000
83122.373,302.155,350.273,139.588,-0.011,0.006,5.000
83118.341,302.155,350.273,139.588,0.022,0.016,5.000
83122.373,302.155,350.194,139.748,0.006,-0.014,5.000
83122.373,302.155,350.194,139.748,-0.011,0.016,5.000
83130.435,302.155,350.115,139.748,0.006,0.006,5.000
83126.404,302.154,350.036,139.908,-0.011,-0.014,5.000
83122.373,302.152,350.036,139.908,-0.011,0.006,5.000
83122.373,302.155,350.115,140.068,0.006,0.006,5.000
83122.373,302.152,349.957,140.228,0.006,0.006,5.000
83130.435,302.155,350.115,140.228,0.006,-0.004,5.000
83130.435,302.149,349.957,140.388,0.038,0.006,5.000
83130.435,302.147,349.878,140.388,0.022,0.006,5.000
83126.404,302.151,350.036,140.709,0.022,0.006,5.000
83130.435,302.152,349.878,140.549,0.022,0.016,5.000
83130.435,302.152,350.115,140.709,0.022,0.006,5.000
83134.467,302.152,349.957,140.869,0.022,-0.004,5.000
83134.467,302.149,350.036,140.869,0.022,-0.004,5.000
83122.373,302.152,349.957,140.709,0.038,-0.004,5.000
83130.435,302.149,350.036,140.869,0.006,0.006,5.000
83130.435,302.152,350.036,140.709,0.006,0.006,5.000
83126.404,302.149,350.036,140.869,0.022,-0.004,5.000
83134.467,302.155,350.115,140.869,0.006,-0.014,5.000
83130.435,302.152,350.194,140.869,0.006,-0.014,5.000
83130.435,302.152,350.115,141.029,0.006,0.006,5.000
83134.467,302.155,350.273,141.029,0.006,-0.004,5.000
83134.467,302.152,350.273,140.709,0.006,0.006,5.000
83134.467,302.151,350.194,140.709,0.022,-0.004,5.000
83134.467,302.157,350.352,140.549,0.006,0.006,5.000
83126.404,302.154,350.431,140.228,0.006,0.016,5.000
83134.467,302.152,350.510,139.908,0.006,-0.004,5.000
83134.467,302.154,350.352,139.748,0.022,0.006,5.000
83134.467,302.154,350.510,139.908,0.022,0.006,5.000
83130.435,302.155,350.510,139.588,0.022,-0.004,5.000
83134.467,302.157,350.510,139.428,0.006,-0.004,5.000
83134.467,302.155,350.589,139.268,0.038,-0.004,5.000
83130.435,302.157,350.510,139.108,0.022,0.016,5.000
83130.435,302.157,350.668,139.108,0.038,-0.004,5.000
83126.404,302.157,350.668,138.787,0.006,0.016,5.000
83126.404,302.154,350.748,138.467,0.022,0.006,5.000
83130.435,302.157,350.748,138.147,0.006,0.016,5.000
83126.404,302.157,350.748,138.307,0.022,0.006,5.000
83138.498,302.154,350.668,137.827,-0.011,0.006,5.000
83126.404,302.157,350.827,137.987,0.022,0.027,5.000
83122.373,302.154,350.748,137.667,0.006,0.016,5.000
83130.435,302.154,350.906,137.507,0.022,-0.004,5.000
83122.373,302.155,350.827,137.827,0.006,-0.004,5.000
83130.435,302.152,350.748,137.507,-0.011,0.006,5.000
83122.373,302.152,350.827,137.347,0.022,0.006,5.000
83126.404,302.155,350.906,137.347,0.022,0.006,5.000
83126.404,302.155,350.827,137.667,-0.011,0.016,5.000
83118.341,302.152,350.985,137.347,0.022,-0.004,5.000
83122.373,302.152,350.906,137.187,0.022,-0.004,5.000
83122.373,302.155,350.985,137.507,0.038,0.016,5.000
83118.341,302.155,350.906,137.667,0.038,-0.004,5.000
83126.404,302.155,351.064,137.507,0.006,0.006,5.000
83118.341,302.155,350.985,137.827,0.022,-0.004,5.000
83118.341,302.154,350.906,137.827,0.022,-0.004,5.000
83118.341,302.157,350.906,137.827,0.022,-0.014,5.000
83126.404,302.155,350.906,138.307,0.022,0.016,5.000
83118.341,302.155,350.985,138.147,0.022,-0.004,5.000
83122.373,302.152,350.985,138.307,0.022,-0.004,5.000
83126.404,302.152,350.906,138.147,0.006,-0.004,5.000
83122.373,302.154,350.985,138.627,0.022,-0.014,5.000
83118.341,302.154,350.985,138.627,0.022,0.006,5.000
83118.341,302.151,350.985,138.787,-0.011,-0.014,5.000
83126.404,302.152,350.748,139.108,0.006,0.006,5.000
83118.341,302.154,350.985,139.108,0.006,0.006,5.000
83126.404,302.154,350.906,139.588,0.006,-0.004,5.000
83122.373,302.154,350.827,139.428,0.022,0.006,5.000
83122.373,302.151,350.906,139.748,0.038,-0.004,5.000
83126.404,302.154,350.827,139.588,0.006,0.027,5.000
83122.373,302.154,350.748,139.748,-0.011,0.016,5.000
83126.404,302.152,350.906,140.388,0.006,0.016,5.000
83130.435,302.151,350.827,140.068,0.006,0.006,5.000
83122.373,302.151,350.748,140.068,0.022,0.027,5.000
83134.467,302.152,350.748,140.068,0.022,0.016,5.000
83126.404,302.155,350.668,140.068,0.022,-0.014,5.000
83130.435,302.151,350.589,139.908,-0.043,-0.004,5.000
83126.404,302.155,350.510,140.068,0.006,-0.004,5.000
83122.373,302.149,350.510,139.908,0.022,-0.004,5.000
83130.435,302.155,350.510,139.748,0.006,-0.004,5.000
83138.498,302.151,350.273,139.588,0.022,0.016,5.000
83126.404,302.151,350.273,139.428,0.022,0.006,5.000
83134.467,302.152,350.273,139.268,0.022,-0.004,5.000
83134.467,302.152,350.115,139.108,0.022,0.006,5.000
83126.404,302.152,350.273,138.948,0.006,-0.004,5.000
83138.498,302.154,350.036,138.787,0.006,-0.004,5.000
83134.467,302.154,350.036,138.467,-0.011,0.006,5.000
83138.498,302.152,349.878,138.147,0.006,0.006,5.000
83134.467,302.152,349.799,138.147,0.022,-0.014,5.000
83138.498,302.154,349.799,137.827,0.006,0.006,5.000
83138.498,302.151,349.562,137.507,0.006,0.016,5.000
83138.498,302.155,349.562,137.187,-0.011,-0.004,5.000
83134.467,302.154,349.404,137.187,0.006,-0.014,5.000
83134.467,302.154,349.404,136.706,0.022,-0.004,5.000
83138.498,302.154,349.404,136.706,-0.011,0.006,5.000
83134.467,302.154,349.246,136.386,0.006,-0.004,5.000
83134.467,302.152,349.167,136.226,0.022,0.006,5.000
83134.467,302.155,349.246,136.386,0.022,0.006,5.000
83142.530,302.154,349.088,136.066,0.006,0.006,5.000
83126.404,302.155,349.088,136.066,0.006,-0.004,5.000
83126.404,302.155,349.167,135.746,0.022,-0.004,5.000
83130.435,302.155,348.772,135.586,0.022,0.006,5.000
83130.435,302.155,349.088,135.746,0.006,-0.004,5.000
83130.435,302.154,349.009,135.906,0.022,0.006,5.000
83134.467,302.157,348.851,135.906,-0.011,0.016,5.000
83118.341,302.154,348.930,135.586,0.006,0.006,5.000
83126.404,302.157,348.851,135.426,0.022,-0.004,5.000
83126.404,302.155,348.851,135.426,0.055,0.006,5.000
83122.373,302.157,348.851,135.906,0.006,-0.025,5.000
83126.404,302.154,348.772,136.066,0.022,0.006,5.000
83118.341,302.155,348.772,136.226,-0.011,-0.004,5.000
83118.341,302.155,348.693,136.226,0.038,-0.014,5.000
83114.310,302.152,348.693,136.226,0.006,-0.004,5.000
83122.373,302.152,348.772,136.386,-0.011,-0.004,5.000
83118.341,302.152,348.693,136.706,0.022,-0.004,5.000
83114.310,302.152,348.772,137.026,0.022,-0.004,5.000
83118.341,302.151,348.693,137.187,0.006,-0.014,5.000
83118.341,302.152,348.772,137.026,0.006,0.016,5.000
83118.341,302.152,348.851,137.507,0.006,0.006,5.000
83122.373,302.149,348.772,137.507,0.006,0.016,5.000
83122.373,302.152,348.851,137.827,0.006,0.006,5.000
83118.341,302.154,348.851,138.147,-0.011,-0.004,5.000
83126.404,302.151,348.772,138.307,0.006,-0.004,5.000
83122.373,302.152,349.009,138.467,-0.011,-0.014,5.000
83122.373,302.152,348.930,138.627,0.022,-0.004,5.000
83118.341,302.151,349.088,138.627,0.038,0.016,5.000
83126.404,302.149,349.009,138.787,0.006,0.006,5.000
83126.404,302.147,349.009,139.108,0.006,-0.014,5.000
83122.373,302.149,349.167,139.108,0.022,0.006,5.000
83126.404,302.149,349.088,139.268,0.006,0.016,5.000
83122.373,302.149,349.088,139.428,-0.011,0.006,5.000
83126.404,302.146,349.246,139.588,0.022,-0.004,5.000
83118.341,302.149,349.167,139.428,0.038,0.006,5.000
83118.341,302.147,349.404,139.428,-0.011,-0.004,5.000
83126.404,302.147,349.404,139.428,0.006,0.006,5.000
83130.435,302.146,349.404,139.748,0.022,-0.004,5.000
83122.373,302.151,349.562,139.908,-0.011,0.016,5.000
83130.435,302.149,349.483,139.748,0.006,-0.014,5.000
83134.467,302.151,349.720,139.908,-0.027,0.006,5.000
83130.435,302.149,349.720,140.068,0.022,0.006,5.000
83126.404,302.147,349.641,139.748,-0.011,0.006,5.000
83130.435,302.149,349.799,140.068,-0.011,0.006,5.000
83134.467,302.151,349.799,140.068,0.022,-0.004,5.000
83130.435,302.147,349.878,139.908,0.038,0.006,5.000
83122.373,302.151,349.720,139.908,0.006,0.006,5.000
83134.467,302.147,349.799,140.068,0.022,0.006,5.000
83122.373,302.146,349.878,139.908,0.038,-0.014,5.000
83126.404,302.147,349.957,140.228,0.006,0.006,5.000
83126.404,302.147,349.957,140.388,0.022,0.006,5.000
83126.404,302.147,350.036,140.228,0.022,-0.004,5.000
83122.373,302.147,350.115,140.388,0.022,0.016,5.000
83130.435,302.147,350.194,140.709,0.006,-0.004,5.000
83130.435,302.149,350.273,140.549,0.006,-0.004,5.000
83122.373,302.149,350.194,140.709,0.006,0.016,5.000
83126.404,302.146,350.352,140.549,0.006,0.006,5.000
83126.404,302.149,350.273,141.029,0.022,-0.004,5.000
83126.404,302.147,350.352,141.189,0.006,-0.004,5.000
83122.373,302.149,350.431,141.189,-0.011,0.006,5.000
83122.373,302.151,350.431,141.509,0.022,0.006,5.000
83130.435,302.151,350.431,141.509,0.022,-0.004,5.000
83122.373,302.149,350.273,141.509,-0.011,-0.014,5.000
83122.373,302.149,350.352,141.669,0.006,-0.004,5.000
83118.341,302.152,350.431,141.989,0.006,0.006,5.000
83114.310,302.149,350.273,142.149,0.006,0.016,5.000
83118.341,302.151,350.510,142.630,0.006,-0.004,5.000
83126.404,302.151,350.352,142.149,0.006,-0.004,5.000
83122.373,302.149,350.431,142.790,0.006,-0.004,5.000
83122.373,302.151,350.510,142.310,0.022,-0.004,5.000
83122.373,302.151,350.352,142.950,0.006,0.006,5.000
83126.404,302.154,350.431,142.790,0.022,0.016,5.000
83118.341,302.152,350.431,142.950,0.022,-0.004,5.000
83118.341,302.152,350.194,142.950,0.022,0.006,5.000
83118.341,302.151,350.352,142.950,0.022,-0.014,5.000
83118.341,302.151,350.352,143.110,0.022,0.016,5.000
83122.373,302.151,350.273,143.270,-0.011,0.006,5.000
83118.341,302.149,350.194,143.110,0.022,-0.004,5.000
83122.373,302.152,350.194,143.430,0.022,-0.004,5.000
83122.373,302.154,350.273,143.110,0.022,-0.004,5.000
83126.404,302.152,350.194,143.430,0.022,-0.004,5.000
83126.404,302.152,350.194,143.430,0.006,0.006,5.000
83122.373,302.152,350.036,143.270,0.006,0.006,5.000
83122.373,302.152,349.957,143.110,0.006,-0.014,5.000
83126.404,302.155,349.957,143.590,0.022,-0.004,5.000
83130.435,302.152,350.036,143.110,0.055,0.006,5.000
83122.373,302.152,349.957,142.950,0.006,-0.004,5.000
83126.404,302.155,349.957,143.270,0.006,0.006,5.000
83126.404,302.154,349.878,143.110,0.006,0.006,5.000
83126.404,302.157,349.799,142.950,0.038,0.006,5.000
83130.435,302.154,349.799,142.950,0.006,-0.004,5.000
83134.467,302.154,349.720,143.270,0.022,0.016,5.000
83134.467,302.154,349.641,143.430,0.038,0.006,5.000
83134.467,302.154,349.799,143.270,0.006,-0.004,5.000
83130.435,302.152,349.720,143.430,-0.011,-0.014,5.000
83130.435,302.154,349.641,143.270,0.022,-0.004,5.000
83130.435,302.155,349.562,143.270,0.006,0.006,5.000
83130.435,302.154,349.641,143.590,0.006,0.006,5.000
83126.404,302.154,349.562,143.430,0.006,0.016,5.000
83130.435,302.155,349.641,143.590,0.006,0.006,5.000
83130.435,302.157,349.562,143.750,0.006,-0.014,5.000
83126.404,302.155,349.404,143.750,0.022,-0.004,5.000
83130.435,302.157,349.483,143.750,0.022,-0.014,5.000
83122.373,302.155,349.562,143.910,0.006,-0.004,5.000
83134.467,302.155,349.641,144.231,-0.011,0.006,5.000
83126.404,302.155,349.404,144.391,-0.011,0.006,5.000
83122.373,302.157,349.562,144.391,0.006,-0.004,5.000
83118.341,302.157,349.641,144.551,0.022,0.006,5.000
83114.310,302.157,349.562,144.551,-0.011,0.016,5.000
83130.435,302.155,349.562,144.871,0.006,-0.004,5.000
83126.404,302.155,349.641,145.031,0.038,0.006,5.000
83122.373,302.155,349.641,144.871,0.038,0.016,5.000
83118.341,302.157,349.483,144.871,0.006,0.016,5.000
83130.435,302.155,349.562,145.351,0.022,-0.004,5.000
83122.373,302.152,349.483,145.191,0.006,0.006,5.000
83122.373,302.154,349.720,145.351,0.006,0.006,5.000
83122.373,302.152,349.799,145.031,0.006,-0.004,5.000
83122.373,302.152,349.799,145.351,0.006,-0.014,5.000
83118.341,302.154,349.720,145.671,0.022,0.016,5.000
83118.341,302.151,349.641,145.351,0.022,-0.014,5.000
83122.373,302.152,349.720,145.191,-0.011,-0.004,5.000
83118.341,302.152,349.799,145.191,-0.027,-0.004,5.000
83122.373,302.151,349.720,145.031,0.038,0.006,5.000
83126.404,302.151,349.720,145.031,0.006,0.016,5.000
83130.435,302.151,349.720,145.031,-0.011,0.006,5.000
83122.373,302.149,349.878,144.711,-0.011,0.016,5.000
83122.373,302.151,349.641,144.711,0.006,-0.014,5.000
83126.404,302.151,349.720,144.231,0.006,-0.004,5.000
83130.435,302.151,349.720,144.391,0.006,-0.014,5.000
83134.467,302.152,349.641,144.071,-0.027,0.006,5.000
83134.467,302.149,349.799,143.910,0.006,0.006,5.000
83130.435,302.151,349.799,143.590,0.006,-0.004,5.000
83126.404,302.152,349.720,143.270,0.006,-0.004,5.000
83134.467,302.152,349.799,142.950,-0.011,0.016,5.000
83130.435,302.151,349.799,142.790,-0.011,-0.014,5.000
83138.498,302.152,349.641,142.310,0.006,-0.004,5.000
83138.498,302.152,349.720,141.829,0.006,-0.004,5.000
83134.467,302.152,349.562,141.829,0.022,-0.014,5.000
83134.467,302.151,349.483,141.509,0.006,0.006,5.000
83130.435,302.152,349.720,141.029,0.006,0.006,5.000
83130.435,302.155,349.404,140.549,0.022,0.006,5.000
83130.435,302.152,349.483,140.549,0.006,-0.014,5.000
83126.404,302.152,349.641,139.748,0.006,-0.004,5.000
83134.467,302.152,349.483,139.748,-0.011,-0.025,5.000
83126.404,302.152,349.641,139.268,0.006,-0.004,5.000
83134.467,302.154,349.483,138.948,0.006,0.006,5.000
83126.404,302.151,349.404,138.787,0.038,0.006,5.000
83126.404,302.155,349.325,138.467,0.006,-0.004,5.000
83126.404,302.152,349.404,138.147,0.006,0.006,5.000
83130.435,302.154,349.404,138.147,0.022,-0.004,5.000
83130.435,302.152,349.325,137.667,0.038,-0.004,5.000
83126.404,302.152,349.404,137.507,-0.011,-0.014,5.000
83130.435,302.152,349.404,137.187,-0.011,0.006,5.000
83130.435,302.151,349.483,137.187,0.038,-0.004,5.000
83130.435,302.152,349.246,136.706,0.006,-0.004,5.000
83130.435,302.152,349.404,136.866,0.022,0.006,5.000
83134.467,302.149,349.325,136.706,-0.011,-0.004,5.000
83122.373,302.152,349.404,136.546,0.022,-0.004,5.000
83122.373,302.154,349.562,136.546,0.006,-0.004,5.000
83122.373,302.151,349.404,136.226,0.006,0.006,5.000
83126.404,302.152,349.562,136.386,0.006,-0.004,5.000
83122.373,302.151,349.404,136.066,0.022,0.016,5.000
83118.341,302.147,349.641,136.066,0.006,0.006,5.000
83122.373,302.152,349.562,136.386,-0.011,0.006,5.000
83122.373,302.154,349.641,136.386,0.006,0.016,5.000
83122.373,302.151,349.641,136.546,0.022,0.016,5.000
83122.373,302.152,349.720,136.226,0.022,0.006,5.000
83118.341,302.151,349.799,136.546,0.006,-0.004,5.000
83126.404,302.151,349.878,136.546,-0.011,-0.004,5.000
83126.404,302.151,349.957,136.706,0.006,-0.004,5.000
83118.341,302.154,349.957,136.866,0.038,0.006,5.000
83122.373,302.149,350.115,136.706,0.006,-0.004,5.000
83122.373,302.149,350.194,136.706,0.006,0.016,5.000
83126.404,302.151,350.036,137.026,0.022,0.016,5.000
83126.404,302.152,350.273,137.187,-0.011,0.006,5.000
83130.435,302.154,350.352,137.026,0.006,0.006,5.000
83130.435,302.159,350.431,137.347,-0.011,0.006,5.000
83130.435,302.155,350.589,137.827,-0.011,-0.004,5.000
83126.404,302.154,350.510,137.987,0.038,-0.004,5.000
83122.373,302.155,350.589,137.507,0.006,-0.004,5.000
83130.435,302.159,350.589,138.307,0.006,0.006,5.000
83130.435,302.155,350.668,137.987,0.022,0.006,5.000
83126.404,302.157,350.748,138.307,0.006,-0.014,5.000
83134.467,302.155,350.906,138.467,0.006,-0.004,5.000
83130.435,302.159,350.906,138.627,0.022,0.016,5.000
83134.467,302.157,351.064,138.627,0.022,-0.004,5.000
83130.435,302.157,351.143,138.787,0.022,-0.004,5.000
83126.404,302.160,351.064,139.108,-0.011,0.016,5.000
83130.435,302.157,351.064,139.108,0.022,-0.004,5.000
83130.435,302.160,351.301,139.108,-0.011,-0.004,5.000
83130.435,302.159,351.301,138.787,0.038,-0.014,5.000
83130.435,302.159,351.222,139.268,0.022,-0.004,5.000
83134.467,302.157,351.301,139.428,0.022,0.016,5.000
83134.467,302.155,351.222,139.268,0.022,0.006,5.000
83126.404,302.159,351.301,139.588,0.022,0.016,5.000
83134.467,302.159,351.380,139.748,0.022,0.016,5.000
83130.435,302.157,351.538,139.588,-0.011,-0.014,5.000
83134.467,302.157,351.380,139.748,0.006,0.006,5.000
83130.435,302.159,351.459,139.908,0.022,-0.014,5.000
83130.435,302.154,351.617,140.228,0.006,0.016,5.000
83134.467,302.155,351.538,140.068,-0.011,-0.004,5.000
83134.467,302.154,351.459,140.388,0.022,0.006,5.000
83134.467,302.152,351.538,140.228,0.022,-0.004,5.000
83134.467,302.154,351.538,140.388,0.038,0.016,5.000
83130.435,302.152,351.617,140.388,0.022,-0.004,5.000
83134.467,302.152,351.854,140.549,-0.011,0.006,5.000
83134.467,302.152,351.617,140.388,0.006,0.006,5.000
83134.467,302.152,351.617,140.709,-0.027,0.006,5.000
83134.467,302.151,351.617,140.549,0.006,0.016,5.000
83130.435,302.149,351.696,140.549,0.006,-0.004,5.000
83130.435,302.151,351.538,140.709,0.038,0.006,5.000
83126.404,302.149,351.538,140.549,0.006,-0.014,5.000
83130.435,302.151,351.696,140.709,0.038,0.006,5.000
83126.404,302.152,351.617,140.709,-0.011,0.006,5.000
83130.435,302.147,351.617,140.549,0.006,-0.004,5.000
83134.467,302.149,351.617,140.869,0.038,0.006,5.000
83126.404,302.151,351.617,140.709,0.006,0.006,5.000
83126.404,302.147,351.617,140.549,0.022,-0.004,5.000
83126.404,302.147,351.538,140.388,0.006,-0.004,5.000
