%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82864.363,301.925,353.116,110.866,0.023,-0.006,5.000
82860.332,301.926,353.116,110.706,-0.009,-0.006,5.000
82860.332,301.928,353.037,110.866,-0.009,-0.016,5.000
82860.332,301.930,353.116,110.866,0.007,0.004,5.000
82860.332,301.930,353.037,110.546,-0.009,0.004,5.000
82864.363,301.928,353.037,110.866,-0.009,-0.006,5.000
82856.301,301.930,353.037,110.546,-0.009,0.014,5.000
82864.363,301.931,353.037,110.706,-0.009,0.004,5.000
82860.332,301.926,353.116,110.866,0.007,-0.006,5.000
82868.395,301.930,353.116,110.866,0.007,-0.006,5.000
82856.301,301.930,353.037,110.866,0.007,0.014,5.000
82864.363,301.925,353.037,110.706,-0.009,0.004,5.000
82868.395,301.926,353.116,110.866,-0.009,0.004,5.000
82868.395,301.928,353.037,110.866,-0.009,0.004,5.000
82868.395,301.926,353.116,111.026,0.007,0.004,5.000
82864.363,301.928,353.116,110.706,0.007,0.004,5.000
82868.395,301.928,353.116,111.026,0.007,-0.006,5.000
82868.395,301.931,353.037,110.866,0.007,-0.006,5.000
82868.395,301.928,353.116,111.186,-0.009,0.004,5.000
82872.426,301.928,353.116,111.026,0.023,-0.006,5.000
82868.395,301.926,353.037,111.346,-0.009,0.004,5.000
82860.332,301.926,352.958,111.186,0.023,0.004,5.000
82868.395,301.931,353.037,111.026,-0.042,-0.016,5.000
82868.395,301.935,352.958,111.506,-0.009,-0.016,5.000
82864.363,301.930,352.879,111.346,0.023,-0.016,5.000
82864.363,301.928,352.879,111.666,0.007,0.014,5.000
82864.363,301.930,353.037,111.666,0.007,-0.016,5.000
82860.332,301.925,352.958,111.346,-0.009,0.004,5.000
82868.395,301.928,352.800,111.186,-0.009,-0.006,5.000
82860.332,301.930,352.879,111.506,-0.009,0.004,5.000
82856.301,301.926,352.879,111.346,0.007,0.004,5.000
82868.395,301.925,352.879,111.346,0.007,0.004,5.000
82860.332,301.923,352.721,111.346,0.007,0.004,5.000
82860.332,301.923,352.800,111.346,-0.026,-0.006,5.000
82856.301,301.925,352.800,111.346,-0.009,0.004,5.000
82864.363,301.926,352.800,111.506,-0.009,-0.006,5.000
82856.301,301.923,352.879,111.506,0.007,-0.006,5.000
82860.332,301.925,352.642,111.346,0.007,-0.006,5.000
82856.301,301.923,352.642,111.346,0.023,-0.006,5.000
