%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82896.615,301.623,351.840,115.353,0.014,-0.001,5.000
82892.583,301.625,351.919,115.353,-0.018,0.010,5.000
82892.583,301.623,351.919,115.193,-0.002,0.020,5.000
82896.615,301.622,351.998,115.193,-0.002,-0.001,5.000
82892.583,301.622,351.998,115.353,0.014,-0.001,5.000
82888.552,301.622,351.919,115.193,-0.018,0.010,5.000
82904.677,301.622,351.840,115.353,0.014,-0.011,5.000
82896.615,301.620,351.998,115.193,-0.018,-0.011,5.000
82900.646,301.623,351.998,115.193,-0.018,0.010,5.000
82900.646,301.623,351.998,115.353,-0.002,0.010,5.000
82904.677,301.623,351.998,115.513,-0.002,-0.001,5.000
82908.709,301.623,352.077,115.513,0.014,0.010,5.000
82904.677,301.622,352.077,115.513,-0.018,-0.011,5.000
82908.709,301.625,352.235,115.673,-0.002,-0.011,5.000
82908.709,301.622,352.156,115.673,0.014,-0.011,5.000
82912.740,301.622,352.235,115.993,-0.002,-0.011,5.000
82904.677,301.623,352.156,116.314,-0.002,-0.001,5.000
82912.740,301.623,352.314,116.474,-0.002,-0.001,5.000
82908.709,301.620,352.156,116.314,0.014,0.010,5.000
82908.709,301.622,352.156,116.474,0.014,-0.001,5.000
82908.709,301.623,352.235,116.794,0.014,-0.011,5.000
82908.709,301.623,352.314,117.114,-0.002,-0.001,5.000
82912.740,301.622,352.156,117.114,-0.018,-0.011,5.000
82912.740,301.622,352.314,117.274,-0.002,-0.001,5.000
82912.740,301.620,352.235,117.754,0.014,0.010,5.000
82908.709,301.620,352.235,117.754,-0.002,-0.001,5.000
82912.740,301.622,352.393,117.754,0.014,0.010,5.000
82908.709,301.618,352.393,117.754,0.031,0.010,5.000
82908.709,301.622,352.472,118.395,0.031,-0.001,5.000
82904.677,301.620,352.314,118.075,-0.002,0.010,5.000
82900.646,301.618,352.393,118.395,-0.018,-0.011,5.000
82904.677,301.617,352.393,118.075,-0.035,-0.001,5.000
82896.615,301.620,352.472,118.555,-0.018,-0.001,5.000
82896.615,301.622,352.472,118.715,0.014,0.010,5.000
82896.615,301.620,352.630,118.715,-0.018,-0.001,5.000
82900.646,301.622,352.710,118.875,-0.002,0.020,5.000
82904.677,301.622,352.472,119.035,-0.018,0.010,5.000
82904.677,301.618,352.710,118.875,-0.002,-0.011,5.000
82900.646,301.622,352.630,118.875,0.014,-0.011,5.000
82884.520,301.622,352.551,118.715,0.014,-0.021,5.000
82884.520,301.620,352.630,119.195,0.014,-0.011,5.000
82892.583,301.622,352.630,118.715,-0.002,0.010,5.000
82888.552,301.622,352.393,118.555,-0.002,-0.001,5.000
82892.583,301.622,352.630,118.715,0.014,0.020,5.000
82884.520,301.625,352.710,118.395,0.014,-0.001,5.000
82888.552,301.623,352.472,118.395,0.014,0.030,5.000
82892.583,301.622,352.551,118.555,0.014,-0.001,5.000
82892.583,301.622,352.472,118.075,-0.018,0.020,5.000
82896.615,301.625,352.472,118.235,-0.018,0.010,5.000
82888.552,301.622,352.472,118.395,-0.002,-0.001,5.000
82884.520,301.622,352.314,118.075,0.014,-0.001,5.000
82888.552,301.623,352.393,117.434,0.031,-0.011,5.000
82892.583,301.625,352.472,117.434,0.014,0.010,5.000
82884.520,301.623,352.393,117.114,-0.002,0.010,5.000
82888.552,301.623,352.393,117.114,-0.018,-0.021,5.000
82888.552,301.623,352.393,117.114,-0.018,-0.001,5.000
82896.615,301.627,352.472,117.274,-0.035,0.010,5.000
82892.583,301.625,352.393,116.474,-0.018,0.010,5.000
82896.615,301.627,352.393,116.634,-0.018,-0.001,5.000
82892.583,301.630,352.314,116.474,-0.002,-0.011,5.000
82892.583,301.627,352.393,115.993,0.014,-0.001,5.000
82900.646,301.625,352.314,116.154,0.014,-0.001,5.000
82892.583,301.628,352.235,115.993,-0.018,-0.001,5.000
82896.615,301.625,352.235,115.673,-0.002,-0.001,5.000
82892.583,301.628,352.235,115.833,-0.018,-0.001,5.000
82900.646,301.627,352.235,115.673,-0.002,-0.001,5.000
82904.677,301.627,352.393,115.833,0.014,-0.001,5.000
82896.615,301.622,352.314,115.833,-0.018,-0.011,5.000
82900.646,301.628,352.156,115.513,-0.018,0.010,5.000
82900.646,301.627,352.235,115.673,0.014,-0.001,5.000
82896.615,301.623,352.393,115.673,-0.018,0.020,5.000
82904.677,301.627,352.235,115.833,-0.002,-0.001,5.000
82908.709,301.625,352.235,115.833,-0.018,0.010,5.000
82900.646,301.623,352.235,115.993,-0.035,-0.001,5.000
82900.646,301.627,352.393,115.673,0.014,-0.001,5.000
82900.646,301.623,352.314,115.513,-0.002,-0.001,5.000
82896.615,301.623,352.393,115.673,0.014,0.010,5.000
82900.646,301.623,352.235,115.673,0.014,0.010,5.000
82896.615,301.622,352.472,115.833,0.014,-0.011,5.000
82900.646,301.623,352.393,115.673,-0.035,-0.011,5.000
82892.583,301.622,352.393,115.833,-0.018,-0.001,5.000
82900.646,301.623,352.630,115.993,-0.002,0.010,5.000
82892.583,301.622,352.551,116.474,-0.002,0.010,5.000
82888.552,301.622,352.630,116.634,0.014,-0.011,5.000
82892.583,301.623,352.630,116.474,-0.002,0.010,5.000
82892.583,301.622,352.630,116.794,-0.002,-0.001,5.000
82896.615,301.620,352.868,117.114,0.014,-0.011,5.000
82888.552,301.622,352.789,116.954,-0.002,-0.001,5.000
82892.583,301.620,352.710,116.794,-0.002,-0.001,5.000
82888.552,301.620,352.868,116.954,-0.018,0.010,5.000
82892.583,301.622,352.947,117.114,0.014,-0.001,5.000
82888.552,301.620,353.026,117.434,-0.018,-0.011,5.000
82892.583,301.623,352.947,117.594,-0.002,0.010,5.000
82888.552,301.620,353.026,117.434,0.031,-0.001,5.000
82888.552,301.623,352.947,117.274,-0.035,-0.001,5.000
82892.583,301.620,353.026,117.754,-0.018,0.010,5.000
82892.583,301.622,353.184,117.754,0.014,0.010,5.000
82892.583,301.622,353.105,117.594,0.014,-0.001,5.000
82896.615,301.620,353.026,117.594,-0.002,-0.011,5.000
82896.615,301.620,353.105,117.594,-0.035,-0.011,5.000
82892.583,301.618,353.263,117.594,0.014,-0.001,5.000
82892.583,301.622,353.184,117.594,0.014,-0.011,5.000
82896.615,301.620,353.263,117.594,-0.002,0.010,5.000
82900.646,301.622,353.105,117.594,-0.002,-0.011,5.000
82896.615,301.622,353.184,117.754,-0.018,0.010,5.000
82896.615,301.620,353.342,117.274,0.014,0.010,5.000
82896.615,301.620,353.263,117.754,-0.002,-0.001,5.000
82900.646,301.625,353.421,117.594,-0.002,0.020,5.000
82900.646,301.622,353.263,117.274,-0.002,0.010,5.000
82892.583,301.622,353.263,117.274,0.014,-0.011,5.000
82896.615,301.622,353.263,117.274,0.014,0.010,5.000
82892.583,301.622,353.342,117.114,-0.035,0.010,5.000
82900.646,301.622,353.184,117.114,-0.002,0.010,5.000
82892.583,301.627,353.342,116.954,-0.018,-0.011,5.000
82896.615,301.620,353.421,117.114,-0.002,0.010,5.000
82904.677,301.622,353.342,117.114,0.014,-0.001,5.000
82896.615,301.620,353.342,116.954,0.031,-0.001,5.000
82900.646,301.627,353.342,117.114,0.014,-0.001,5.000
82896.615,301.623,353.421,116.954,-0.002,0.010,5.000
82896.615,301.623,353.342,116.954,-0.018,-0.001,5.000
82892.583,301.622,353.421,116.954,-0.051,0.010,5.000
82892.583,301.625,353.421,116.954,0.014,-0.001,5.000
82884.520,301.622,353.421,116.794,-0.002,0.020,5.000
82900.646,301.623,353.342,116.794,-0.018,0.020,5.000
82892.583,301.623,353.184,116.954,-0.002,-0.011,5.000
82892.583,301.623,353.342,116.794,0.014,-0.001,5.000
82896.615,301.622,353.263,116.794,0.014,-0.011,5.000
82888.552,301.622,353.342,116.794,0.014,-0.011,5.000
82896.615,301.625,353.263,116.954,-0.002,-0.001,5.000
82896.615,301.622,353.342,117.114,-0.035,-0.001,5.000
82896.615,301.627,353.421,117.114,-0.018,0.010,5.000
82892.583,301.625,353.263,117.114,0.014,0.010,5.000
82888.552,301.627,353.263,116.954,-0.018,-0.011,5.000
82888.552,301.627,353.184,117.434,0.014,-0.011,5.000
82892.583,301.623,353.263,117.274,-0.002,-0.011,5.000
82896.615,301.627,353.184,117.434,0.014,-0.001,5.000
82888.552,301.625,353.105,117.594,-0.018,0.010,5.000
82896.615,301.623,353.184,117.754,-0.002,0.010,5.000
82888.552,301.627,353.105,117.754,-0.002,0.010,5.000
82896.615,301.623,353.263,117.915,0.014,0.010,5.000
82888.552,301.627,353.263,117.915,-0.018,-0.001,5.000
82892.583,301.623,353.105,118.395,-0.002,-0.011,5.000
82892.583,301.625,353.105,118.235,0.014,0.010,5.000
82892.583,301.625,353.105,118.235,-0.002,0.020,5.000
82884.520,301.627,352.947,118.395,-0.018,-0.001,5.000
82892.583,301.625,353.026,118.395,-0.002,0.020,5.000
82884.520,301.622,353.105,118.395,-0.002,-0.011,5.000
82888.552,301.623,353.105,118.555,-0.002,-0.001,5.000
82888.552,301.622,353.026,118.715,-0.002,-0.011,5.000
82892.583,301.625,353.026,118.555,0.014,-0.001,5.000
82892.583,301.623,352.947,118.555,-0.035,-0.001,5.000
82888.552,301.622,353.026,118.715,-0.018,-0.001,5.000
82892.583,301.620,353.105,118.715,-0.002,-0.001,5.000
82888.552,301.623,352.947,118.875,0.014,-0.001,5.000
82888.552,301.622,353.026,118.715,-0.018,0.010,5.000
82884.520,301.620,353.026,118.555,0.014,0.010,5.000
82888.552,301.625,352.947,118.555,0.014,0.010,5.000
82888.552,301.622,352.947,118.555,-0.018,-0.001,5.000
82888.552,301.618,352.947,118.715,-0.002,-0.021,5.000
82888.552,301.623,353.026,118.395,0.014,-0.011,5.000
82884.520,301.620,353.026,118.395,0.014,0.010,5.000
82884.520,301.620,352.947,118.395,-0.002,-0.001,5.000
82888.552,301.618,353.026,118.715,-0.002,-0.001,5.000
82892.583,301.623,352.947,118.235,0.031,0.010,5.000
82892.583,301.623,353.026,118.395,0.031,-0.001,5.000
82888.552,301.623,353.105,118.395,-0.002,-0.011,5.000
82884.520,301.618,353.105,118.555,-0.018,-0.021,5.000
82888.552,301.622,353.184,118.235,0.014,0.010,5.000
82888.552,301.623,353.105,118.075,-0.002,0.010,5.000
82892.583,301.623,353.026,117.915,-0.018,-0.011,5.000
82892.583,301.622,353.026,118.235,-0.035,-0.011,5.000
82896.615,301.625,353.105,118.395,0.014,-0.011,5.000
82892.583,301.622,353.026,117.915,-0.002,0.010,5.000
82892.583,301.625,353.184,118.235,0.014,-0.001,5.000
82892.583,301.625,353.105,118.075,-0.035,-0.011,5.000
82896.615,301.625,353.105,117.915,-0.002,-0.001,5.000
82892.583,301.625,353.105,118.075,0.014,-0.001,5.000
82892.583,301.623,353.184,118.235,-0.002,-0.011,5.000
82896.615,301.625,353.184,118.235,-0.002,0.010,5.000
82888.552,301.623,353.184,118.235,-0.002,0.010,5.000
82900.646,301.625,353.263,118.075,-0.002,0.020,5.000
82896.615,301.622,353.105,117.915,-0.002,0.010,5.000
82896.615,301.623,353.184,118.075,-0.002,-0.001,5.000
82896.615,301.625,353.105,118.075,0.014,0.010,5.000
82900.646,301.623,353.263,118.235,-0.035,-0.001,5.000
82892.583,301.625,353.263,118.395,0.014,-0.001,5.000
82900.646,301.627,353.342,118.075,0.014,0.010,5.000
82900.646,301.623,353.263,118.235,-0.002,0.010,5.000
82896.615,301.623,353.184,118.235,0.014,-0.001,5.000
82900.646,301.625,353.342,118.395,-0.035,-0.001,5.000
82892.583,301.623,353.184,118.235,-0.002,-0.021,5.000
82904.677,301.622,353.263,118.395,-0.035,-0.001,5.000
82900.646,301.618,353.342,118.395,-0.002,-0.011,5.000
82892.583,301.622,353.184,118.395,-0.018,-0.001,5.000
82896.615,301.623,353.421,118.395,-0.018,-0.001,5.000
82896.615,301.620,353.184,118.395,0.014,-0.011,5.000
82896.615,301.622,353.342,118.555,0.031,0.020,5.000
82888.552,301.623,353.342,118.395,0.014,0.010,5.000
82896.615,301.620,353.421,118.395,0.014,0.020,5.000
82896.615,301.622,353.500,118.235,-0.002,0.010,5.000
82896.615,301.623,353.579,118.395,0.031,0.010,5.000
82892.583,301.620,353.421,118.395,-0.018,-0.011,5.000
82888.552,301.622,353.579,118.235,0.014,-0.011,5.000
82896.615,301.620,353.737,118.395,0.014,0.020,5.000
82892.583,301.622,353.500,118.395,-0.002,-0.001,5.000
82888.552,301.622,353.579,118.075,0.014,-0.011,5.000
82888.552,301.622,353.658,118.075,0.031,-0.001,5.000
82888.552,301.618,353.737,118.235,0.014,-0.011,5.000
82888.552,301.623,353.658,118.075,-0.002,-0.001,5.000
82892.583,301.620,353.737,117.754,-0.002,-0.011,5.000
82892.583,301.622,353.658,118.075,-0.018,-0.011,5.000
82892.583,301.622,353.737,117.594,-0.018,-0.011,5.000
82900.646,301.623,353.737,117.754,-0.018,-0.001,5.000
82904.677,301.620,353.816,117.434,-0.035,-0.001,5.000
82896.615,301.622,353.658,117.434,-0.002,-0.011,5.000
82904.677,301.622,353.658,117.434,-0.002,0.010,5.000
82904.677,301.625,353.579,117.754,0.014,-0.001,5.000
82896.615,301.622,353.658,117.594,-0.018,-0.001,5.000
82892.583,301.625,353.658,117.274,0.014,-0.021,5.000
82900.646,301.627,353.737,117.114,0.014,-0.001,5.000
82900.646,301.623,353.816,117.434,-0.018,-0.011,5.000
82904.677,301.623,353.579,116.954,0.014,-0.011,5.000
82900.646,301.623,353.737,117.114,0.014,0.010,5.000
82896.615,301.623,353.579,116.954,0.014,-0.001,5.000
82896.615,301.627,353.816,116.794,-0.018,-0.001,5.000
82896.615,301.625,353.421,116.954,-0.002,-0.001,5.000
82896.615,301.623,353.500,116.794,-0.002,-0.001,5.000
82888.552,301.625,353.579,116.634,0.014,-0.001,5.000
82896.615,301.625,353.500,116.314,-0.018,-0.001,5.000
82900.646,301.625,353.500,116.634,-0.002,-0.001,5.000
82900.646,301.627,353.500,116.474,-0.002,-0.011,5.000
82884.520,301.625,353.342,116.314,-0.002,-0.001,5.000
82892.583,301.623,353.500,116.474,0.014,0.010,5.000
82888.552,301.627,353.421,116.154,0.014,0.010,5.000
82896.615,301.625,353.500,116.154,0.031,-0.011,5.000
82892.583,301.625,353.342,115.673,0.014,0.020,5.000
82892.583,301.627,353.263,115.993,-0.018,0.020,5.000
82892.583,301.627,353.263,115.833,-0.018,0.020,5.000
82896.615,301.625,353.263,115.833,0.031,0.020,5.000
82892.583,301.625,353.184,115.673,0.031,0.010,5.000
82888.552,301.625,353.263,115.673,0.014,0.010,5.000
82888.552,301.625,353.105,115.833,-0.002,-0.021,5.000
82892.583,301.623,353.263,115.833,0.014,0.010,5.000
82888.552,301.627,353.184,115.673,0.014,-0.011,5.000
82884.520,301.625,353.184,115.673,-0.002,-0.011,5.000
82888.552,301.625,353.105,115.833,-0.002,-0.001,5.000
82888.552,301.625,353.026,115.673,-0.018,-0.011,5.000
82896.615,301.625,353.105,115.513,-0.002,-0.001,5.000
82888.552,301.625,352.947,115.673,-0.018,-0.001,5.000
82880.489,301.623,353.026,115.673,-0.002,-0.001,5.000
82892.583,301.623,352.868,115.353,-0.002,-0.001,5.000
82892.583,301.622,353.105,115.513,0.014,0.010,5.000
82884.520,301.623,352.789,115.353,-0.018,-0.011,5.000
82880.489,301.627,352.947,115.673,-0.002,0.010,5.000
82884.520,301.623,352.868,115.513,-0.002,-0.001,5.000
82888.552,301.625,352.789,115.513,-0.018,0.010,5.000
82888.552,301.623,352.710,115.673,-0.018,0.010,5.000
82888.552,301.625,352.710,115.673,-0.002,-0.011,5.000
82892.583,301.623,352.630,115.673,-0.002,-0.001,5.000
82888.552,301.622,352.789,115.353,0.014,-0.021,5.000
82888.552,301.625,352.710,115.513,0.014,-0.011,5.000
82896.615,301.625,352.710,115.353,-0.002,-0.011,5.000
82892.583,301.623,352.630,115.513,-0.002,0.010,5.000
82884.520,301.623,352.710,115.673,-0.018,-0.001,5.000
82892.583,301.620,352.630,115.513,0.014,-0.001,5.000
