%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82832.112,302.122,351.804,183.754,-0.017,-0.002,5.000
82836.144,302.120,351.883,183.754,-0.017,-0.012,5.000
82840.175,302.122,351.804,183.434,-0.001,-0.002,5.000
82832.112,302.122,351.804,183.914,0.015,0.008,5.000
82832.112,302.122,351.804,183.914,-0.001,-0.002,5.000
82840.175,302.122,351.804,184.074,0.032,0.008,5.000
82844.207,302.122,351.724,183.754,-0.017,-0.002,5.000
82832.112,302.122,351.724,183.754,-0.050,-0.012,5.000
82844.207,302.125,351.883,183.914,-0.034,-0.012,5.000
82844.207,302.123,351.645,184.074,-0.001,-0.002,5.000
82844.207,302.123,351.724,183.754,-0.001,-0.002,5.000
82840.175,302.123,351.724,184.074,0.032,-0.002,5.000
82840.175,302.125,351.645,183.914,-0.017,-0.002,5.000
82836.144,302.125,351.724,184.074,-0.001,-0.002,5.000
82836.144,302.125,351.566,184.074,-0.001,-0.002,5.000
82844.207,302.123,351.804,184.234,-0.017,-0.012,5.000
82836.144,302.125,351.566,184.074,-0.001,-0.002,5.000
82840.175,302.122,351.566,183.914,0.015,0.008,5.000
82840.175,302.125,351.645,184.074,-0.017,-0.002,5.000
82836.144,302.125,351.645,184.394,-0.001,-0.022,5.000
82828.081,302.123,351.566,183.914,-0.017,-0.002,5.000
82836.144,302.125,351.487,184.234,0.015,0.008,5.000
82832.112,302.126,351.566,183.914,0.015,0.029,5.000
82820.018,302.125,351.724,184.234,0.032,0.008,5.000
82828.081,302.123,351.566,184.234,-0.034,-0.002,5.000
82828.081,302.122,351.487,184.394,-0.001,-0.002,5.000
82832.112,302.125,351.566,184.234,-0.017,-0.002,5.000
82828.081,302.125,351.645,184.234,-0.001,-0.002,5.000
82828.081,302.125,351.645,184.555,-0.017,0.008,5.000
82824.050,302.125,351.724,184.715,0.015,-0.002,5.000
82824.050,302.123,351.645,184.074,-0.001,-0.012,5.000
82824.050,302.120,351.566,184.715,-0.017,0.008,5.000
82820.018,302.122,351.724,184.234,-0.017,0.008,5.000
82824.050,302.125,351.724,184.715,-0.001,-0.002,5.000
82824.050,302.125,351.645,184.715,-0.017,-0.012,5.000
82815.987,302.125,351.645,184.394,0.015,0.008,5.000
82807.924,302.125,351.645,184.394,-0.017,-0.002,5.000
82815.987,302.120,351.408,184.394,0.015,-0.002,5.000
82820.018,302.122,351.645,184.555,0.015,0.019,5.000
82815.987,302.122,351.487,184.715,-0.001,-0.002,5.000
82820.018,302.125,351.566,184.394,-0.001,-0.002,5.000
82824.050,302.122,351.566,184.234,-0.001,-0.002,5.000
82807.924,302.122,351.329,184.234,-0.034,0.008,5.000
82824.050,302.123,351.408,184.074,-0.001,0.019,5.000
82820.018,302.123,351.408,184.234,-0.001,-0.002,5.000
82811.955,302.123,351.408,184.074,-0.017,0.008,5.000
