%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83408.602,302.275,353.856,147.723,0.002,0.004,5.000
83404.570,302.275,353.777,147.403,-0.015,-0.006,5.000
83412.633,302.273,354.014,147.403,0.018,0.004,5.000
83412.633,302.275,353.856,147.403,-0.015,0.024,5.000
83408.602,302.275,353.856,147.243,0.018,-0.017,5.000
83412.633,302.276,353.777,146.923,0.034,-0.006,5.000
83412.633,302.273,353.777,147.243,0.018,-0.006,5.000
83408.602,302.273,353.856,147.563,0.002,0.004,5.000
83408.602,302.273,353.777,147.403,0.034,0.004,5.000
83412.633,302.275,353.698,147.563,-0.031,0.004,5.000
83404.570,302.275,353.619,147.563,-0.015,-0.006,5.000
83408.602,302.270,353.619,147.403,-0.015,0.004,5.000
83412.633,302.273,353.619,147.403,0.002,-0.006,5.000
83408.602,302.275,353.540,147.723,-0.015,0.004,5.000
83400.539,302.272,353.461,147.723,-0.015,-0.006,5.000
83404.570,302.272,353.540,147.723,0.018,-0.006,5.000
83400.539,302.270,353.461,148.204,0.002,-0.006,5.000
83408.602,302.272,353.382,148.043,-0.015,0.014,5.000
83400.539,302.270,353.461,148.043,0.002,0.024,5.000
83404.570,302.268,353.540,148.204,0.018,0.014,5.000
83400.539,302.272,353.382,148.524,0.002,-0.006,5.000
83408.602,302.272,353.303,148.364,-0.031,0.004,5.000
83408.602,302.272,353.461,148.364,0.002,-0.006,5.000
83408.602,302.268,353.382,148.684,0.002,0.014,5.000
83412.633,302.270,353.461,148.844,0.002,0.004,5.000
83408.602,302.267,353.303,149.004,0.018,0.014,5.000
83408.602,302.268,353.382,149.004,-0.015,-0.006,5.000
83416.665,302.268,353.619,149.164,0.002,0.004,5.000
83412.633,302.270,353.382,149.164,-0.015,-0.006,5.000
83408.602,302.268,353.461,149.164,0.002,0.014,5.000
83412.633,302.270,353.461,149.164,-0.015,0.004,5.000
83416.665,302.268,353.461,149.164,-0.015,-0.017,5.000
83420.696,302.270,353.461,149.324,0.002,0.004,5.000
83408.602,302.270,353.382,149.484,-0.015,-0.017,5.000
83412.633,302.268,353.382,149.484,-0.015,-0.017,5.000
83412.633,302.268,353.461,149.484,0.018,-0.017,5.000
83408.602,302.270,353.540,149.804,0.002,-0.006,5.000
83408.602,302.270,353.461,149.324,0.002,-0.006,5.000
83416.665,302.270,353.540,149.324,-0.015,-0.017,5.000
83412.633,302.272,353.619,149.324,0.018,-0.006,5.000
83416.665,302.273,353.619,149.324,-0.015,0.004,5.000
83412.633,302.273,353.540,149.324,0.018,0.004,5.000
83408.602,302.270,353.698,149.164,-0.015,0.004,5.000
83416.665,302.270,353.619,149.164,-0.015,0.004,5.000
83408.602,302.272,353.698,149.164,0.002,-0.006,5.000
83416.665,302.273,353.777,148.844,0.002,-0.017,5.000
83412.633,302.275,353.461,148.684,0.002,0.004,5.000
83412.633,302.272,353.777,148.684,0.002,-0.006,5.000
83412.633,302.273,353.777,149.004,0.002,0.014,5.000
83412.633,302.275,353.777,148.524,-0.015,-0.017,5.000
83416.665,302.273,353.856,148.364,0.002,-0.006,5.000
83416.665,302.273,353.777,148.364,0.018,0.004,5.000
83408.602,302.273,353.777,148.043,0.002,0.014,5.000
83416.665,302.273,353.856,148.204,-0.015,0.014,5.000
83416.665,302.273,353.935,148.204,0.002,-0.006,5.000
83408.602,302.273,353.856,147.883,-0.031,-0.006,5.000
83412.633,302.273,353.856,147.723,-0.015,0.014,5.000
83420.696,302.275,353.856,147.723,0.018,0.004,5.000
83408.602,302.275,353.935,147.723,-0.015,0.014,5.000
83412.633,302.275,353.856,147.243,0.034,-0.006,5.000
83416.665,302.275,353.935,147.243,0.002,-0.006,5.000
83408.602,302.273,353.935,147.083,-0.015,-0.017,5.000
83412.633,302.273,353.935,147.243,-0.015,0.004,5.000
83408.602,302.276,353.935,147.083,0.002,0.014,5.000
83412.633,302.275,353.856,147.083,0.002,0.004,5.000
83412.633,302.276,353.856,146.603,0.018,0.014,5.000
83412.633,302.273,353.777,146.603,-0.015,0.004,5.000
83412.633,302.275,353.777,146.923,0.002,-0.017,5.000
83408.602,302.275,353.935,146.603,0.002,-0.006,5.000
83408.602,302.273,353.698,146.603,0.018,-0.006,5.000
83408.602,302.273,353.777,146.603,0.002,0.004,5.000
83412.633,302.273,353.777,146.282,0.002,0.004,5.000
83412.633,302.273,353.698,146.122,-0.015,0.014,5.000
83412.633,302.275,353.698,146.122,0.002,0.014,5.000
83412.633,302.272,353.619,146.282,0.002,-0.006,5.000
83412.633,302.275,353.698,145.962,0.002,0.014,5.000
83408.602,302.273,353.777,146.122,0.002,0.004,5.000
83408.602,302.275,353.698,145.482,0.018,0.004,5.000
83404.570,302.273,353.856,145.642,0.002,0.014,5.000
83408.602,302.272,353.856,145.482,-0.015,-0.017,5.000
83412.633,302.273,353.619,145.162,0.018,0.014,5.000
83408.602,302.275,353.698,145.002,0.002,0.014,5.000
83404.570,302.273,353.777,144.842,0.002,0.004,5.000
83404.570,302.273,353.698,144.681,-0.015,0.014,5.000
83408.602,302.273,353.698,144.681,0.002,-0.017,5.000
83408.602,302.273,353.619,144.521,-0.015,0.014,5.000
83404.570,302.273,353.698,144.201,-0.031,-0.006,5.000
83404.570,302.272,353.777,144.201,-0.015,-0.006,5.000
83412.633,302.273,353.777,144.041,0.018,-0.006,5.000
83408.602,302.272,353.777,143.721,-0.015,0.004,5.000
83404.570,302.272,353.698,143.561,-0.015,-0.006,5.000
83408.602,302.272,353.698,143.401,-0.015,-0.006,5.000
83408.602,302.273,353.619,143.241,0.034,-0.027,5.000
83404.570,302.268,353.777,142.920,-0.015,0.004,5.000
83404.570,302.272,353.777,143.081,-0.031,-0.006,5.000
83412.633,302.270,353.619,142.600,0.018,0.004,5.000
83408.602,302.268,353.540,142.760,0.002,-0.017,5.000
83412.633,302.272,353.698,142.600,0.018,-0.017,5.000
83400.539,302.272,353.698,142.600,0.002,0.014,5.000
83404.570,302.268,353.619,142.920,0.002,0.004,5.000
83416.665,302.268,353.698,142.600,0.002,-0.006,5.000
83416.665,302.272,353.698,142.440,-0.015,-0.006,5.000
83408.602,302.267,353.856,142.600,0.002,-0.006,5.000
83404.570,302.272,353.619,142.760,-0.015,-0.006,5.000
83408.602,302.273,353.540,142.920,0.002,0.014,5.000
83408.602,302.273,353.698,142.600,0.002,-0.027,5.000
83408.602,302.272,353.698,143.241,0.002,-0.027,5.000
83404.570,302.268,353.698,143.081,0.002,-0.006,5.000
83408.602,302.275,353.777,143.241,0.018,-0.006,5.000
83416.665,302.272,353.461,143.241,0.002,-0.006,5.000
83412.633,302.273,353.619,143.561,-0.015,0.014,5.000
