%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83283.629,302.528,1.040,1.547,-103.349,101.616,0.500
83287.660,302.528,1.198,1.707,-103.349,101.627,0.500
83283.629,302.530,1.198,1.547,-103.316,101.627,0.500
83279.597,302.528,1.277,1.547,-103.349,101.627,0.500
83279.597,302.528,1.356,1.707,-103.316,101.627,0.500
83279.597,302.530,1.277,1.547,-103.316,101.616,0.500
83283.629,302.530,1.119,1.547,-103.365,101.616,0.500
83279.597,302.528,1.198,1.547,-103.381,101.627,0.500
83275.566,302.528,1.277,1.867,-103.332,101.638,0.500
83271.534,302.530,1.356,1.387,-103.332,101.616,0.500
83275.566,302.526,1.356,1.387,-103.332,101.627,0.500
83275.566,302.528,1.198,1.547,-103.365,101.616,0.500
83279.597,302.530,1.356,1.547,-103.316,101.616,0.500
83271.534,302.526,1.277,1.547,-103.349,101.627,0.500
83271.534,302.526,1.277,1.547,-103.332,101.616,0.500
83271.534,302.528,1.356,1.387,-103.332,101.616,0.500
83271.534,302.526,1.435,1.387,-103.316,101.606,0.500
83275.566,302.526,1.356,1.387,-103.365,101.606,0.500
83279.597,302.531,1.435,1.707,-103.332,101.616,0.500
83283.629,302.528,1.356,1.547,-103.332,101.616,0.500
83275.566,302.526,1.277,1.387,-103.332,101.627,0.500
83279.597,302.526,1.435,1.547,-103.349,101.616,0.500
83279.597,302.530,1.435,1.547,-103.316,101.627,0.500
83275.566,302.525,1.356,1.707,-103.332,101.616,0.500
83283.629,302.531,1.277,1.387,-103.332,101.616,0.500
83283.629,302.526,1.119,1.547,-103.365,101.638,0.500
83279.597,302.526,1.277,1.387,-103.349,101.627,0.500
83279.597,302.528,1.198,1.547,-103.332,101.606,0.500
83279.597,302.528,1.198,1.547,-103.316,101.627,0.500
83287.660,302.528,1.277,1.707,-103.349,101.616,0.500
83279.597,302.526,1.119,1.547,-103.349,101.627,0.500
83287.660,302.530,1.277,1.547,-103.349,101.616,0.500
83283.629,302.531,1.277,1.707,-103.332,101.616,0.500
83283.629,302.531,1.119,1.707,-103.332,101.627,0.500
83295.723,302.530,1.119,1.547,-103.316,101.638,0.500
83287.660,302.531,1.119,1.707,-103.332,101.616,0.500
83287.660,302.528,1.040,1.547,-103.332,101.616,0.500
83295.723,302.528,1.119,1.547,-103.365,101.606,0.500
83295.723,302.530,1.119,1.547,-103.349,101.606,0.500
