%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V],"% Didn't take it at 1.5mm, took it at 1mm"
82828.081,300.256,-348.044,169.571,-0.021,0.521,5,
82828.081,300.253,-348.044,169.411,-0.037,0.532,5,
82824.05,300.253,-348.123,169.732,-0.037,0.51,5,
82815.987,300.253,-348.123,169.732,-0.021,0.521,5,
82828.081,300.253,-348.123,169.892,-0.021,0.543,5,
82828.081,300.253,-348.202,170.052,-0.021,0.532,5,
82824.05,300.256,-348.281,169.892,-0.021,0.521,5,
82824.05,300.253,-348.36,170.212,-0.021,0.543,5,
82832.112,300.254,-348.123,170.052,-0.021,0.521,5,
82828.081,300.249,-348.439,169.892,-0.005,0.51,5,
82820.018,300.254,-348.36,170.052,-0.021,0.521,5,
82828.081,300.254,-348.439,169.892,-0.005,0.532,5,
82832.112,300.253,-348.36,169.571,-0.021,0.521,5,
82828.081,300.254,-348.36,169.732,-0.037,0.521,5,
82832.112,300.249,-348.281,169.411,-0.021,0.521,5,
82824.05,300.249,-348.281,169.251,-0.005,0.532,5,
82824.05,300.256,-348.281,169.091,-0.005,0.521,5,
82824.05,300.251,-348.202,169.251,-0.037,0.532,5,
82828.081,300.249,-348.123,168.771,-0.021,0.521,5,
82824.05,300.253,-348.123,168.291,-0.021,0.51,5,
82820.018,300.256,-348.044,168.131,-0.021,0.521,5,
82828.081,300.249,-347.807,167.971,-0.005,0.51,5,
82824.05,300.251,-347.728,167.971,-0.005,0.532,5,
82820.018,300.251,-347.728,167.49,-0.021,0.521,5,
82824.05,300.251,-347.57,167.33,-0.005,0.532,5,
82820.018,300.251,-347.491,167.01,-0.021,0.532,5,
82820.018,300.249,-347.254,166.69,-0.021,0.521,5,
82824.05,300.251,-347.175,166.69,-0.037,0.532,5,
82815.987,300.249,-347.254,166.53,-0.021,0.521,5,
82828.081,300.251,-347.096,166.53,-0.005,0.51,5,
82820.018,300.249,-346.859,166.37,-0.005,0.521,5,
82820.018,300.251,-346.859,166.53,-0.053,0.532,5,
82824.05,300.249,-346.78,166.21,-0.037,0.521,5,
82828.081,300.251,-346.701,165.889,-0.005,0.532,5,
82824.05,300.253,-346.543,165.889,-0.021,0.521,5,
82820.018,300.253,-346.464,165.729,-0.005,0.521,5,
82815.987,300.253,-346.385,165.729,0.012,0.521,5,
82815.987,300.253,-346.385,165.889,-0.005,0.51,5,
82815.987,300.254,-346.226,165.889,-0.005,0.521,5,
82828.081,300.253,-346.147,165.569,-0.021,0.532,5,
82815.987,300.253,-346.068,165.569,-0.021,0.521,5,
82824.05,300.253,-346.068,165.569,-0.005,0.532,5,
82824.05,300.251,-345.989,165.569,-0.005,0.553,5,
82828.081,300.251,-345.989,165.569,-0.021,0.5,5,
82824.05,300.251,-345.989,165.729,-0.021,0.521,5,
82824.05,300.254,-345.989,165.569,-0.005,0.521,5,
82820.018,300.251,-345.989,165.569,-0.021,0.51,5,
82815.987,300.253,-346.068,165.569,-0.021,0.521,5,
82820.018,300.251,-345.989,165.729,-0.005,0.532,5,
82824.05,300.256,-346.068,165.729,-0.005,0.532,5,
82832.112,300.253,-345.91,165.409,0.012,0.51,5,
82828.081,300.254,-346.147,165.729,0.012,0.51,5,
82828.081,300.253,-345.989,165.569,-0.005,0.521,5,
82824.05,300.253,-345.989,166.049,-0.021,0.521,5,
82828.081,300.254,-346.147,165.729,-0.021,0.543,5,
82824.05,300.253,-346.068,165.889,-0.021,0.51,5,
82824.05,300.254,-346.147,165.729,-0.037,0.521,5,
82815.987,300.251,-345.989,165.569,-0.021,0.553,5,
82828.081,300.254,-346.068,165.569,-0.021,0.5,5,
82824.05,300.256,-346.147,165.729,-0.037,0.521,5,
82824.05,300.253,-346.147,165.569,-0.021,0.521,5,
82832.112,300.254,-345.989,165.249,-0.021,0.521,5,
82828.081,300.254,-345.989,165.729,-0.021,0.521,5,
82832.112,300.257,-346.068,165.249,-0.005,0.521,5,
82824.05,300.256,-345.989,165.409,-0.037,0.521,5,
82824.05,300.257,-345.989,165.249,-0.005,0.521,5,
82824.05,300.256,-346.068,165.249,-0.005,0.543,5,
82824.05,300.254,-345.989,165.089,-0.021,0.51,5,
82820.018,300.259,-346.068,165.089,-0.021,0.51,5,
82820.018,300.257,-345.752,164.929,-0.005,0.532,5,
82820.018,300.256,-345.91,165.089,0.012,0.51,5,
82820.018,300.254,-345.673,164.769,-0.005,0.51,5,
82820.018,300.254,-345.831,164.929,-0.005,0.532,5,
82828.081,300.253,-345.831,165.089,-0.037,0.532,5,
82815.987,300.256,-345.752,164.929,-0.005,0.532,5,
82824.05,300.256,-345.673,164.769,-0.005,0.521,5,
82815.987,300.254,-345.436,165.089,-0.005,0.51,5,
82828.081,300.256,-345.515,164.609,-0.021,0.532,5,
82815.987,300.254,-345.436,164.929,-0.037,0.521,5,
82820.018,300.256,-345.199,164.609,0.012,0.543,5,
82815.987,300.257,-345.357,164.609,-0.005,0.521,5,
82820.018,300.254,-345.199,164.769,-0.037,0.532,5,
82820.018,300.251,-345.041,164.929,-0.037,0.532,5,
82824.05,300.256,-344.804,165.089,-0.021,0.543,5,
82811.955,300.254,-344.883,164.769,-0.037,0.521,5,
82824.05,300.254,-344.804,165.089,-0.037,0.521,5,
82815.987,300.254,-344.646,165.249,-0.021,0.532,5,
82815.987,300.253,-344.567,165.569,-0.005,0.521,5,
82820.018,300.253,-344.488,165.249,-0.005,0.532,5,
82815.987,300.254,-344.488,165.889,0.012,0.51,5,
82811.955,300.256,-344.409,166.049,-0.021,0.521,5,
82811.955,300.253,-344.567,166.049,-0.021,0.532,5,
82815.987,300.251,-344.409,165.889,-0.037,0.51,5,
82815.987,300.251,-344.409,166.21,-0.021,0.521,5,
82815.987,300.253,-344.33,166.049,-0.005,0.51,5,
82820.018,300.251,-344.251,166.049,-0.021,0.521,5,
82815.987,300.251,-344.33,166.69,-0.037,0.532,5,
82824.05,300.253,-344.251,166.69,-0.021,0.51,5,
82824.05,300.251,-344.251,166.85,-0.005,0.51,5,
82820.018,300.251,-344.251,166.69,-0.037,0.521,5,
82824.05,300.251,-344.251,166.85,-0.021,0.521,5,
82811.955,300.249,-344.172,167.01,-0.005,0.521,5,
82811.955,300.251,-344.251,166.69,0.012,0.51,5,
82815.987,300.249,-344.33,166.53,-0.005,0.51,5,
82824.05,300.251,-344.172,166.69,-0.021,0.532,5,
82815.987,300.249,-344.251,166.53,-0.021,0.532,5,
82815.987,300.251,-344.172,166.69,-0.005,0.521,5,
82815.987,300.251,-344.33,166.53,-0.021,0.51,5,
82815.987,300.249,-344.251,166.37,-0.005,0.521,5,
82824.05,300.249,-344.33,166.21,-0.021,0.521,5,
82824.05,300.249,-344.172,166.37,-0.021,0.521,5,
82820.018,300.251,-344.33,165.889,0.012,0.532,5,
82815.987,300.253,-344.33,165.569,-0.021,0.521,5,
82815.987,300.251,-344.409,165.569,-0.021,0.532,5,
82815.987,300.251,-344.409,165.409,-0.005,0.51,5,
82820.018,300.251,-344.488,165.089,-0.021,0.521,5,
82811.955,300.249,-344.567,164.929,-0.021,0.543,5,
82824.05,300.251,-344.488,164.929,-0.021,0.521,5,
82811.955,300.253,-344.567,164.609,-0.021,0.532,5,
82815.987,300.253,-344.488,164.448,0.012,0.51,5,
82824.05,300.251,-344.567,164.288,-0.005,0.521,5,
82820.018,300.253,-344.646,163.968,-0.005,0.532,5,
82815.987,300.253,-344.409,164.128,-0.005,0.532,5,
82811.955,300.251,-344.567,163.808,-0.005,0.521,5,
82815.987,300.257,-344.567,163.808,-0.037,0.521,5,
82811.955,300.256,-344.646,163.808,-0.021,0.521,5,
